Latitude,Longitude,% Yield Anomaly,crop,temperature,precipitation,type,datetime
10.375,29.625,-18.21074534,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.625,-18.21074534,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.625,-79.06000321,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.625,-71.38175973,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.625,-2.9222983,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.625,-2.16976376,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.625,-6.61072059,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.625,-8.53097054,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,29.625,-20.26485733,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,29.625,-27.8873783,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,29.625,-19.05750116,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,29.625,-17.82601271,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,29.625,-5.29082362,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,29.625,-3.43457127,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,29.625,-6.90033119,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,29.625,-10.22634922,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,29.625,1.81065051,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,29.625,0.65958053,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,29.625,-0.57827902,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,29.625,2.89863436,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,29.625,5.19644771,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,29.625,5.13785383,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,29.625,1.5717055,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,29.625,,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,29.625,4.77108254,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,29.625,4.16385815,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,29.625,4.20133744,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,29.625,4.47877128,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,29.875,-18.21074534,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.875,-18.21074534,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.875,-79.06000321,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.875,-71.38175973,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.875,-2.9222983,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.875,-2.16976376,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.875,-6.61072059,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.875,-8.53097054,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,29.875,-20.26485733,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,29.875,-27.8873783,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,29.875,-19.05750116,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,29.875,-17.82601271,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,29.875,-5.29082362,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,29.875,-3.43457127,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,29.875,-6.90033119,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,29.875,-10.22634922,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,29.875,1.81065051,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,29.875,0.65958053,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,29.875,-0.57827902,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,29.875,2.89863436,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,29.875,5.19644771,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,29.875,5.13785383,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,29.875,1.5717055,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,29.875,,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,29.875,4.77108254,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,29.875,4.16385815,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,29.875,4.20133744,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,29.875,4.47877128,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,30.125,-14.2844375,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,30.125,-14.2844375,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,30.125,-6.94507913,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,30.125,-9.08203327,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,30.125,-5.83171692,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,30.125,0.73946921,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,30.125,-5.3203975,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,30.125,-13.42165993,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,30.125,-14.75003781,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,30.125,-15.94819624,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,30.125,-7.72365148,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,30.125,-7.55192262,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,30.125,-7.40694517,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,30.125,-6.72690533,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,30.125,-12.66168126,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,30.125,-10.33745,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,30.125,-0.44483378,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,30.125,3.39510865,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,30.125,7.80714055,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,30.125,8.5166991,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,30.125,7.5342152,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,30.125,10.05778417,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,30.125,5.69032851,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,30.125,,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,30.125,4.57853844,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,30.125,,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,30.125,3.37424434,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,30.125,3.23990349,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,30.375,-12.18807158,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,30.375,-12.18807158,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,30.375,-10.56954227,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,30.375,-3.47903358,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,30.375,-5.66406839,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,30.375,-0.64132112,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,30.375,-13.49884689,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,30.375,-18.92890482,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,30.375,-17.30223167,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,30.375,-12.21196818,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,30.375,-2.83411231,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,30.375,-2.30845591,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,30.375,-7.53533318,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,30.375,-6.98046796,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,30.375,-9.29283225,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,30.375,-9.1502842,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,30.375,-3.17831667,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,30.375,2.7702468,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,30.375,7.81852121,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,30.375,8.214559,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,30.375,6.5495758,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,30.375,9.66950557,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,30.375,3.93171999,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,30.375,5.21573758,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,30.375,4.46380001,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,30.375,5.52255844,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,30.375,0.89053814,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,30.375,,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,30.625,-7.86986593,maize,-1,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
