Latitude,Longitude,% Yield Anomaly
10.37500000,29.62500000,-14.73121513
10.12500000,29.62500000,-14.73121513
9.87500000,29.62500000,-22.50500898
9.62500000,29.62500000,-16.33227251
9.37500000,29.62500000,-4.88146303
9.12500000,29.62500000,-5.65153098
8.87500000,29.62500000,-8.91112152
8.62500000,29.62500000,-12.87904629
8.37500000,29.62500000,-23.24652887
8.12500000,29.62500000,-21.83293572
7.87500000,29.62500000,-30.60665135
7.62500000,29.62500000,-25.36832659
7.37500000,29.62500000,-21.31602453
7.12500000,29.62500000,2.53009026
6.87500000,29.62500000,-2.05942106
6.62500000,29.62500000,4.91676129
6.37500000,29.62500000,2.94549365
6.12500000,29.62500000,4.65374252
5.87500000,29.62500000,-11.50811147
5.62500000,29.62500000,-15.71076999
5.37500000,29.62500000,4.40119321
5.12500000,29.62500000,3.86925397
4.87500000,29.62500000,12.94271321
4.62500000,29.62500000,9.65214274
4.37500000,29.62500000,       NaN
4.12500000,29.62500000,       NaN
3.87500000,29.62500000,       NaN
3.62500000,29.62500000,       NaN
10.37500000,29.87500000,-14.73121513
10.12500000,29.87500000,-14.73121513
9.87500000,29.87500000,-22.50500898
9.62500000,29.87500000,-16.33227251
9.37500000,29.87500000,-4.88146303
9.12500000,29.87500000,-5.65153098
8.87500000,29.87500000,-8.91112152
8.62500000,29.87500000,-12.87904629
8.37500000,29.87500000,-23.24652887
8.12500000,29.87500000,-21.83293572
7.87500000,29.87500000,-30.60665135
7.62500000,29.87500000,-25.36832659
7.37500000,29.87500000,-21.31602453
7.12500000,29.87500000,2.53009026
6.87500000,29.87500000,-2.05942106
6.62500000,29.87500000,4.91676129
6.37500000,29.87500000,2.94549365
6.12500000,29.87500000,4.65374252
5.87500000,29.87500000,-11.50811147
5.62500000,29.87500000,-15.71076999
5.37500000,29.87500000,4.40119321
5.12500000,29.87500000,3.86925397
4.87500000,29.87500000,12.94271321
4.62500000,29.87500000,9.65214274
4.37500000,29.87500000,       NaN
4.12500000,29.87500000,       NaN
3.87500000,29.87500000,       NaN
3.62500000,29.87500000,       NaN
10.37500000,30.12500000,-19.03075387
10.12500000,30.12500000,-19.03075387
9.87500000,30.12500000,-22.72023985
9.62500000,30.12500000,-12.28951721
9.37500000,30.12500000,-17.14759421
9.12500000,30.12500000,-16.50537923
8.87500000,30.12500000,6.50150463
8.62500000,30.12500000,-7.24993296
8.37500000,30.12500000,-23.22033509
8.12500000,30.12500000,-23.73596921
7.87500000,30.12500000,-6.30813119
7.62500000,30.12500000,-9.24305120
7.37500000,30.12500000,9.76895377
7.12500000,30.12500000,14.97466952
6.87500000,30.12500000,-13.96935688
6.62500000,30.12500000,-13.92070548
6.37500000,30.12500000,-7.76306600
6.12500000,30.12500000,-3.94592097
5.87500000,30.12500000,-12.24641468
5.62500000,30.12500000,-13.24894004
5.37500000,30.12500000,-0.48235003
5.12500000,30.12500000,0.77030317
4.87500000,30.12500000,2.15846327
4.62500000,30.12500000,5.29606237
4.37500000,30.12500000,4.49332459
4.12500000,30.12500000,3.74860554
3.87500000,30.12500000,       NaN
3.62500000,30.12500000,       NaN
10.37500000,30.37500000,-17.28689489
10.12500000,30.37500000,-17.28689489
9.87500000,30.37500000,-15.56866381
9.62500000,30.37500000,-25.09376199
9.37500000,30.37500000,-14.68565200
9.12500000,30.37500000,2.44398958
8.87500000,30.37500000,1.62149726
8.62500000,30.37500000,-9.67850333
8.37500000,30.37500000,-25.32179980
8.12500000,30.37500000,-23.00276996
7.87500000,30.37500000,-9.19220246
7.62500000,30.37500000,-14.28961823
7.37500000,30.37500000,-0.46076485
7.12500000,30.37500000,1.93653943
6.87500000,30.37500000,-11.63704554
6.62500000,30.37500000,-10.27961002
6.37500000,30.37500000,-21.67385985
6.12500000,30.37500000,-6.14396291
5.87500000,30.37500000,-12.45347647
5.62500000,30.37500000,-8.04710799
5.37500000,30.37500000,-4.62847512
5.12500000,30.37500000,-3.83339391
4.87500000,30.37500000,-2.97431467
4.62500000,30.37500000,0.90124447
4.37500000,30.37500000,-1.06747251
4.12500000,30.37500000,0.79927766
3.87500000,30.37500000,       NaN
3.62500000,30.37500000,       NaN
10.37500000,30.62500000,-13.99037342
10.12500000,30.62500000,-13.99037342
9.87500000,30.62500000,-23.74354435
9.62500000,30.62500000,-24.82757674
9.37500000,30.62500000,-11.26372741
9.12500000,30.62500000,-6.23704731
8.87500000,30.62500000,-0.63937198
8.62500000,30.62500000,-9.08618671
8.37500000,30.62500000,-13.54855813
8.12500000,30.62500000,-12.70456845
7.87500000,30.62500000,-3.13456640
7.62500000,30.62500000,-1.09723233
7.37500000,30.62500000,-19.40115676
7.12500000,30.62500000,-14.61796945
6.87500000,30.62500000,-27.23813844
6.62500000,30.62500000,-23.07814076
6.37500000,30.62500000,-19.36932991
6.12500000,30.62500000,-17.59062404
5.87500000,30.62500000,-8.32849782
5.62500000,30.62500000,-6.63747254
5.37500000,30.62500000,14.39141852
5.12500000,30.62500000,11.99923134
4.87500000,30.62500000,-32.49693752
4.62500000,30.62500000,-52.83065574
4.37500000,30.62500000,13.00589437
4.12500000,30.62500000,5.96840476
3.87500000,30.62500000,-8.46720730
3.62500000,30.62500000,-34.70311676
10.37500000,30.87500000,-18.04956228
10.12500000,30.87500000,-18.04956228
9.87500000,30.87500000,-25.52830105
9.62500000,30.87500000,-18.48045452
9.37500000,30.87500000,-0.01969987
9.12500000,30.87500000,-4.27074174
8.87500000,30.87500000,-1.37403652
8.62500000,30.87500000,7.30437281
8.37500000,30.87500000,-20.74097514
8.12500000,30.87500000,-17.89359315
7.87500000,30.87500000,3.96877038
7.62500000,30.87500000,3.96877038
7.37500000,30.87500000,-19.11297846
7.12500000,30.87500000,-14.94881815
6.87500000,30.87500000,-23.80047793
6.62500000,30.87500000,-16.89598598
6.37500000,30.87500000,-17.05499616
6.12500000,30.87500000,-19.75667991
5.87500000,30.87500000,-11.29448467
5.62500000,30.87500000,-7.05130613
5.37500000,30.87500000,5.18669704
5.12500000,30.87500000,3.06140801
4.87500000,30.87500000,-0.83527898
4.62500000,30.87500000,-32.58891184
4.37500000,30.87500000,65.70773766
4.12500000,30.87500000,41.73752480
3.87500000,30.87500000,3.07978830
3.62500000,30.87500000,-20.36638647
10.37500000,31.12500000,-31.28875195
10.12500000,31.12500000,-31.28875195
9.87500000,31.12500000,8.10420828
9.62500000,31.12500000,8.31058066
9.37500000,31.12500000,-13.08424272
9.12500000,31.12500000,-3.65807388
8.87500000,31.12500000,-12.26897994
8.62500000,31.12500000,-15.20874141
8.37500000,31.12500000,20.55433937
8.12500000,31.12500000,-2.62413340
7.87500000,31.12500000,-5.88600578
7.62500000,31.12500000,-1.07235944
7.37500000,31.12500000,-11.05668567
7.12500000,31.12500000,-7.42978509
6.87500000,31.12500000,-20.68352719
6.62500000,31.12500000,-19.34888586
6.37500000,31.12500000,1.23243146
6.12500000,31.12500000,0.32449891
5.87500000,31.12500000,-11.05767071
5.62500000,31.12500000,-1.69714236
5.37500000,31.12500000,-1.96717253
5.12500000,31.12500000,-3.22139107
4.87500000,31.12500000,-10.99846079
4.62500000,31.12500000,2.67043230
4.37500000,31.12500000,-59.22539958
4.12500000,31.12500000,-73.54310930
3.87500000,31.12500000,-4.51532984
3.62500000,31.12500000,9.53769335
10.37500000,31.37500000,-26.56252785
10.12500000,31.37500000,-26.56252785
9.87500000,31.37500000,-0.30151813
9.62500000,31.37500000,1.12081810
9.37500000,31.37500000,-7.66262220
9.12500000,31.37500000,-5.92292365
8.87500000,31.37500000,-10.44692043
8.62500000,31.37500000,-12.91663628
8.37500000,31.37500000,13.31370287
8.12500000,31.37500000,11.72425941
7.87500000,31.37500000,-4.74604623
7.62500000,31.37500000,-2.34371214
7.37500000,31.37500000,-12.32174411
7.12500000,31.37500000,-10.44159265
6.87500000,31.37500000,-16.56046610
6.62500000,31.37500000,-18.67231054
6.37500000,31.37500000,1.37423757
6.12500000,31.37500000,13.53142908
5.87500000,31.37500000,-11.50130845
5.62500000,31.37500000,-4.85571202
5.37500000,31.37500000,-7.34085499
5.12500000,31.37500000,-6.55439158
4.87500000,31.37500000,-20.96038827
4.62500000,31.37500000,-1.35597355
4.37500000,31.37500000,-0.71915297
4.12500000,31.37500000,-7.44848189
3.87500000,31.37500000,-15.74664914
3.62500000,31.37500000,7.78874504
10.37500000,31.62500000,-1.79058280
10.12500000,31.62500000,-1.79058280
9.87500000,31.62500000,-35.12825751
9.62500000,31.62500000,-52.72417536
9.37500000,31.62500000,-33.75681139
9.12500000,31.62500000,-16.58412621
8.87500000,31.62500000,-23.02445935
8.62500000,31.62500000,-53.29457479
8.37500000,31.62500000,-7.59338577
8.12500000,31.62500000,-5.30496461
7.87500000,31.62500000,-26.94673982
7.62500000,31.62500000,-21.17854041
7.37500000,31.62500000,-16.32361316
7.12500000,31.62500000,-24.87396758
6.87500000,31.62500000,-12.11484338
6.62500000,31.62500000,-20.93377135
6.37500000,31.62500000,-11.92706871
6.12500000,31.62500000,-8.71238486
5.87500000,31.62500000,-4.25653112
5.62500000,31.62500000,-8.00629078
5.37500000,31.62500000,12.27824124
5.12500000,31.62500000,7.73259344
4.87500000,31.62500000,2.85886971
4.62500000,31.62500000,-14.79183398
4.37500000,31.62500000,-38.57516655
4.12500000,31.62500000,-32.49375085
3.87500000,31.62500000,-111.40566648
3.62500000,31.62500000,28.64321884
10.37500000,31.87500000,-1.16770836
10.12500000,31.87500000,-1.16770836
9.87500000,31.87500000,-50.58340731
9.62500000,31.87500000,-50.54901772
9.37500000,31.87500000,-25.04359286
9.12500000,31.87500000,-17.30437262
8.87500000,31.87500000,-47.28126915
8.62500000,31.87500000,-16.41336248
8.37500000,31.87500000,-2.19724306
8.12500000,31.87500000,12.99920414
7.87500000,31.87500000,-26.09847724
7.62500000,31.87500000,-25.43322331
7.37500000,31.87500000,-6.90914865
7.12500000,31.87500000,-4.33116719
6.87500000,31.87500000,-15.56560895
6.62500000,31.87500000,-22.47893730
6.37500000,31.87500000,-8.07767198
6.12500000,31.87500000,-7.08596783
5.87500000,31.87500000,-10.16380004
5.62500000,31.87500000,11.84987604
5.37500000,31.87500000,12.18950327
5.12500000,31.87500000,2.67451415
4.87500000,31.87500000,10.68984605
4.62500000,31.87500000,54.89508076
4.37500000,31.87500000,-6.51752712
4.12500000,31.87500000,-5.38185095
3.87500000,31.87500000,66.06333653
3.62500000,31.87500000,46.00216907
10.37500000,32.12500000,-30.50628782
10.12500000,32.12500000,-30.50628782
9.87500000,32.12500000,-38.69376220
9.62500000,32.12500000,-30.65457310
9.37500000,32.12500000,-2.69216141
9.12500000,32.12500000,-34.53869164
8.87500000,32.12500000,-8.73427971
8.62500000,32.12500000,-8.24910965
8.37500000,32.12500000,-22.99601635
8.12500000,32.12500000,-16.59103112
7.87500000,32.12500000,-18.60898747
7.62500000,32.12500000,-9.35300189
7.37500000,32.12500000,4.13236107
7.12500000,32.12500000,3.57164908
6.87500000,32.12500000,4.78351579
6.62500000,32.12500000,-1.51040436
6.37500000,32.12500000,-20.39693112
6.12500000,32.12500000,-13.03164119
5.87500000,32.12500000,-16.06463611
5.62500000,32.12500000,-22.37746433
5.37500000,32.12500000,-1.54244568
5.12500000,32.12500000,7.00314974
4.87500000,32.12500000,-14.96801689
4.62500000,32.12500000,-4.16935740
4.37500000,32.12500000,34.77277075
4.12500000,32.12500000,20.44967714
3.87500000,32.12500000,-7.11190138
3.62500000,32.12500000,-9.51857649
10.37500000,32.37500000,-19.98174264
10.12500000,32.37500000,-19.98174264
9.87500000,32.37500000,-32.51720286
9.62500000,32.37500000,-27.58410010
9.37500000,32.37500000,-2.76333105
9.12500000,32.37500000,-9.96447658
8.87500000,32.37500000,-9.62526506
8.62500000,32.37500000,-19.83504052
8.37500000,32.37500000,-43.16583457
8.12500000,32.37500000,-37.15165774
7.87500000,32.37500000,-26.43821620
7.62500000,32.37500000,-13.28769101
7.37500000,32.37500000,-5.57041419
7.12500000,32.37500000,-10.91459076
6.87500000,32.37500000,4.19309147
6.62500000,32.37500000,2.20169669
6.37500000,32.37500000,-3.05224066
6.12500000,32.37500000,-9.95051487
5.87500000,32.37500000,-16.56480878
5.62500000,32.37500000,-7.13553846
5.37500000,32.37500000,-1.40479310
5.12500000,32.37500000,9.30637692
4.87500000,32.37500000,-16.72035239
4.62500000,32.37500000,-8.17346042
4.37500000,32.37500000,9.06329184
4.12500000,32.37500000,32.28850400
3.87500000,32.37500000,-10.88900718
3.62500000,32.37500000,-9.71914029
10.37500000,32.62500000,-19.01993781
10.12500000,32.62500000,-19.01993781
9.87500000,32.62500000,-16.30851673
9.62500000,32.62500000,-12.86382597
9.37500000,32.62500000,-16.56015623
9.12500000,32.62500000,-5.78165081
8.87500000,32.62500000,-26.65258312
8.62500000,32.62500000,-27.44173691
8.37500000,32.62500000,-26.78426232
8.12500000,32.62500000,-25.85884180
7.87500000,32.62500000,-14.97852060
7.62500000,32.62500000,-5.38991036
7.37500000,32.62500000,9.90513933
7.12500000,32.62500000,7.66183644
6.87500000,32.62500000,-9.66651593
6.62500000,32.62500000,-6.92237107
6.37500000,32.62500000,-15.88796598
6.12500000,32.62500000,-18.58721035
5.87500000,32.62500000,-27.47577747
5.62500000,32.62500000,-25.25246070
5.37500000,32.62500000,-20.33360234
5.12500000,32.62500000,-13.58434862
4.87500000,32.62500000,234.64864094
4.62500000,32.62500000,199.94342197
4.37500000,32.62500000,-26.27851542
4.12500000,32.62500000,-202.29886097
3.87500000,32.62500000,-20.48165260
3.62500000,32.62500000,-13.98449926
10.37500000,32.87500000,-8.81501495
10.12500000,32.87500000,-8.81501495
9.87500000,32.87500000,-9.30595613
9.62500000,32.87500000,-4.97927637
9.37500000,32.87500000,-7.73852426
9.12500000,32.87500000,-8.22449318
8.87500000,32.87500000,-22.88524359
8.62500000,32.87500000,-26.92005180
8.37500000,32.87500000,-21.50291853
8.12500000,32.87500000,-16.27002658
7.87500000,32.87500000,-4.25430862
7.62500000,32.87500000,-0.29757634
7.37500000,32.87500000,17.54492253
7.12500000,32.87500000,14.61051783
6.87500000,32.87500000,-7.77719282
6.62500000,32.87500000,-6.78006009
6.37500000,32.87500000,-14.41878511
6.12500000,32.87500000,-10.39148818
5.87500000,32.87500000,-21.57108990
5.62500000,32.87500000,-25.85331735
5.37500000,32.87500000,-19.70258337
5.12500000,32.87500000,-13.13199801
4.87500000,32.87500000,-13.85636668
4.62500000,32.87500000,329.43670971
4.37500000,32.87500000,-21.21925762
4.12500000,32.87500000,-124.12615094
3.87500000,32.87500000,-88.92933765
3.62500000,32.87500000,-18.76904412
10.37500000,33.12500000,-11.49212109
10.12500000,33.12500000,-11.49212109
9.87500000,33.12500000,-28.04964967
9.62500000,33.12500000,-17.17342257
9.37500000,33.12500000,-33.67954465
9.12500000,33.12500000,-30.61438296
8.87500000,33.12500000,-11.10125344
8.62500000,33.12500000,-6.47646360
8.37500000,33.12500000,-5.35716056
8.12500000,33.12500000,-5.52986922
7.87500000,33.12500000,-33.67648851
7.62500000,33.12500000,-38.70804674
7.37500000,33.12500000,1.64029975
7.12500000,33.12500000,2.08192412
6.87500000,33.12500000,-38.58568820
6.62500000,33.12500000,-52.28419693
6.37500000,33.12500000,-4.12848792
6.12500000,33.12500000,-2.77749968
5.87500000,33.12500000,-28.83524355
5.62500000,33.12500000,-20.85053803
5.37500000,33.12500000,-8.74787498
5.12500000,33.12500000,-21.67210660
4.87500000,33.12500000,0.31609756
4.62500000,33.12500000,10.02858416
4.37500000,33.12500000,-44.72864848
4.12500000,33.12500000,-17.88501310
3.87500000,33.12500000,-24.14499251
3.62500000,33.12500000,-11.18826431
10.37500000,33.37500000,-12.85164795
10.12500000,33.37500000,-12.85164795
9.87500000,33.37500000,-18.96690478
9.62500000,33.37500000,-14.13009821
9.37500000,33.37500000,-38.78244807
9.12500000,33.37500000,-36.31920282
8.87500000,33.37500000,-2.98068705
8.62500000,33.37500000,12.43970230
8.37500000,33.37500000,-3.30896021
8.12500000,33.37500000,-4.30433802
7.87500000,33.37500000,-31.48948059
7.62500000,33.37500000,-36.67144522
7.37500000,33.37500000,-0.31681069
7.12500000,33.37500000,6.78512810
6.87500000,33.37500000,-59.67500157
6.62500000,33.37500000,-63.07712989
6.37500000,33.37500000,4.38511502
6.12500000,33.37500000,22.91295153
5.87500000,33.37500000,-45.00794345
5.62500000,33.37500000,-32.50884697
5.37500000,33.37500000,-43.11667751
5.12500000,33.37500000,-8.96203966
4.87500000,33.37500000,-8.93838244
4.62500000,33.37500000,4.05216010
4.37500000,33.37500000,41.58226605
4.12500000,33.37500000,-10.88616768
3.87500000,33.37500000,-27.11562631
3.62500000,33.37500000,-15.85978671
10.37500000,33.62500000,-11.73494931
10.12500000,33.62500000,-11.73494931
9.87500000,33.62500000,-2.99251064
9.62500000,33.62500000,-2.68042958
9.37500000,33.62500000,-7.23519554
9.12500000,33.62500000,-4.73398921
8.87500000,33.62500000,-37.84914822
8.62500000,33.62500000,-39.16750265
8.37500000,33.62500000,-12.64767512
8.12500000,33.62500000,-11.81611046
7.87500000,33.62500000,-13.91333649
7.62500000,33.62500000,-7.02027130
7.37500000,33.62500000,-93.87665032
7.12500000,33.62500000,-85.56292232
6.87500000,33.62500000,-66.22088589
6.62500000,33.62500000,-82.78237215
6.37500000,33.62500000,-21.50664279
6.12500000,33.62500000,-17.17594074
5.87500000,33.62500000,-35.95801555
5.62500000,33.62500000,-24.46834392
5.37500000,33.62500000,-45.92400942
5.12500000,33.62500000,-28.10713779
4.87500000,33.62500000,-2.24107277
4.62500000,33.62500000,-0.37935293
4.37500000,33.62500000,-570.40230227
