Latitude,Longitude,% Yield Anomaly
10.37500000,29.62500000,-21.80250078
10.12500000,29.62500000,-21.80250078
9.87500000,29.62500000,-40.06868836
9.62500000,29.62500000,-45.97786906
9.37500000,29.62500000,-2.53406299
9.12500000,29.62500000,-2.24378438
8.87500000,29.62500000,-7.44928268
8.62500000,29.62500000,-8.26840539
8.37500000,29.62500000,-25.96727315
8.12500000,29.62500000,-28.69597064
7.87500000,29.62500000,-26.45062490
7.62500000,29.62500000,-18.57085956
7.37500000,29.62500000,-6.98440584
7.12500000,29.62500000,-5.82431441
6.87500000,29.62500000,-4.70572464
6.62500000,29.62500000,-21.75159702
6.37500000,29.62500000,-1.37120464
6.12500000,29.62500000,-4.32870722
5.87500000,29.62500000,-0.56644468
5.62500000,29.62500000,1.83785540
5.37500000,29.62500000,5.51898228
5.12500000,29.62500000,5.04960913
4.87500000,29.62500000,1.82355907
4.62500000,29.62500000,       NaN
4.37500000,29.62500000,7.13568632
4.12500000,29.62500000,6.90246332
3.87500000,29.62500000,3.91665840
3.62500000,29.62500000,4.18578757
10.37500000,29.87500000,-21.80250078
10.12500000,29.87500000,-21.80250078
9.87500000,29.87500000,-40.06868836
9.62500000,29.87500000,-45.97786906
9.37500000,29.87500000,-2.53406299
9.12500000,29.87500000,-2.24378438
8.87500000,29.87500000,-7.44928268
8.62500000,29.87500000,-8.26840539
8.37500000,29.87500000,-25.96727315
8.12500000,29.87500000,-28.69597064
7.87500000,29.87500000,-26.45062490
7.62500000,29.87500000,-18.57085956
7.37500000,29.87500000,-6.98440584
7.12500000,29.87500000,-5.82431441
6.87500000,29.87500000,-4.70572464
6.62500000,29.87500000,-21.75159702
6.37500000,29.87500000,-1.37120464
6.12500000,29.87500000,-4.32870722
5.87500000,29.87500000,-0.56644468
5.62500000,29.87500000,1.83785540
5.37500000,29.87500000,5.51898228
5.12500000,29.87500000,5.04960913
4.87500000,29.87500000,1.82355907
4.62500000,29.87500000,       NaN
4.37500000,29.87500000,7.13568632
4.12500000,29.87500000,6.90246332
3.87500000,29.87500000,3.91665840
3.62500000,29.87500000,4.18578757
10.37500000,30.12500000,-19.54195188
10.12500000,30.12500000,-19.54195188
9.87500000,30.12500000,-7.31910468
9.62500000,30.12500000,-7.54910445
9.37500000,30.12500000,-7.63440097
9.12500000,30.12500000,-1.07603793
8.87500000,30.12500000,-13.20321748
8.62500000,30.12500000,-25.39153620
8.37500000,30.12500000,-21.74123892
8.12500000,30.12500000,-18.61981142
7.87500000,30.12500000,-9.27492441
7.62500000,30.12500000,-8.48483272
7.37500000,30.12500000,-13.04677359
7.12500000,30.12500000,-13.04677359
6.87500000,30.12500000,-17.03709067
6.62500000,30.12500000,-15.36605596
6.37500000,30.12500000,-0.41446020
6.12500000,30.12500000,3.86233807
5.87500000,30.12500000,7.71268170
5.62500000,30.12500000,8.46526391
5.37500000,30.12500000,6.70743916
5.12500000,30.12500000,9.61827630
4.87500000,30.12500000,5.96201697
4.62500000,30.12500000,       NaN
4.37500000,30.12500000,4.78264457
4.12500000,30.12500000,       NaN
3.87500000,30.12500000,4.42580470
3.62500000,30.12500000,4.01704829
10.37500000,30.37500000,-17.04104793
10.12500000,30.37500000,-17.04104793
9.87500000,30.37500000,-10.23610846
9.62500000,30.37500000,-6.09530913
9.37500000,30.37500000,-8.54862676
9.12500000,30.37500000,-3.15108545
8.87500000,30.37500000,-23.43367412
8.62500000,30.37500000,-28.89761014
8.37500000,30.37500000,-26.18467336
8.12500000,30.37500000,-20.46185333
7.87500000,30.37500000,-4.20276349
7.62500000,30.37500000,-4.19977812
7.37500000,30.37500000,-10.22850041
7.12500000,30.37500000,-10.58583965
6.87500000,30.37500000,-13.62275703
6.62500000,30.37500000,-13.45474281
6.37500000,30.37500000,-2.54528429
6.12500000,30.37500000,2.95425369
5.87500000,30.37500000,7.83117476
5.62500000,30.37500000,8.17289003
5.37500000,30.37500000,6.77136119
5.12500000,30.37500000,9.83529078
4.87500000,30.37500000,3.61922057
4.62500000,30.37500000,4.74081954
4.37500000,30.37500000,4.99335126
4.12500000,30.37500000,5.35109478
3.87500000,30.37500000,2.56382329
3.62500000,30.37500000,       NaN
10.37500000,30.62500000,-13.14346863
10.12500000,30.62500000,-13.14346863
9.87500000,30.62500000,-23.64200955
9.62500000,30.62500000,-23.30052018
9.37500000,30.62500000,-3.74731574
9.12500000,30.62500000,-3.35414613
8.87500000,30.62500000,-6.30959811
8.62500000,30.62500000,-5.57652804
8.37500000,30.62500000,-22.29183400
8.12500000,30.62500000,-19.30619310
7.87500000,30.62500000,-10.56961324
7.62500000,30.62500000,-8.44103023
7.37500000,30.62500000,-18.45903641
7.12500000,30.62500000,-13.00727608
6.87500000,30.62500000,-12.23310731
6.62500000,30.62500000,-4.31001378
6.37500000,30.62500000,-3.13513838
6.12500000,30.62500000,-4.89916270
5.87500000,30.62500000,7.32479385
5.62500000,30.62500000,8.63608462
5.37500000,30.62500000,-11.57133504
5.12500000,30.62500000,2.24932812
4.87500000,30.62500000,-1.29500135
4.62500000,30.62500000,-1.23139536
4.37500000,30.62500000,6.33641123
4.12500000,30.62500000,4.51519575
3.87500000,30.62500000,-2.83210357
3.62500000,30.62500000,       NaN
