Latitude,Longitude,% Yield Anomaly
10.37500000,29.62500000,-23.94316338
10.12500000,29.62500000,-23.94316338
9.87500000,29.62500000,-40.06868836
9.62500000,29.62500000,-45.97786906
9.37500000,29.62500000,-7.50368549
9.12500000,29.62500000,-7.92371656
8.87500000,29.62500000,-13.39075110
8.62500000,29.62500000,-14.24236935
8.37500000,29.62500000,-32.51435739
8.12500000,29.62500000,-35.49668248
7.87500000,29.62500000,-35.16007498
7.62500000,29.62500000,-27.20031808
7.37500000,29.62500000,-9.86904818
7.12500000,29.62500000,-8.48564427
6.87500000,29.62500000,-4.70572464
6.62500000,29.62500000,-21.75159702
6.37500000,29.62500000,-6.08953972
6.12500000,29.62500000,-8.19724438
5.87500000,29.62500000,-2.52833096
5.62500000,29.62500000,-0.34059049
5.37500000,29.62500000,2.45505267
5.12500000,29.62500000,2.81739530
4.87500000,29.62500000,-1.55447688
4.62500000,29.62500000,3.63466759
4.37500000,29.62500000,2.43547477
4.12500000,29.62500000,2.19896691
3.87500000,29.62500000,-0.04375873
3.62500000,29.62500000,0.87147956
10.37500000,29.87500000,-23.94316338
10.12500000,29.87500000,-23.94316338
9.87500000,29.87500000,-40.06868836
9.62500000,29.87500000,-45.97786906
9.37500000,29.87500000,-7.50368549
9.12500000,29.87500000,-7.92371656
8.87500000,29.87500000,-13.39075110
8.62500000,29.87500000,-14.24236935
8.37500000,29.87500000,-32.51435739
8.12500000,29.87500000,-35.49668248
7.87500000,29.87500000,-35.16007498
7.62500000,29.87500000,-27.20031808
7.37500000,29.87500000,-9.86904818
7.12500000,29.87500000,-8.48564427
6.87500000,29.87500000,-4.70572464
6.62500000,29.87500000,-21.75159702
6.37500000,29.87500000,-6.08953972
6.12500000,29.87500000,-8.19724438
5.87500000,29.87500000,-2.52833096
5.62500000,29.87500000,-0.34059049
5.37500000,29.87500000,2.45505267
5.12500000,29.87500000,2.81739530
4.87500000,29.87500000,-1.55447688
4.62500000,29.87500000,3.63466759
4.37500000,29.87500000,2.43547477
4.12500000,29.87500000,2.19896691
3.87500000,29.87500000,-0.04375873
3.62500000,29.87500000,0.87147956
10.37500000,30.12500000,-23.82905914
10.12500000,30.12500000,-23.82905914
9.87500000,30.12500000,-12.68431584
9.62500000,30.12500000,-12.95519423
9.37500000,30.12500000,-12.10829288
9.12500000,30.12500000,-5.60042509
8.87500000,30.12500000,-13.20321748
8.62500000,30.12500000,-25.39153620
8.37500000,30.12500000,-23.45529887
8.12500000,30.12500000,-20.39868113
7.87500000,30.12500000,-17.28513754
7.62500000,30.12500000,-16.26953621
7.37500000,30.12500000,-13.04677359
7.12500000,30.12500000,-13.04677359
6.87500000,30.12500000,-23.49859721
6.62500000,30.12500000,-21.79434258
6.37500000,30.12500000,-5.94643380
6.12500000,30.12500000,-3.06759466
5.87500000,30.12500000,2.15269666
5.62500000,30.12500000,4.22785424
5.37500000,30.12500000,1.80096874
5.12500000,30.12500000,6.44273660
4.87500000,30.12500000,3.61317077
4.62500000,30.12500000,4.64743236
4.37500000,30.12500000,2.69313663
4.12500000,30.12500000,4.43602828
3.87500000,30.12500000,2.39081393
3.62500000,30.12500000,2.98568243
10.37500000,30.37500000,-21.51217698
10.12500000,30.37500000,-21.51217698
9.87500000,30.37500000,-15.82062027
9.62500000,30.37500000,-12.37840595
9.37500000,30.37500000,-12.49127513
9.12500000,30.37500000,-7.56138911
8.87500000,30.37500000,-23.43367412
8.62500000,30.37500000,-28.89761014
8.37500000,30.37500000,-27.42037611
8.12500000,30.37500000,-21.52011345
7.87500000,30.37500000,-11.83860182
7.62500000,30.37500000,-11.89551558
7.37500000,30.37500000,-10.22850041
7.12500000,30.37500000,-10.58583965
6.87500000,30.37500000,-19.72887696
6.62500000,30.37500000,-19.58054022
6.37500000,30.37500000,-7.15900731
6.12500000,30.37500000,-3.27410076
5.87500000,30.37500000,2.38931091
5.62500000,30.37500000,3.82865074
5.37500000,30.37500000,1.94130469
5.12500000,30.37500000,5.96222629
4.87500000,30.37500000,-0.01099711
4.62500000,30.37500000,2.10784144
4.37500000,30.37500000,2.98079890
4.12500000,30.37500000,3.02088263
3.87500000,30.37500000,2.21431922
3.62500000,30.37500000,1.22431984
10.37500000,30.62500000,-13.14346863
10.12500000,30.62500000,-13.14346863
9.87500000,30.62500000,-27.31701390
9.62500000,30.62500000,-27.01248711
9.37500000,30.62500000,-8.44204661
9.12500000,30.62500000,-7.44606494
8.87500000,30.62500000,-6.30959811
8.62500000,30.62500000,-5.57652804
8.37500000,30.62500000,-26.78877946
8.12500000,30.62500000,-25.97659630
7.87500000,30.62500000,-11.89028726
7.62500000,30.62500000,-10.89616005
7.37500000,30.62500000,-25.38146731
7.12500000,30.62500000,-18.48356200
6.87500000,30.62500000,-18.44056285
6.62500000,30.62500000,-10.15322318
6.37500000,30.62500000,-5.92467806
6.12500000,30.62500000,-9.15016495
5.87500000,30.62500000,0.15493526
5.62500000,30.62500000,1.17241918
5.37500000,30.62500000,-15.65903444
5.12500000,30.62500000,1.01379974
4.87500000,30.62500000,-1.29500135
4.62500000,30.62500000,-1.23139536
4.37500000,30.62500000,3.05437537
4.12500000,30.62500000,2.01035077
3.87500000,30.62500000,-2.83210357
3.62500000,30.62500000,       NaN
10.37500000,30.87500000,-15.13717710
10.12500000,30.87500000,-15.13717710
9.87500000,30.87500000,-32.04812605
9.62500000,30.87500000,-23.76499188
9.37500000,30.87500000,-7.50561781
9.12500000,30.87500000,-7.71118977
8.87500000,30.87500000,-5.57652804
8.62500000,30.87500000,-8.96518280
8.37500000,30.87500000,-28.47028889
8.12500000,30.87500000,-29.86200799
7.87500000,30.87500000,-14.50411994
7.62500000,30.87500000,-10.22770516
7.37500000,30.87500000,-25.68946011
7.12500000,30.87500000,-19.08728327
6.87500000,30.87500000,-22.02576593
6.62500000,30.87500000,-16.12671561
6.37500000,30.87500000,-1.20512951
6.12500000,30.87500000,-7.74971361
5.87500000,30.87500000,-3.51692080
5.62500000,30.87500000,0.68918820
5.37500000,30.87500000,-8.16754538
5.12500000,30.87500000,-4.42340273
4.87500000,30.87500000,-13.37199160
4.62500000,30.87500000,-1.94311025
4.37500000,30.87500000,6.77447559
4.12500000,30.87500000,6.44594148
3.87500000,30.87500000,-3.10232247
3.62500000,30.87500000,-2.77996662
10.37500000,31.12500000,-36.44009447
10.12500000,31.12500000,-36.44009447
9.87500000,31.12500000,-6.31546963
9.62500000,31.12500000,-4.96156592
9.37500000,31.12500000,-4.90857526
9.12500000,31.12500000,-5.42145304
8.87500000,31.12500000,-26.03362299
8.62500000,31.12500000,-27.38862396
8.37500000,31.12500000,-5.12700804
8.12500000,31.12500000,-13.78002969
7.87500000,31.12500000,-17.28942558
7.62500000,31.12500000,-14.35296680
7.37500000,31.12500000,-14.85582301
7.12500000,31.12500000,-14.36718504
6.87500000,31.12500000,-18.59624731
6.62500000,31.12500000,-19.52916875
6.37500000,31.12500000,-7.33450438
6.12500000,31.12500000,-8.85428734
5.87500000,31.12500000,-19.41230755
5.62500000,31.12500000,-6.10761863
5.37500000,31.12500000,-0.24035207
5.12500000,31.12500000,-1.06230832
4.87500000,31.12500000,-5.73596400
4.62500000,31.12500000,2.15013427
4.37500000,31.12500000,       NaN
4.12500000,31.12500000,       NaN
3.87500000,31.12500000,2.25293604
3.62500000,31.12500000,6.21110682
10.37500000,31.37500000,-30.96600770
10.12500000,31.37500000,-30.96600770
9.87500000,31.37500000,-4.17828894
9.62500000,31.37500000,-5.66493434
9.37500000,31.37500000,       NaN
9.12500000,31.37500000,-5.42145304
8.87500000,31.37500000,-21.98358135
8.62500000,31.37500000,-27.16024079
8.37500000,31.37500000,-9.06179730
8.12500000,31.37500000,-8.16289012
7.87500000,31.37500000,-18.45851419
7.62500000,31.37500000,-15.82082670
7.37500000,31.37500000,-15.82102113
7.12500000,31.37500000,-14.06783098
6.87500000,31.37500000,-13.81243372
6.62500000,31.37500000,-21.51668613
6.37500000,31.37500000,-10.07914403
6.12500000,31.37500000,-8.87838733
5.87500000,31.37500000,-19.63858701
5.62500000,31.37500000,-10.37882161
5.37500000,31.37500000,-5.15020653
5.12500000,31.37500000,-5.96645558
4.87500000,31.37500000,-5.86877065
4.62500000,31.37500000,-0.63268513
4.37500000,31.37500000,       NaN
4.12500000,31.37500000,       NaN
3.87500000,31.37500000,-19.27433320
3.62500000,31.37500000,4.79447573
10.37500000,31.62500000,-33.71251499
10.12500000,31.62500000,-33.71251499
9.87500000,31.62500000,-37.41350425
9.62500000,31.62500000,-60.12477167
9.37500000,31.62500000,       NaN
9.12500000,31.62500000,-36.44453999
8.87500000,31.62500000,-19.66325792
8.62500000,31.62500000,-46.19574491
8.37500000,31.62500000,-0.25442791
8.12500000,31.62500000,-4.85827015
7.87500000,31.62500000,-39.82165078
7.62500000,31.62500000,-35.39885486
7.37500000,31.62500000,-20.44267777
7.12500000,31.62500000,-16.72892867
6.87500000,31.62500000,-9.42897076
6.62500000,31.62500000,-3.31952894
6.37500000,31.62500000,-15.68824907
6.12500000,31.62500000,-13.50824207
5.87500000,31.62500000,-13.76484368
5.62500000,31.62500000,-10.75615255
5.37500000,31.62500000,-11.86355057
5.12500000,31.62500000,-17.23842129
4.87500000,31.62500000,-15.61772304
4.62500000,31.62500000,-21.42261012
4.37500000,31.62500000,-7.12921747
4.12500000,31.62500000,-3.99774386
3.87500000,31.62500000,       NaN
3.62500000,31.62500000,-7.39057763
10.37500000,31.87500000,-42.06536533
10.12500000,31.87500000,-42.06536533
9.87500000,31.87500000,-56.33076521
9.62500000,31.87500000,-55.71409496
9.37500000,31.87500000,-42.42977317
9.12500000,31.87500000,-34.97345824
8.87500000,31.87500000,-16.45845783
8.62500000,31.87500000,-28.17598611
8.37500000,31.87500000,-0.58968896
8.12500000,31.87500000,0.15385188
7.87500000,31.87500000,-32.00790675
7.62500000,31.87500000,-31.36520873
7.37500000,31.87500000,-15.05870699
7.12500000,31.87500000,-13.51054100
6.87500000,31.87500000,-8.32930605
6.62500000,31.87500000,-8.71613867
6.37500000,31.87500000,-20.19804311
6.12500000,31.87500000,-14.75355487
5.87500000,31.87500000,-9.09115408
5.62500000,31.87500000,-7.39715680
5.37500000,31.87500000,-11.86355057
5.12500000,31.87500000,-18.00359430
4.87500000,31.87500000,-17.58923156
4.62500000,31.87500000,10.59937477
4.37500000,31.87500000,5.85344246
4.12500000,31.87500000,4.84842285
3.87500000,31.87500000,-2.86856224
3.62500000,31.87500000,-2.95048397
10.37500000,32.12500000,-37.46726419
10.12500000,32.12500000,-37.46726419
9.87500000,32.12500000,-55.05759926
9.62500000,32.12500000,-46.30655604
9.37500000,32.12500000,-18.84084641
9.12500000,32.12500000,-3.48359546
8.87500000,32.12500000,-18.82366921
8.62500000,32.12500000,-26.28731318
8.37500000,32.12500000,-33.32736530
8.12500000,32.12500000,-31.35528921
7.87500000,32.12500000,-33.58144695
7.62500000,32.12500000,-27.88800885
7.37500000,32.12500000,-15.58213372
7.12500000,32.12500000,-19.91999041
6.87500000,32.12500000,-25.43423788
6.62500000,32.12500000,-34.70778733
6.37500000,32.12500000,-11.35268464
6.12500000,32.12500000,-10.37554003
5.87500000,32.12500000,-12.76544140
5.62500000,32.12500000,-7.27593116
5.37500000,32.12500000,-22.60425022
5.12500000,32.12500000,-11.89599173
4.87500000,32.12500000,-9.22698355
4.62500000,32.12500000,2.85064909
4.37500000,32.12500000,       NaN
4.12500000,32.12500000,2.47181933
3.87500000,32.12500000,4.05610410
3.62500000,32.12500000,0.12882010
10.37500000,32.37500000,-22.43682635
10.12500000,32.37500000,-22.43682635
9.87500000,32.37500000,-37.66643627
9.62500000,32.37500000,-37.84567056
9.37500000,32.37500000,-4.41533916
9.12500000,32.37500000,-4.41533916
8.87500000,32.37500000,-19.48827524
8.62500000,32.37500000,-22.79653740
8.37500000,32.37500000,-41.42625120
8.12500000,32.37500000,       NaN
7.87500000,32.37500000,-40.05246148
7.62500000,32.37500000,-33.58144695
7.37500000,32.37500000,-21.57900537
7.12500000,32.37500000,-30.02324382
6.87500000,32.37500000,-33.43905911
6.62500000,32.37500000,-31.45766311
6.37500000,32.37500000,-9.81144796
6.12500000,32.37500000,-11.57289946
5.87500000,32.37500000,-11.98634161
5.62500000,32.37500000,-15.15845056
5.37500000,32.37500000,-22.60425022
5.12500000,32.37500000,-9.98878454
4.87500000,32.37500000,-9.54998824
4.62500000,32.37500000,-1.40502228
4.37500000,32.37500000,3.99460914
4.12500000,32.37500000,       NaN
3.87500000,32.37500000,5.05190690
3.62500000,32.37500000,5.21450905
10.37500000,32.62500000,-30.67820502
10.12500000,32.62500000,-30.67820502
9.87500000,32.62500000,-34.64873985
9.62500000,32.62500000,-29.90811755
9.37500000,32.62500000,-26.35225102
9.12500000,32.62500000,-25.97484493
8.87500000,32.62500000,-17.99820723
8.62500000,32.62500000,-20.72839671
8.37500000,32.62500000,-24.77037392
8.12500000,32.62500000,       NaN
7.87500000,32.62500000,       NaN
7.62500000,32.62500000,-26.73078113
7.37500000,32.62500000,-23.31780879
7.12500000,32.62500000,-27.13877863
6.87500000,32.62500000,-17.93696692
6.62500000,32.62500000,-19.25463381
6.37500000,32.62500000,-13.80848727
6.12500000,32.62500000,-13.77448837
5.87500000,32.62500000,-10.16536479
5.62500000,32.62500000,-13.38176167
5.37500000,32.62500000,-20.58295037
5.12500000,32.62500000,-7.52221942
4.87500000,32.62500000,1.83498749
4.62500000,32.62500000,-9.04000642
4.37500000,32.62500000,       NaN
4.12500000,32.62500000,       NaN
3.87500000,32.62500000,       NaN
3.62500000,32.62500000,5.09789445
10.37500000,32.87500000,-20.44751427
10.12500000,32.87500000,-20.44751427
9.87500000,32.87500000,-26.64945826
9.62500000,32.87500000,-21.88743391
9.37500000,32.87500000,-17.60866234
9.12500000,32.87500000,-19.43005049
