Latitude,Longitude,% Yield Anomaly
10.37500000,29.62500000,-93.03350259
10.12500000,29.62500000,-93.03350259
9.87500000,29.62500000,-296.19213191
9.62500000,29.62500000,-270.61446988
9.37500000,29.62500000,-86.39710446
9.12500000,29.62500000,-74.82460703
8.87500000,29.62500000,-20.70649401
8.62500000,29.62500000,-20.33575464
8.37500000,29.62500000,-26.40763260
8.12500000,29.62500000,-26.65010324
7.87500000,29.62500000,4.17648298
7.62500000,29.62500000,-14.04892445
7.37500000,29.62500000,-99.04423076
7.12500000,29.62500000,-109.01875845
6.87500000,29.62500000,-22.23947830
6.62500000,29.62500000,-33.15937978
6.37500000,29.62500000,-29.67183528
6.12500000,29.62500000,-34.91580842
5.87500000,29.62500000,-155.00421783
5.62500000,29.62500000,-196.35250653
5.37500000,29.62500000,3.55396042
5.12500000,29.62500000,4.97794512
4.87500000,29.62500000,28.06225601
4.62500000,29.62500000,51.20119486
4.37500000,29.62500000,       NaN
4.12500000,29.62500000,       NaN
3.87500000,29.62500000,       NaN
3.62500000,29.62500000,       NaN
10.37500000,29.87500000,-93.03350259
10.12500000,29.87500000,-93.03350259
9.87500000,29.87500000,-296.19213191
9.62500000,29.87500000,-270.61446988
9.37500000,29.87500000,-86.39710446
9.12500000,29.87500000,-74.82460703
8.87500000,29.87500000,-20.70649401
8.62500000,29.87500000,-20.33575464
8.37500000,29.87500000,-26.40763260
8.12500000,29.87500000,-26.65010324
7.87500000,29.87500000,4.17648298
7.62500000,29.87500000,-14.04892445
7.37500000,29.87500000,-99.04423076
7.12500000,29.87500000,-109.01875845
6.87500000,29.87500000,-22.23947830
6.62500000,29.87500000,-33.15937978
6.37500000,29.87500000,-29.67183528
6.12500000,29.87500000,-34.91580842
5.87500000,29.87500000,-155.00421783
5.62500000,29.87500000,-196.35250653
5.37500000,29.87500000,3.55396042
5.12500000,29.87500000,4.97794512
4.87500000,29.87500000,28.06225601
4.62500000,29.87500000,51.20119486
4.37500000,29.87500000,       NaN
4.12500000,29.87500000,       NaN
3.87500000,29.87500000,       NaN
3.62500000,29.87500000,       NaN
10.37500000,30.12500000,-241.97260167
10.12500000,30.12500000,-241.97260167
9.87500000,30.12500000,-29.84823186
9.62500000,30.12500000,-37.28120365
9.37500000,30.12500000,-139.19011402
9.12500000,30.12500000,-134.11441812
8.87500000,30.12500000,-39.17143554
8.62500000,30.12500000,-28.26252818
8.37500000,30.12500000,-96.45282487
8.12500000,30.12500000,-93.27032390
7.87500000,30.12500000,-106.31487618
7.62500000,30.12500000,-103.08017196
7.37500000,30.12500000,-45.57219038
7.12500000,30.12500000,-45.06862821
6.87500000,30.12500000,-59.60911824
6.62500000,30.12500000,-30.01990427
6.37500000,30.12500000,7.27947750
6.12500000,30.12500000,-10.98584021
5.87500000,30.12500000,-36.93328384
5.62500000,30.12500000,-25.16617446
5.37500000,30.12500000,30.53941348
5.12500000,30.12500000,40.10058011
4.87500000,30.12500000,-2.27802906
4.62500000,30.12500000,-5.83211208
4.37500000,30.12500000,54.88751663
4.12500000,30.12500000,52.16831021
3.87500000,30.12500000,       NaN
3.62500000,30.12500000,       NaN
10.37500000,30.37500000,-214.07395383
10.12500000,30.37500000,-214.07395383
9.87500000,30.37500000,-45.62859915
9.62500000,30.37500000,-45.71925886
9.37500000,30.37500000,-141.40050444
9.12500000,30.37500000,-139.99989746
8.87500000,30.37500000,-27.12488274
8.62500000,30.37500000,-34.59279815
8.37500000,30.37500000,-97.02206691
8.12500000,30.37500000,-88.03869263
7.87500000,30.37500000,-91.78497511
7.62500000,30.37500000,-98.66869616
7.37500000,30.37500000,-38.41526574
7.12500000,30.37500000,-22.70558924
6.87500000,30.37500000,-55.59943493
6.62500000,30.37500000,-44.39146781
6.37500000,30.37500000,-25.78080337
6.12500000,30.37500000,7.18799210
5.87500000,30.37500000,-40.27316728
5.62500000,30.37500000,-56.09078248
5.37500000,30.37500000,18.08296784
5.12500000,30.37500000,28.24014803
4.87500000,30.37500000,-5.85063111
4.62500000,30.37500000,3.89302364
4.37500000,30.37500000,65.17133320
4.12500000,30.37500000,57.34427825
3.87500000,30.37500000,       NaN
3.62500000,30.37500000,       NaN
10.37500000,30.62500000,-73.78678927
10.12500000,30.62500000,-73.78678927
