Latitude,Longitude,% Yield Anomaly
10.37500000,29.62500000,-83.23202702
10.12500000,29.62500000,-83.23202702
9.87500000,29.62500000,-33.48360167
9.62500000,29.62500000,-37.83805318
9.37500000,29.62500000,-44.50804977
9.12500000,29.62500000,-39.82757434
8.87500000,29.62500000,-36.72995159
8.62500000,29.62500000,-40.87822119
8.37500000,29.62500000,-19.13542854
8.12500000,29.62500000,       NaN
7.87500000,29.62500000,       NaN
7.62500000,29.62500000,-13.85440771
7.37500000,29.62500000,-30.98584380
7.12500000,29.62500000,-30.38369917
6.87500000,29.62500000,-17.95558117
6.62500000,29.62500000,-25.24959687
6.37500000,29.62500000,0.15052091
6.12500000,29.62500000,-3.36616550
5.87500000,29.62500000,2.51382921
5.62500000,29.62500000,15.86925082
5.37500000,29.62500000,14.05365623
5.12500000,29.62500000,19.30933169
4.87500000,29.62500000,12.05992832
4.62500000,29.62500000,       NaN
4.37500000,29.62500000,17.28960075
4.12500000,29.62500000,17.14271702
3.87500000,29.62500000,0.86307178
3.62500000,29.62500000,2.36639400
10.37500000,29.87500000,-83.23202702
10.12500000,29.87500000,-83.23202702
9.87500000,29.87500000,-33.48360167
9.62500000,29.87500000,-37.83805318
9.37500000,29.87500000,-44.50804977
9.12500000,29.87500000,-39.82757434
8.87500000,29.87500000,-36.72995159
8.62500000,29.87500000,-40.87822119
8.37500000,29.87500000,-19.13542854
8.12500000,29.87500000,       NaN
7.87500000,29.87500000,       NaN
7.62500000,29.87500000,-13.85440771
7.37500000,29.87500000,-30.98584380
7.12500000,29.87500000,-30.38369917
6.87500000,29.87500000,-17.95558117
6.62500000,29.87500000,-25.24959687
6.37500000,29.87500000,0.15052091
6.12500000,29.87500000,-3.36616550
5.87500000,29.87500000,2.51382921
5.62500000,29.87500000,15.86925082
5.37500000,29.87500000,14.05365623
5.12500000,29.87500000,19.30933169
4.87500000,29.87500000,12.05992832
4.62500000,29.87500000,       NaN
4.37500000,29.87500000,17.28960075
4.12500000,29.87500000,17.14271702
3.87500000,29.87500000,0.86307178
3.62500000,29.87500000,2.36639400
10.37500000,30.12500000,-49.63285897
10.12500000,30.12500000,-49.63285897
9.87500000,30.12500000,-41.87412763
9.62500000,30.12500000,-48.37704912
9.37500000,30.12500000,-51.12679972
9.12500000,30.12500000,-45.99813049
8.87500000,30.12500000,-40.04990524
8.62500000,30.12500000,-42.64062288
8.37500000,30.12500000,       NaN
8.12500000,30.12500000,       NaN
7.87500000,30.12500000,       NaN
7.62500000,30.12500000,-27.77279378
7.37500000,30.12500000,-12.53284083
7.12500000,30.12500000,-14.62035824
6.87500000,30.12500000,-23.26226239
6.62500000,30.12500000,-13.73328416
6.37500000,30.12500000,4.34359545
6.12500000,30.12500000,19.27957945
5.87500000,30.12500000,28.52767528
5.62500000,30.12500000,35.56108747
5.37500000,30.12500000,34.94024988
5.12500000,30.12500000,55.05315974
4.87500000,30.12500000,34.25934431
4.62500000,30.12500000,       NaN
4.37500000,30.12500000,26.56571001
4.12500000,30.12500000,       NaN
3.87500000,30.12500000,18.48929000
3.62500000,30.12500000,17.85057861
10.37500000,30.37500000,-43.54336450
10.12500000,30.37500000,-43.54336450
9.87500000,30.37500000,-48.28175235
9.62500000,30.37500000,-48.20956712
9.37500000,30.37500000,-51.18944321
9.12500000,30.37500000,-48.44976467
8.87500000,30.37500000,-44.69090823
8.62500000,30.37500000,-31.81155983
8.37500000,30.37500000,-48.25587721
8.12500000,30.37500000,-34.08483997
7.87500000,30.37500000,-17.53376870
7.62500000,30.37500000,-15.75963319
7.37500000,30.37500000,-14.73963969
7.12500000,30.37500000,-14.73963969
6.87500000,30.37500000,-12.92150375
6.62500000,30.37500000,-11.60233878
6.37500000,30.37500000,-10.86408999
6.12500000,30.37500000,12.15016121
5.87500000,30.37500000,22.23825064
5.62500000,30.37500000,32.86488754
5.37500000,30.37500000,41.63343121
5.12500000,30.37500000,54.14729640
4.87500000,30.37500000,17.39059188
4.62500000,30.37500000,31.03562787
4.37500000,30.37500000,21.40369142
4.12500000,30.37500000,27.54372807
3.87500000,30.37500000,19.91844736
3.62500000,30.37500000,       NaN
10.37500000,30.62500000,-60.28493582
10.12500000,30.62500000,-60.28493582
9.87500000,30.62500000,-63.88874413
9.62500000,30.62500000,-60.03319526
9.37500000,30.62500000,-31.87076175
9.12500000,30.62500000,-34.31789401
8.87500000,30.62500000,-40.82592910
8.62500000,30.62500000,-38.25871047
8.37500000,30.62500000,-53.88376518
8.12500000,30.62500000,-52.31204367
7.87500000,30.62500000,-35.63731292
7.62500000,30.62500000,-31.76813056
7.37500000,30.62500000,-29.94048528
7.12500000,30.62500000,-31.08867984
6.87500000,30.62500000,-13.12018428
6.62500000,30.62500000,2.34803074
6.37500000,30.62500000,-20.39026254
6.12500000,30.62500000,-26.72779634
5.87500000,30.62500000,16.29056753
5.62500000,30.62500000,31.02798912
5.37500000,30.62500000,21.14058122
5.12500000,30.62500000,52.79638096
4.87500000,30.62500000,13.76725888
4.62500000,30.62500000,       NaN
4.37500000,30.62500000,24.53360896
4.12500000,30.62500000,19.04304938
3.87500000,30.62500000,21.05824419
3.62500000,30.62500000,       NaN
10.37500000,30.87500000,-62.55715328
10.12500000,30.87500000,-62.55715328
9.87500000,30.87500000,-16.46157012
9.62500000,30.87500000,-53.96629620
9.37500000,30.87500000,-35.54920458
9.12500000,30.87500000,-33.91008563
8.87500000,30.87500000,-40.82592910
8.62500000,30.87500000,-40.01304559
8.37500000,30.87500000,-54.39821883
8.12500000,30.87500000,-59.33420470
7.87500000,30.87500000,-42.62124412
7.62500000,30.87500000,-37.02097254
7.37500000,30.87500000,-31.10003073
7.12500000,30.87500000,-30.99675619
6.87500000,30.87500000,-6.10616964
6.62500000,30.87500000,0.61577109
6.37500000,30.87500000,-11.60571583
6.12500000,30.87500000,-27.24328183
5.87500000,30.87500000,0.67128039
5.62500000,30.87500000,12.19773774
5.37500000,30.87500000,21.41132413
5.12500000,30.87500000,35.14880123
4.87500000,30.87500000,-12.99287801
4.62500000,30.87500000,6.37028881
4.37500000,30.87500000,       NaN
4.12500000,30.87500000,       NaN
3.87500000,30.87500000,24.19313255
3.62500000,30.87500000,       NaN
10.37500000,31.12500000,-62.69805438
10.12500000,31.12500000,-62.69805438
9.87500000,31.12500000,-61.91133634
9.62500000,31.12500000,-60.43352352
9.37500000,31.12500000,-68.28637498
9.12500000,31.12500000,-92.96190724
8.87500000,31.12500000,-51.31085953
8.62500000,31.12500000,-43.73453177
8.37500000,31.12500000,-41.19089009
8.12500000,31.12500000,-55.85378630
7.87500000,31.12500000,-31.84647135
7.62500000,31.12500000,-33.91362403
7.37500000,31.12500000,-27.68684014
7.12500000,31.12500000,-30.16390286
6.87500000,31.12500000,-15.46544269
6.62500000,31.12500000,-4.06338915
6.37500000,31.12500000,-1.99100215
6.12500000,31.12500000,-4.19384353
5.87500000,31.12500000,9.65339383
5.62500000,31.12500000,35.14886352
5.37500000,31.12500000,31.08247528
5.12500000,31.12500000,32.30288221
4.87500000,31.12500000,3.86331124
4.62500000,31.12500000,       NaN
4.37500000,31.12500000,       NaN
4.12500000,31.12500000,       NaN
3.87500000,31.12500000,8.97717489
3.62500000,31.12500000,19.00698240
10.37500000,31.37500000,-62.10890062
10.12500000,31.37500000,-62.10890062
9.87500000,31.37500000,-61.16523088
9.62500000,31.37500000,-62.37338605
9.37500000,31.37500000,       NaN
9.12500000,31.37500000,-79.57325737
8.87500000,31.37500000,-47.37969662
8.62500000,31.37500000,-43.54586721
8.37500000,31.37500000,-57.54101436
8.12500000,31.37500000,-43.75383363
7.87500000,31.37500000,-31.84647135
7.62500000,31.37500000,-35.29305166
7.37500000,31.37500000,-28.92627612
7.12500000,31.37500000,-21.87735715
6.87500000,31.37500000,-18.87267613
6.62500000,31.37500000,-18.60244018
6.37500000,31.37500000,-6.23509451
