Latitude,Longitude,% Yield Anomaly
10.37500000,29.62500000,-105.87341050
10.12500000,29.62500000,-105.87341050
9.87500000,29.62500000,-40.94678043
9.62500000,29.62500000,-41.67471352
9.37500000,29.62500000,-48.95571745
9.12500000,29.62500000,-46.72036853
8.87500000,29.62500000,-72.30875912
8.62500000,29.62500000,-68.99360781
8.37500000,29.62500000,-30.15213070
8.12500000,29.62500000,       NaN
7.87500000,29.62500000,       NaN
7.62500000,29.62500000,-13.85440771
7.37500000,29.62500000,-66.84427515
7.12500000,29.62500000,-63.31275762
6.87500000,29.62500000,-53.35753212
6.62500000,29.62500000,-58.59756212
6.37500000,29.62500000,-35.68760037
6.12500000,29.62500000,-40.98940004
5.87500000,29.62500000,-26.56249874
5.62500000,29.62500000,-17.07969597
5.37500000,29.62500000,-20.84926184
5.12500000,29.62500000,-15.41973780
4.87500000,29.62500000,-16.51250441
4.62500000,29.62500000,4.91293594
4.37500000,29.62500000,-6.11316420
4.12500000,29.62500000,-6.20120793
3.87500000,29.62500000,-12.44499109
3.62500000,29.62500000,-13.88031902
10.37500000,29.87500000,-105.87341050
10.12500000,29.87500000,-105.87341050
9.87500000,29.87500000,-40.94678043
9.62500000,29.87500000,-41.67471352
9.37500000,29.87500000,-48.95571745
9.12500000,29.87500000,-46.72036853
8.87500000,29.87500000,-72.30875912
8.62500000,29.87500000,-68.99360781
8.37500000,29.87500000,-30.15213070
8.12500000,29.87500000,       NaN
7.87500000,29.87500000,       NaN
7.62500000,29.87500000,-13.85440771
7.37500000,29.87500000,-66.84427515
7.12500000,29.87500000,-63.31275762
6.87500000,29.87500000,-53.35753212
6.62500000,29.87500000,-58.59756212
6.37500000,29.87500000,-35.68760037
6.12500000,29.87500000,-40.98940004
5.87500000,29.87500000,-26.56249874
5.62500000,29.87500000,-17.07969597
5.37500000,29.87500000,-20.84926184
5.12500000,29.87500000,-15.41973780
4.87500000,29.87500000,-16.51250441
4.62500000,29.87500000,4.91293594
4.37500000,29.87500000,-6.11316420
4.12500000,29.87500000,-6.20120793
3.87500000,29.87500000,-12.44499109
3.62500000,29.87500000,-13.88031902
10.37500000,30.12500000,-59.26803580
10.12500000,30.12500000,-59.26803580
9.87500000,30.12500000,-59.33849332
9.62500000,30.12500000,-58.94214009
9.37500000,30.12500000,-56.89043231
9.12500000,30.12500000,-53.04168187
8.87500000,30.12500000,-64.72953825
8.62500000,30.12500000,-67.39065742
8.37500000,30.12500000,       NaN
8.12500000,30.12500000,       NaN
7.87500000,30.12500000,       NaN
7.62500000,30.12500000,-41.70327707
7.37500000,30.12500000,-12.53284083
7.12500000,30.12500000,-14.62035824
6.87500000,30.12500000,-56.57988052
6.62500000,30.12500000,-47.96955985
6.37500000,30.12500000,-38.51426214
6.12500000,30.12500000,-27.48196073
5.87500000,30.12500000,-24.73032114
5.62500000,30.12500000,-19.83374083
5.37500000,30.12500000,11.23688699
5.12500000,30.12500000,24.63591837
4.87500000,30.12500000,7.17902037
4.62500000,30.12500000,11.23868994
4.37500000,30.12500000,0.80866060
4.12500000,30.12500000,3.35313004
3.87500000,30.12500000,-4.45458425
3.62500000,30.12500000,-4.74035280
10.37500000,30.37500000,-54.20082933
10.12500000,30.37500000,-54.20082933
9.87500000,30.37500000,-58.78740964
9.62500000,30.37500000,-57.31183017
9.37500000,30.37500000,-56.70756746
9.12500000,30.37500000,-56.48194735
