Latitude,Longitude,% Yield Anomaly,crop,temperature,precipitation,type,datetime
10.375,29.625,-14.73121513,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
10.125,29.625,-14.73121513,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.875,29.625,-22.50500898,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.625,29.625,-16.33227251,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.375,29.625,-4.88146303,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.125,29.625,-5.65153098,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.875,29.625,-8.91112152,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.625,29.625,-12.87904629,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.375,29.625,-23.24652887,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.125,29.625,-21.83293572,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.875,29.625,-30.60665135,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.625,29.625,-25.36832659,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.375,29.625,-21.31602453,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.125,29.625,2.53009026,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.875,29.625,-2.05942106,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.625,29.625,4.91676129,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.375,29.625,2.94549365,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.125,29.625,4.65374252,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.875,29.625,-11.50811147,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.625,29.625,-15.71076999,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.375,29.625,4.40119321,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.125,29.625,3.86925397,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.875,29.625,12.94271321,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.625,29.625,9.65214274,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.375,29.625,,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.125,29.625,,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
3.875,29.625,,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
3.625,29.625,,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
10.375,29.875,-14.73121513,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
10.125,29.875,-14.73121513,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.875,29.875,-22.50500898,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.625,29.875,-16.33227251,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.375,29.875,-4.88146303,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.125,29.875,-5.65153098,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.875,29.875,-8.91112152,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.625,29.875,-12.87904629,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.375,29.875,-23.24652887,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.125,29.875,-21.83293572,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.875,29.875,-30.60665135,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.625,29.875,-25.36832659,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.375,29.875,-21.31602453,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.125,29.875,2.53009026,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.875,29.875,-2.05942106,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.625,29.875,4.91676129,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.375,29.875,2.94549365,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.125,29.875,4.65374252,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.875,29.875,-11.50811147,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.625,29.875,-15.71076999,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.375,29.875,4.40119321,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.125,29.875,3.86925397,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.875,29.875,12.94271321,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.625,29.875,9.65214274,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.375,29.875,,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.125,29.875,,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
3.875,29.875,,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
3.625,29.875,,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
10.375,30.125,-19.03075387,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
10.125,30.125,-19.03075387,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.875,30.125,-22.72023985,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.625,30.125,-12.28951721,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.375,30.125,-17.14759421,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.125,30.125,-16.50537923,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.875,30.125,6.50150463,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.625,30.125,-7.24993296,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.375,30.125,-23.22033509,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.125,30.125,-23.73596921,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.875,30.125,-6.30813119,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.625,30.125,-9.2430512,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.375,30.125,9.76895377,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.125,30.125,14.97466952,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.875,30.125,-13.96935688,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.625,30.125,-13.92070548,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.375,30.125,-7.763066,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.125,30.125,-3.94592097,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.875,30.125,-12.24641468,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.625,30.125,-13.24894004,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.375,30.125,-0.48235003,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.125,30.125,0.77030317,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.875,30.125,2.15846327,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.625,30.125,5.29606237,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.375,30.125,4.49332459,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.125,30.125,3.74860554,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
3.875,30.125,,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
3.625,30.125,,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
10.375,30.375,-17.28689489,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
10.125,30.375,-17.28689489,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.875,30.375,-15.56866381,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.625,30.375,-25.09376199,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.375,30.375,-14.685652,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.125,30.375,2.44398958,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.875,30.375,1.62149726,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.625,30.375,-9.67850333,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.375,30.375,-25.3217998,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.125,30.375,-23.00276996,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.875,30.375,-9.19220246,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.625,30.375,-14.28961823,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.375,30.375,-0.46076485,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.125,30.375,1.93653943,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.875,30.375,-11.63704554,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.625,30.375,-10.27961002,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.375,30.375,-21.67385985,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.125,30.375,-6.14396291,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.875,30.375,-12.45347647,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.625,30.375,-8.04710799,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.375,30.375,-4.62847512,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.125,30.375,-3.83339391,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.875,30.375,-2.97431467,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.625,30.375,0.90124447,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.375,30.375,-1.06747251,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.125,30.375,0.79927766,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
3.875,30.375,,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
3.625,30.375,,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
10.375,30.625,-13.99037342,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
10.125,30.625,-13.99037342,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.875,30.625,-23.74354435,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.625,30.625,-24.82757674,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.375,30.625,-11.26372741,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.125,30.625,-6.23704731,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.875,30.625,-0.63937198,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.625,30.625,-9.08618671,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.375,30.625,-13.54855813,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.125,30.625,-12.70456845,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.875,30.625,-3.1345664,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.625,30.625,-1.09723233,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.375,30.625,-19.40115676,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.125,30.625,-14.61796945,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.875,30.625,-27.23813844,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.625,30.625,-23.07814076,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.375,30.625,-19.36932991,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.125,30.625,-17.59062404,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.875,30.625,-8.32849782,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.625,30.625,-6.63747254,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.375,30.625,14.39141852,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.125,30.625,11.99923134,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.875,30.625,-32.49693752,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.625,30.625,-52.83065574,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.375,30.625,13.00589437,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.125,30.625,5.96840476,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
3.875,30.625,-8.4672073,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
3.625,30.625,-34.70311676,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
10.375,30.875,-18.04956228,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
10.125,30.875,-18.04956228,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.875,30.875,-25.52830105,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.625,30.875,-18.48045452,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.375,30.875,-0.01969987,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.125,30.875,-4.27074174,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.875,30.875,-1.37403652,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.625,30.875,7.30437281,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.375,30.875,-20.74097514,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.125,30.875,-17.89359315,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.875,30.875,3.96877038,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.625,30.875,3.96877038,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.375,30.875,-19.11297846,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.125,30.875,-14.94881815,maize,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
