Latitude,Longitude,% Yield Anomaly,crop,temperature,precipitation,type,datetime
10.375,29.625,-21.80250078,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.625,-21.80250078,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.625,-40.06868836,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.625,-45.97786906,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.625,-2.53406299,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.625,-2.24378438,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.625,-7.44928268,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.625,-8.26840539,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,29.625,-25.96727315,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,29.625,-28.69597064,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,29.625,-26.4506249,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,29.625,-18.57085956,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,29.625,-6.98440584,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,29.625,-5.82431441,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,29.625,-4.70572464,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,29.625,-21.75159702,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,29.625,-1.37120464,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,29.625,-4.32870722,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,29.625,-0.56644468,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,29.625,1.8378554,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,29.625,5.51898228,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,29.625,5.04960913,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,29.625,1.82355907,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,29.625,,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,29.625,7.13568632,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,29.625,6.90246332,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,29.625,3.9166584,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,29.625,4.18578757,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,29.875,-21.80250078,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.875,-21.80250078,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.875,-40.06868836,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.875,-45.97786906,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.875,-2.53406299,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.875,-2.24378438,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.875,-7.44928268,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.875,-8.26840539,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,29.875,-25.96727315,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,29.875,-28.69597064,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,29.875,-26.4506249,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,29.875,-18.57085956,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,29.875,-6.98440584,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,29.875,-5.82431441,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,29.875,-4.70572464,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,29.875,-21.75159702,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,29.875,-1.37120464,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,29.875,-4.32870722,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,29.875,-0.56644468,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,29.875,1.8378554,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,29.875,5.51898228,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,29.875,5.04960913,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,29.875,1.82355907,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,29.875,,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,29.875,7.13568632,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,29.875,6.90246332,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,29.875,3.9166584,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,29.875,4.18578757,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,30.125,-19.54195188,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,30.125,-19.54195188,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,30.125,-7.31910468,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
