Latitude,Longitude,% Yield Anomaly,crop,temperature,precipitation,type,datetime
10.375,29.625,-20.50774406,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.625,-20.50774406,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.625,-79.06000321,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.625,-71.38175973,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.625,-8.03331947,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.625,-7.85375807,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.625,-12.6963907,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.625,-14.81234605,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,29.625,-26.57795679,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,29.625,-34.48828529,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,29.625,-27.6018006,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,29.625,-26.32927482,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,29.625,-9.40303471,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,29.625,-7.64740333,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,29.625,-6.90033119,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,29.625,-10.22634922,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,29.625,-2.61206791,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,29.625,-2.68125935,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,29.625,-2.74905956,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,29.625,0.73727125,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,29.625,2.11346226,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,29.625,2.91715885,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,29.625,-1.9312042,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,29.625,3.63615013,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,29.625,0.08410054,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,29.625,-0.38556717,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,29.625,0.16330787,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,29.625,1.15250967,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,29.875,-20.50774406,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.875,-20.50774406,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.875,-79.06000321,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.875,-71.38175973,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.875,-8.03331947,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.875,-7.85375807,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.875,-12.6963907,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.875,-14.81234605,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,29.875,-26.57795679,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,29.875,-34.48828529,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,29.875,-27.6018006,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,29.875,-26.32927482,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,29.875,-9.40303471,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,29.875,-7.64740333,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,29.875,-6.90033119,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,29.875,-10.22634922,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,29.875,-2.61206791,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,29.875,-2.68125935,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,29.875,-2.74905956,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,29.875,0.73727125,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,29.875,2.11346226,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,29.875,2.91715885,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,29.875,-1.9312042,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,29.875,3.63615013,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,29.875,0.08410054,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,29.875,-0.38556717,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,29.875,0.16330787,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,29.875,1.15250967,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,30.125,-18.4884447,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,30.125,-18.4884447,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,30.125,-12.43844399,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,30.125,-14.47657813,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,30.125,-10.57024101,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,30.125,-4.0143583,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,30.125,-5.3203975,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,30.125,-13.42165993,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,30.125,-16.11353021,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,30.125,-17.6278911,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,30.125,-15.3800027,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,30.125,-15.24442735,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,30.125,-7.40694517,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,30.125,-6.72690533,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,30.125,-18.73251893,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,30.125,-16.21060359,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,30.125,-6.03164465,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,30.125,-3.31914873,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,30.125,2.32401096,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,30.125,4.33896061,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
