Latitude,Longitude,% Yield Anomaly,crop,temperature,precipitation,type,datetime
10.375,29.625,-25.37096597,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.625,-25.37096597,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.625,-40.06868836,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.625,-45.97786906,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.625,-14.10772421,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.625,-15.56311604,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.625,-20.62262268,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.625,-21.26845752,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,29.625,-39.50286037,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,29.625,-42.73881305,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,29.625,-44.48065303,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,29.625,-36.44090457,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,29.625,-13.2406129,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,29.625,-11.63389651,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,29.625,-4.70572464,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,29.625,-21.75159702,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,29.625,-10.79772852,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,29.625,-13.02210585,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,29.625,-4.4102706,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,29.625,-2.20926376,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,29.625,-1.47233271,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,29.625,-0.59047517,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,29.625,-5.3668224,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,29.625,0.67864381,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,29.625,-1.30006614,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,29.625,-1.52312643,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,29.625,-3.37543349,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,29.625,-2.49743852,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,29.875,-25.37096597,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.875,-25.37096597,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.875,-40.06868836,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.875,-45.97786906,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.875,-14.10772421,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.875,-15.56311604,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.875,-20.62262268,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.875,-21.26845752,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,29.875,-39.50286037,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,29.875,-42.73881305,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,29.875,-44.48065303,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,29.875,-36.44090457,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,29.875,-13.2406129,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,29.875,-11.63389651,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,29.875,-4.70572464,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,29.875,-21.75159702,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,29.875,-10.79772852,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,29.875,-13.02210585,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,29.875,-4.4102706,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,29.875,-2.20926376,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,29.875,-1.47233271,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,29.875,-0.59047517,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,29.875,-5.3668224,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,29.875,0.67864381,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,29.875,-1.30006614,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,29.875,-1.52312643,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,29.875,-3.37543349,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,29.875,-2.49743852,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,30.125,-28.33099872,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,30.125,-28.33099872,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,30.125,-17.9127919,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,30.125,-18.22454891,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,30.125,-16.50611682,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,30.125,-12.13333674,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,30.125,-13.20321748,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,30.125,-25.3915362,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,30.125,-24.81651228,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,30.125,-21.45288492,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,30.125,-25.52432538,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,30.125,-24.2832144,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,30.125,-13.04677359,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,30.125,-13.04677359,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,30.125,-31.15328374,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,30.125,-29.23867921,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,30.125,-12.39665311,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,30.125,-8.95080057,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,30.125,-2.662972,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,30.125,-0.86616986,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,30.125,-3.818158,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,30.125,1.94298005,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,30.125,-0.7783231,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,30.125,1.48528408,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,30.125,1.5316391,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,30.125,2.42781173,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,30.125,-0.30844535,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,30.125,0.23737542,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,30.375,-25.35259274,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,30.375,-25.35259274,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,30.375,-21.26839699,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,30.375,-18.52476769,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,30.375,-17.32654803,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,30.375,-13.89508033,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,30.375,-23.43367412,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,30.375,-28.89761014,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,30.375,-28.42332663,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,30.375,-22.58595834,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,30.375,-19.70341486,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,30.375,-19.82022775,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,30.375,-10.22850041,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,30.375,-10.58583965,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,30.375,-27.81964365,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,30.375,-26.09278854,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,30.375,-13.06399819,maize,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
