Latitude,Longitude,% Yield Anomaly,crop,temperature,precipitation,type,datetime
10.375,29.625,-93.03350259,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
10.125,29.625,-93.03350259,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.875,29.625,-296.19213191,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.625,29.625,-270.61446988,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.375,29.625,-86.39710446,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
9.125,29.625,-74.82460703,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.875,29.625,-20.70649401,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.625,29.625,-20.33575464,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.375,29.625,-26.4076326,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
8.125,29.625,-26.65010324,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.875,29.625,4.17648298,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.625,29.625,-14.04892445,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.375,29.625,-99.04423076,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
7.125,29.625,-109.01875845,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.875,29.625,-22.2394783,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.625,29.625,-33.15937978,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.375,29.625,-29.67183528,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
6.125,29.625,-34.91580842,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.875,29.625,-155.00421783,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.625,29.625,-196.35250653,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.375,29.625,3.55396042,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
5.125,29.625,4.97794512,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
4.875,29.625,28.06225601,spring wheat,0,0,2018 GLDAS Temperature/Precipitation,2018-01-01
