Latitude,Longitude,% Yield Anomaly,crop,temperature,precipitation,type,datetime
10.375,29.625,-83.23202702,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.625,-83.23202702,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.625,-33.48360167,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.625,-37.83805318,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.625,-44.50804977,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.625,-39.82757434,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.625,-36.72995159,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.625,-40.87822119,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,29.625,-19.13542854,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,29.625,,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,29.625,,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,29.625,-13.85440771,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,29.625,-30.9858438,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,29.625,-30.38369917,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,29.625,-17.95558117,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,29.625,-25.24959687,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,29.625,0.15052091,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,29.625,-3.3661655,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,29.625,2.51382921,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,29.625,15.86925082,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,29.625,14.05365623,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,29.625,19.30933169,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,29.625,12.05992832,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,29.625,,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,29.625,17.28960075,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,29.625,17.14271702,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,29.625,0.86307178,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,29.625,2.366394,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,29.875,-83.23202702,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.875,-83.23202702,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.875,-33.48360167,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.875,-37.83805318,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.875,-44.50804977,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.875,-39.82757434,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.875,-36.72995159,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.875,-40.87822119,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,29.875,-19.13542854,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,29.875,,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,29.875,,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,29.875,-13.85440771,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,29.875,-30.9858438,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,29.875,-30.38369917,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,29.875,-17.95558117,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,29.875,-25.24959687,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,29.875,0.15052091,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,29.875,-3.3661655,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,29.875,2.51382921,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,29.875,15.86925082,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,29.875,14.05365623,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,29.875,19.30933169,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,29.875,12.05992832,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,29.875,,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,29.875,17.28960075,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,29.875,17.14271702,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,29.875,0.86307178,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,29.875,2.366394,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,30.125,-49.63285897,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,30.125,-49.63285897,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,30.125,-41.87412763,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,30.125,-48.37704912,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,30.125,-51.12679972,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,30.125,-45.99813049,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,30.125,-40.04990524,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,30.125,-42.64062288,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,30.125,,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,30.125,,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,30.125,,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,30.125,-27.77279378,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,30.125,-12.53284083,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,30.125,-14.62035824,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,30.125,-23.26226239,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,30.125,-13.73328416,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,30.125,4.34359545,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,30.125,19.27957945,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,30.125,28.52767528,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,30.125,35.56108747,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,30.125,34.94024988,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,30.125,55.05315974,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,30.125,34.25934431,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,30.125,,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,30.125,26.56571001,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,30.125,,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,30.125,18.48929,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,30.125,17.85057861,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,30.375,-43.5433645,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,30.375,-43.5433645,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,30.375,-48.28175235,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,30.375,-48.20956712,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,30.375,-51.18944321,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,30.375,-48.44976467,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,30.375,-44.69090823,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,30.375,-31.81155983,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,30.375,-48.25587721,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,30.375,-34.08483997,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,30.375,-17.5337687,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,30.375,-15.75963319,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,30.375,-14.73963969,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,30.375,-14.73963969,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,30.375,-12.92150375,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,30.375,-11.60233878,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,30.375,-10.86408999,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,30.375,12.15016121,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,30.375,22.23825064,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,30.375,32.86488754,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,30.375,41.63343121,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,30.375,54.1472964,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,30.375,17.39059188,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,30.375,31.03562787,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,30.375,21.40369142,spring wheat,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
