Latitude,Longitude,% Yield Anomaly,crop,temperature,precipitation,type,datetime
10.375,29.625,-70.45998716,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.625,-70.45998716,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.625,-32.55876878,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.625,-37.66581711,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.625,-41.82754286,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.625,-37.88435549,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.625,-38.07038504,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.625,-40.31529918,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,29.625,-27.6407414,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,29.625,-28.52809764,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,29.625,-16.17587882,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,29.625,-10.491796,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,29.625,-30.9858438,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,29.625,-30.38369917,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,29.625,-15.89999708,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,29.625,-14.67388508,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,29.625,-1.83329946,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,29.625,-0.40348404,spring wheat,-1,20,Temperature/Precipitation Sensitivity Tests,2018-01-01
