Latitude,Longitude,% Yield Anomaly,crop,temperature,precipitation,type,datetime
10.375,29.625,-83.11701523,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.625,-83.11701523,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.625,-37.21910885,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.625,-38.57985185,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.625,-46.31046309,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.625,-44.99972407,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.625,-54.29797295,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.625,-54.43885521,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,29.625,-31.22018776,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,29.625,-30.66201235,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,29.625,-13.4890352,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,29.625,-11.46196556,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,29.625,-49.19360841,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,29.625,-47.14686608,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,29.625,-36.2871591,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,29.625,-36.02342927,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,29.625,-25.28262108,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,29.625,-23.97643835,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,29.625,-8.88440057,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,29.625,-1.14328159,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,29.625,-4.01664829,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,29.625,2.27264906,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,29.625,-0.38755312,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,29.625,18.37082428,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,29.625,1.52986924,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,29.625,0.45430498,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,29.625,-6.12273943,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,29.625,-5.62403543,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,29.875,-83.11701523,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.875,-83.11701523,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.875,-37.21910885,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.875,-38.57985185,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.875,-46.31046309,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.875,-44.99972407,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.875,-54.29797295,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.875,-54.43885521,spring wheat,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
