Latitude,Longitude,% Yield Anomaly,crop,temperature,precipitation,type,datetime
10.375,29.625,-105.8734105,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.625,-105.8734105,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.625,-40.94678043,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.625,-41.67471352,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.625,-48.95571745,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.625,-46.72036853,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.625,-72.30875912,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.625,-68.99360781,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,29.625,-30.1521307,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,29.625,,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,29.625,,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,29.625,-13.85440771,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,29.625,-66.84427515,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,29.625,-63.31275762,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,29.625,-53.35753212,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,29.625,-58.59756212,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,29.625,-35.68760037,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,29.625,-40.98940004,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,29.625,-26.56249874,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,29.625,-17.07969597,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,29.625,-20.84926184,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,29.625,-15.4197378,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,29.625,-16.51250441,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,29.625,4.91293594,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,29.625,-6.1131642,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,29.625,-6.20120793,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,29.625,-12.44499109,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,29.625,-13.88031902,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,29.875,-105.8734105,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,29.875,-105.8734105,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,29.875,-40.94678043,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,29.875,-41.67471352,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,29.875,-48.95571745,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,29.875,-46.72036853,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,29.875,-72.30875912,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,29.875,-68.99360781,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,29.875,-30.1521307,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,29.875,,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,29.875,,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,29.875,-13.85440771,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,29.875,-66.84427515,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,29.875,-63.31275762,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,29.875,-53.35753212,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,29.875,-58.59756212,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,29.875,-35.68760037,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,29.875,-40.98940004,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,29.875,-26.56249874,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,29.875,-17.07969597,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,29.875,-20.84926184,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,29.875,-15.4197378,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,29.875,-16.51250441,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,29.875,4.91293594,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,29.875,-6.1131642,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,29.875,-6.20120793,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,29.875,-12.44499109,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,29.875,-13.88031902,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,30.125,-59.2680358,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,30.125,-59.2680358,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,30.125,-59.33849332,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,30.125,-58.94214009,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,30.125,-56.89043231,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,30.125,-53.04168187,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,30.125,-64.72953825,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,30.125,-67.39065742,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,30.125,,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,30.125,,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,30.125,,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,30.125,-41.70327707,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,30.125,-12.53284083,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,30.125,-14.62035824,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,30.125,-56.57988052,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,30.125,-47.96955985,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,30.125,-38.51426214,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,30.125,-27.48196073,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,30.125,-24.73032114,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,30.125,-19.83374083,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,30.125,11.23688699,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,30.125,24.63591837,spring wheat,1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
