scenario,GID_1,cropping_year,yield_meher_maize,yield_meher_wheat,yield_meher_teff,yield_meher_sorghum,yield_meher_barley,yield_belg_maize,yield_belg_wheat,yield_belg_teff,yield_belg_sorghum,yield_belg_barley,rel_anomaly_yield_meher_maize,rel_anomaly_yield_meher_wheat,rel_anomaly_yield_meher_teff,rel_anomaly_yield_meher_sorghum,rel_anomaly_yield_meher_barley,rel_anomaly_yield_belg_maize,rel_anomaly_yield_belg_wheat,rel_anomaly_yield_belg_teff,rel_anomaly_yield_belg_sorghum,rel_anomaly_yield_belg_barley
S0_BASE_bs00_E01,ETH.8,2018,46.47,10.61,7.38,28.71,26.91,50.50,18.58,7.07,33.20,31.74,1.40,-14.60,2.73,5.89,10.78,6.73,16.79,-37.49,11.86,16.72
S0_BASE_bs00_E02,ETH.8,2018,48.11,12.05,5.99,28.62,26.38,49.14,18.77,7.26,33.67,32.47,4.96,-3.03,-16.57,5.57,8.60,3.86,17.95,-35.85,13.45,19.42
S0_BASE_bs00_E03,ETH.8,2018,47.53,12.59,6.02,29.00,27.07,51.31,18.60,7.48,32.59,31.13,3.70,1.26,-16.18,6.97,11.44,8.43,16.89,-33.88,9.82,14.49
S0_BASE_bs00_E04,ETH.8,2018,46.69,11.76,7.67,27.90,28.50,49.76,17.54,7.67,30.44,31.54,1.87,-5.36,6.87,2.90,17.32,5.16,10.23,-32.18,2.56,15.99
S0_BASE_bs00_E05,ETH.8,2018,47.11,11.70,5.56,27.97,25.69,48.85,18.10,6.78,32.22,31.53,2.80,-5.88,-22.57,3.17,5.75,3.23,13.74,-40.04,8.54,15.95
S0_BASE_bs00_E06,ETH.8,2018,49.95,14.43,7.16,30.09,26.97,51.00,13.58,8.01,35.07,28.87,9.00,16.07,-0.32,10.99,11.05,7.77,-14.63,-29.15,18.16,6.18
S0_BASE_bs00_E07,ETH.8,2018,48.36,12.18,6.33,30.49,25.01,52.65,19.20,7.41,34.31,30.04,5.52,-1.99,-11.87,12.45,2.94,11.27,20.70,-34.47,15.60,10.49
S0_BASE_bs00_E08,ETH.8,2018,46.92,12.28,5.38,28.60,26.10,50.82,21.32,6.92,33.31,32.27,2.37,-1.22,-25.09,5.50,7.46,7.40,34.02,-38.84,12.24,18.67
S0_BASE_bs00_E09,ETH.8,2018,51.30,15.11,7.77,32.98,28.99,52.95,11.37,9.51,35.32,27.25,11.94,21.59,8.24,21.65,19.37,11.89,-28.56,-15.87,19.02,0.21
S0_BASE_bs00_E10,ETH.8,2018,48.02,12.21,7.32,32.11,27.12,50.58,14.86,7.38,34.64,31.13,4.77,-1.74,1.95,18.44,11.65,6.88,-6.60,-34.73,16.72,14.49
S0_BASE_bs00_E11,ETH.8,2018,47.68,10.63,5.31,28.53,25.56,50.52,19.67,7.18,31.94,30.25,4.04,-14.44,-26.02,5.24,5.22,6.77,23.66,-36.49,7.62,11.26
S0_BASE_bs00_E12,ETH.8,2018,45.76,11.49,6.45,26.75,26.83,50.09,17.60,7.86,32.52,29.52,-0.15,-7.56,-10.20,-1.33,10.45,5.85,10.60,-30.47,9.55,8.57
S0_BASE_bs00_E13,ETH.8,2018,50.79,12.34,7.37,27.96,26.70,50.55,18.60,7.17,32.11,31.14,10.83,-0.69,2.64,3.14,9.93,6.83,16.89,-36.57,8.20,14.51
S0_BASE_bs00_E14,ETH.8,2018,50.76,14.82,8.77,30.51,28.09,48.24,10.00,7.55,33.27,24.30,10.77,19.21,22.14,12.54,15.63,1.94,-37.13,-33.29,12.10,-10.63
S0_BASE_bs00_E15,ETH.8,2018,49.45,12.41,7.92,28.41,26.28,51.70,8.12,7.92,32.51,24.66,7.89,-0.19,10.29,4.81,8.18,9.25,-48.95,-30.01,9.54,-9.29
S0_BASE_bs00_E16,ETH.8,2018,48.97,13.19,8.13,28.97,27.72,49.39,9.34,8.22,31.44,27.97,6.85,6.08,13.18,6.85,14.13,4.38,-41.28,-27.30,5.92,2.88
S0_BASE_bs00_E17,ETH.8,2018,48.90,12.71,6.61,29.22,26.97,50.57,17.37,7.53,32.92,30.10,6.70,2.22,-8.00,7.80,11.05,6.87,9.18,-33.45,10.91,10.70
S0_BASE_bs00_E18,ETH.8,2018,46.85,11.79,7.41,28.15,28.50,50.05,13.02,6.75,32.82,29.33,2.22,-5.17,3.20,3.85,17.35,5.77,-18.16,-40.29,10.57,7.87
S0_BASE_bs00_E19,ETH.8,2018,49.66,13.06,5.30,33.80,27.42,49.99,14.27,7.94,34.14,29.26,8.35,5.05,-26.12,24.66,12.90,5.64,-10.34,-29.76,15.01,7.63
