scenario,GID_2,non_temporal,lt_yield_meher_maize,lt_yield_meher_wheat,lt_yield_meher_teff,lt_yield_meher_sorghum,lt_yield_meher_barley,lt_yield_belg_maize,lt_yield_belg_wheat,lt_yield_belg_teff,lt_yield_belg_sorghum,lt_yield_belg_barley
S0_BASE_bs00_H,ETH.8.1,NA,46.37,9.44,6.47,29.35,28.10,45.09,10.95,8.68,30.41,29.08
S0_BASE_bs00_H,ETH.8.10,NA,53.33,5.84,6.54,NA,34.20,50.42,8.31,11.38,NA,37.03
S0_BASE_bs00_H,ETH.8.11,NA,28.01,18.58,9.82,32.65,15.85,27.28,14.62,7.79,30.95,15.36
S0_BASE_bs00_H,ETH.8.12,NA,52.13,5.77,4.14,37.11,23.09,49.83,10.48,11.41,39.34,29.10
S0_BASE_bs00_H,ETH.8.13,NA,52.40,18.88,13.46,15.47,15.96,58.21,29.81,15.91,33.42,25.55
S0_BASE_bs00_H,ETH.8.14,NA,24.62,15.76,10.40,21.92,16.87,26.40,15.76,8.58,21.12,18.53
S0_BASE_bs00_H,ETH.8.15,NA,34.15,10.18,9.35,22.88,17.89,33.09,9.88,13.63,22.46,16.94
S0_BASE_bs00_H,ETH.8.16,NA,58.67,12.35,13.11,30.74,16.32,64.58,42.47,12.93,38.09,40.55
S0_BASE_bs00_H,ETH.8.17,NA,25.44,21.70,4.42,26.56,20.12,24.38,13.19,10.14,27.92,20.54
S0_BASE_bs00_H,ETH.8.2,NA,27.31,11.26,3.93,29.57,19.57,31.90,15.85,3.29,28.90,26.70
S0_BASE_bs00_H,ETH.8.3,NA,26.22,6.86,3.59,NA,NA,34.65,22.19,2.41,NA,NA
S0_BASE_bs00_H,ETH.8.4,NA,37.74,24.38,1.86,25.69,28.78,35.34,26.31,8.22,26.20,28.30
S0_BASE_bs00_H,ETH.8.5,NA,35.38,13.46,3.88,NA,17.23,38.06,32.85,3.24,NA,23.94
S0_BASE_bs00_H,ETH.8.6,NA,56.27,8.95,13.26,33.33,21.40,55.06,19.69,17.08,36.69,24.22
S0_BASE_bs00_H,ETH.8.7,NA,45.48,7.66,12.23,33.12,20.59,56.32,37.59,13.88,37.47,35.80
S0_BASE_bs00_H,ETH.8.8,NA,51.71,27.89,8.70,27.22,22.08,49.96,32.36,11.89,25.58,26.62
S0_BASE_bs00_H,ETH.8.9,NA,56.41,10.66,17.97,9.17,23.76,60.51,21.26,20.49,20.61,28.23
S1_IRRI_ir02_H,ETH.8.1,NA,46.42,9.53,6.55,29.46,28.20,45.13,11.02,8.74,30.53,29.16
S1_IRRI_ir02_H,ETH.8.10,NA,53.47,5.90,6.65,NA,34.22,50.53,8.37,11.45,NA,37.04
S1_IRRI_ir02_H,ETH.8.11,NA,28.10,18.68,9.83,32.68,15.90,27.37,14.72,7.83,31.04,15.40
S1_IRRI_ir02_H,ETH.8.12,NA,52.13,5.93,4.25,37.11,23.25,49.87,10.74,11.52,39.33,29.18
S1_IRRI_ir02_H,ETH.8.13,NA,52.54,18.96,13.47,15.63,16.07,58.35,29.88,15.91,33.65,25.57
S1_IRRI_ir02_H,ETH.8.14,NA,24.83,15.90,10.49,21.93,17.01,26.58,15.90,8.68,21.13,18.65
S1_IRRI_ir02_H,ETH.8.15,NA,34.33,10.44,9.42,22.88,18.15,33.26,9.98,13.64,22.46,17.11
S1_IRRI_ir02_H,ETH.8.16,NA,58.81,12.92,13.17,30.58,16.63,64.72,42.72,12.95,37.99,40.61
S1_IRRI_ir02_H,ETH.8.17,NA,25.53,21.85,4.53,26.56,20.25,24.46,13.34,10.28,27.90,20.62
S1_IRRI_ir02_H,ETH.8.2,NA,27.59,11.37,4.04,29.64,19.71,32.12,16.08,3.39,28.97,26.87
S1_IRRI_ir02_H,ETH.8.3,NA,26.62,7.10,3.82,NA,NA,35.00,22.39,2.67,NA,NA
S1_IRRI_ir02_H,ETH.8.4,NA,37.81,24.52,1.96,25.66,28.76,35.39,26.43,8.39,26.14,28.32
S1_IRRI_ir02_H,ETH.8.5,NA,35.54,13.73,4.05,NA,17.30,38.21,32.96,3.43,NA,23.97
S1_IRRI_ir02_H,ETH.8.6,NA,56.29,9.08,13.31,33.33,21.48,55.12,19.81,17.09,36.66,24.26
S1_IRRI_ir02_H,ETH.8.7,NA,45.58,7.77,12.25,33.18,20.70,56.41,37.77,13.89,37.56,35.84
S1_IRRI_ir02_H,ETH.8.8,NA,51.72,27.97,8.78,27.19,22.18,50.00,32.45,11.96,25.61,26.70
S1_IRRI_ir02_H,ETH.8.9,NA,56.54,10.77,17.98,9.21,23.94,60.64,21.44,20.50,21.01,28.24
S1_IRRI_ir04_H,ETH.8.1,NA,46.49,9.67,6.65,29.61,28.34,45.2,11.13,8.83,30.71,29.26
S1_IRRI_ir04_H,ETH.8.10,NA,53.66,6,6.8,NA,34.26,50.69,8.45,11.54,NA,37.07
S1_IRRI_ir04_H,ETH.8.11,NA,28.23,18.82,9.85,32.71,15.97,27.5,14.86,7.9,31.16,15.46
S1_IRRI_ir04_H,ETH.8.12,NA,52.12,6.15,4.42,37.12,23.48,49.94,11.11,11.68,39.32,29.3
S1_IRRI_ir04_H,ETH.8.13,NA,52.74,19.06,13.48,15.86,16.23,58.54,29.99,15.92,33.97,25.59
S1_IRRI_ir04_H,ETH.8.14,NA,25.17,16.13,10.63,21.95,17.23,26.88,16.13,8.85,21.14,18.84
S1_IRRI_ir04_H,ETH.8.15,NA,34.59,10.79,9.52,22.88,18.52,33.51,10.11,13.65,22.44,17.36
S1_IRRI_ir04_H,ETH.8.16,NA,59.01,13.73,13.26,30.36,17.06,64.92,43.08,12.99,37.84,40.7
S1_IRRI_ir04_H,ETH.8.17,NA,25.66,22.05,4.68,26.55,20.44,24.56,13.55,10.47,27.88,20.73
S1_IRRI_ir04_H,ETH.8.2,NA,27.98,11.52,4.2,29.72,19.9,32.43,16.39,3.53,29.07,27.09
S1_IRRI_ir04_H,ETH.8.3,NA,27.19,7.45,4.14,NA,NA,35.5,22.66,3.03,NA,NA
S1_IRRI_ir04_H,ETH.8.4,NA,37.9,24.73,2.09,25.62,28.74,35.47,26.59,8.63,26.06,28.34
S1_IRRI_ir04_H,ETH.8.5,NA,35.75,14.09,4.28,NA,17.4,38.41,33.12,3.7,NA,24.01
S1_IRRI_ir04_H,ETH.8.6,NA,56.32,9.27,13.38,33.33,21.6,55.2,19.97,17.1,36.62,24.31
S1_IRRI_ir04_H,ETH.8.7,NA,45.73,7.94,12.29,33.26,20.86,56.52,38.03,13.91,37.67,35.89
S1_IRRI_ir04_H,ETH.8.8,NA,51.74,28.09,8.89,27.15,22.31,50.06,32.59,12.05,25.64,26.82
S1_IRRI_ir04_H,ETH.8.9,NA,56.73,10.93,18,9.26,24.19,60.8,21.7,20.5,21.56,28.25
S1_IRRI_ir06_H,ETH.8.1,NA,46.55,9.77,6.74,29.73,28.45,45.24,11.22,8.91,30.85,29.34
S1_IRRI_ir06_H,ETH.8.10,NA,53.84,6.09,6.94,NA,34.29,50.84,8.54,11.64,NA,37.09
S1_IRRI_ir06_H,ETH.8.11,NA,28.26,18.84,9.85,32.72,15.98,27.53,14.89,7.91,31.19,15.47
S1_IRRI_ir06_H,ETH.8.12,NA,52.12,6.35,4.57,37.12,23.68,49.99,11.45,11.83,39.31,29.4
S1_IRRI_ir06_H,ETH.8.13,NA,52.94,19.17,13.49,16.08,16.38,58.74,30.09,15.92,34.29,25.61
S1_IRRI_ir06_H,ETH.8.14,NA,25.17,16.13,10.63,21.95,17.23,26.89,16.13,8.85,21.14,18.84
S1_IRRI_ir06_H,ETH.8.15,NA,34.74,11.02,9.57,22.88,18.75,33.66,10.21,13.67,22.43,17.5
S1_IRRI_ir06_H,ETH.8.16,NA,59.21,14.53,13.34,30.14,17.49,65.12,43.43,13.02,37.69,40.8
S1_IRRI_ir06_H,ETH.8.17,NA,25.76,22.21,4.8,26.55,20.57,24.64,13.7,10.63,27.86,20.81
S1_IRRI_ir06_H,ETH.8.2,NA,28.37,11.67,4.36,29.8,20.09,32.73,16.69,3.67,29.15,27.31
S1_IRRI_ir06_H,ETH.8.3,NA,27.76,7.8,4.46,NA,NA,35.99,22.94,3.4,NA,NA
S1_IRRI_ir06_H,ETH.8.4,NA,37.98,24.9,2.21,25.59,28.72,35.54,26.73,8.84,25.99,28.36
S1_IRRI_ir06_H,ETH.8.5,NA,35.96,14.46,4.52,NA,17.5,38.62,33.28,3.96,NA,24.05
S1_IRRI_ir06_H,ETH.8.6,NA,56.35,9.46,13.45,33.33,21.71,55.29,20.14,17.1,36.58,24.36
S1_IRRI_ir06_H,ETH.8.7,NA,45.87,8.1,12.32,33.34,21.03,56.64,38.29,13.93,37.79,35.95
S1_IRRI_ir06_H,ETH.8.8,NA,51.76,28.2,8.99,27.1,22.44,50.11,32.73,12.14,25.67,26.93
S1_IRRI_ir06_H,ETH.8.9,NA,56.91,11.09,18.02,9.31,24.45,60.97,21.95,20.51,22.12,28.26
S1_IRRI_ir08_H,ETH.8.1,NA,46.64,9.93,6.85,29.92,28.61,45.33,11.34,8.99,31.05,29.47
S1_IRRI_ir08_H,ETH.8.10,NA,54.03,6.19,7.09,NA,34.32,51,8.62,11.74,NA,37.11
S1_IRRI_ir08_H,ETH.8.11,NA,28.44,19.05,9.88,32.77,16.07,27.71,15.08,8,31.36,15.55
S1_IRRI_ir08_H,ETH.8.12,NA,52.12,6.59,4.74,37.13,23.93,50.06,11.85,11.99,39.29,29.52
S1_IRRI_ir08_H,ETH.8.13,NA,53.13,19.28,13.51,16.31,16.54,58.93,30.2,15.92,34.61,25.63
S1_IRRI_ir08_H,ETH.8.14,NA,25.54,16.37,10.78,21.96,17.47,27.2,16.38,9.03,21.16,19.05
S1_IRRI_ir08_H,ETH.8.15,NA,35.09,11.5,9.72,22.88,19.25,34,10.38,13.68,22.42,17.84
S1_IRRI_ir08_H,ETH.8.16,NA,59.41,15.34,13.42,29.91,17.91,65.32,43.79,13.05,37.55,40.89
S1_IRRI_ir08_H,ETH.8.17,NA,25.92,22.46,4.99,26.54,20.8,24.76,13.96,10.87,27.83,20.96
S1_IRRI_ir08_H,ETH.8.2,NA,28.76,11.83,4.52,29.89,20.29,33.04,17,3.82,29.25,27.54
S1_IRRI_ir08_H,ETH.8.3,NA,28.33,8.15,4.79,NA,NA,36.49,23.21,3.76,NA,NA
S1_IRRI_ir08_H,ETH.8.4,NA,38.09,25.14,2.36,25.54,28.69,35.63,26.93,9.11,25.9,28.38
S1_IRRI_ir08_H,ETH.8.5,NA,36.17,14.83,4.75,NA,17.59,38.82,33.44,4.23,NA,24.08
S1_IRRI_ir08_H,ETH.8.6,NA,56.38,9.65,13.52,33.32,21.82,55.37,20.31,17.11,36.54,24.41
S1_IRRI_ir08_H,ETH.8.7,NA,46.01,8.27,12.36,33.42,21.19,56.76,38.55,13.94,37.91,36.01
S1_IRRI_ir08_H,ETH.8.8,NA,51.77,28.31,9.1,27.06,22.58,50.17,32.87,12.23,25.71,27.05
S1_IRRI_ir08_H,ETH.8.9,NA,57.1,11.25,18.04,9.36,24.7,61.14,22.2,20.52,22.68,28.28
S2_PACK_ad10_H,ETH.8.1,NA,46.65,9.94,6.86,29.92,28.61,45.33,11.34,9,31.06,29.47
S2_PACK_ad10_H,ETH.8.10,NA,54.1,6.22,7.11,NA,34.32,51.07,8.65,11.75,NA,37.11
S2_PACK_ad10_H,ETH.8.11,NA,28.49,19.11,9.89,32.78,16.1,27.76,15.15,8.03,31.4,15.57
S2_PACK_ad10_H,ETH.8.12,NA,52.12,6.59,4.74,37.13,23.93,50.06,11.85,11.99,39.29,29.52
S2_PACK_ad10_H,ETH.8.13,NA,53.13,19.28,13.51,16.31,16.54,58.93,30.2,15.92,34.61,25.63
S2_PACK_ad10_H,ETH.8.14,NA,25.81,16.56,10.89,21.97,17.65,27.45,16.56,9.16,21.17,19.21
S2_PACK_ad10_H,ETH.8.15,NA,35.1,11.52,9.73,22.87,19.25,34,10.39,13.68,22.41,17.83
S2_PACK_ad10_H,ETH.8.16,NA,59.41,15.35,13.42,29.9,17.93,65.33,43.79,13.05,37.55,40.88
S2_PACK_ad10_H,ETH.8.17,NA,25.91,22.46,4.97,26.53,20.81,24.75,13.93,10.88,27.82,20.92
S2_PACK_ad10_H,ETH.8.2,NA,28.78,11.86,4.53,29.9,20.35,33.06,17.05,3.82,29.25,27.63
S2_PACK_ad10_H,ETH.8.3,NA,28.28,8.06,4.74,NA,NA,36.34,23.06,3.74,NA,NA
S2_PACK_ad10_H,ETH.8.4,NA,38.09,25.14,2.36,25.54,28.69,35.63,26.93,9.11,25.9,28.38
S2_PACK_ad10_H,ETH.8.5,NA,36.19,14.83,4.75,NA,17.58,38.84,33.45,4.23,NA,24.08
S2_PACK_ad10_H,ETH.8.6,NA,56.38,9.66,13.51,33.33,21.82,55.37,20.31,17.11,36.53,24.41
S2_PACK_ad10_H,ETH.8.7,NA,46.01,8.27,12.36,33.42,21.2,56.76,38.55,13.94,37.9,36.02
S2_PACK_ad10_H,ETH.8.8,NA,51.79,28.71,9.23,26.91,22.92,50.17,33.25,12.39,25.73,27.26
S2_PACK_ad10_H,ETH.8.9,NA,57.1,11.25,18.04,9.36,24.7,61.14,22.2,20.52,22.68,28.28
S2_PACK_ad20_H,ETH.8.1,NA,46.56,10.12,6.56,30.07,28.45,45.29,11.43,8.79,31.22,29.36
S2_PACK_ad20_H,ETH.8.10,NA,54.51,6.38,6.67,NA,34.2,51.5,8.83,11.64,NA,37.03
S2_PACK_ad20_H,ETH.8.11,NA,28.26,18.95,9.83,32.64,15.92,27.46,14.87,7.8,31.05,15.41
S2_PACK_ad20_H,ETH.8.12,NA,52.05,6.85,4.25,37.13,24.06,50.06,11.99,11.73,39.3,29.52
S2_PACK_ad20_H,ETH.8.13,NA,53.54,19.42,13.52,16.63,16.74,59.31,30.32,15.95,35.02,25.62
S2_PACK_ad20_H,ETH.8.14,NA,24.9,16.13,10.54,21.65,17.08,26.69,16.1,8.65,20.92,18.78
