scenario,gridcell_id,cropping_year,yield_meher_maize,yield_meher_wheat,yield_meher_teff,yield_meher_sorghum,yield_meher_barley,yield_belg_maize,yield_belg_wheat,yield_belg_teff,yield_belg_sorghum,yield_belg_barley,rel_anomaly_yield_meher_maize,rel_anomaly_yield_meher_wheat,rel_anomaly_yield_meher_teff,rel_anomaly_yield_meher_sorghum,rel_anomaly_yield_meher_barley,rel_anomaly_yield_belg_maize,rel_anomaly_yield_belg_wheat,rel_anomaly_yield_belg_teff,rel_anomaly_yield_belg_sorghum,rel_anomaly_yield_belg_barley
S0_BASE_bs00_E01,10125_36375,2018,65.21,41.98,23.91,43.82,29.34,67.82,52.28,27.18,46.85,45.16,-0.01,2.07,-1.01,0.40,12.73,1.69,18.57,9.71,-3.14,36.55
S0_BASE_bs00_E02,10125_36375,2018,55.55,43.14,23.53,41.67,32.46,58.51,53.59,26.91,43.94,51.99,-14.83,4.88,-2.56,-4.51,24.70,-12.26,21.55,8.66,-9.15,57.21
S0_BASE_bs00_E03,10125_36375,2018,67.86,45.66,25.36,44.34,32.66,64.63,53.84,28.29,46.91,50.42,4.05,11.01,5.00,1.60,25.47,-3.10,22.12,14.21,-3.03,52.46
S0_BASE_bs00_E04,10125_36375,2018,57.33,44.17,25.02,43.29,34.58,66.40,54.00,27.98,45.70,48.63,-12.10,7.40,3.59,-0.80,32.84,-0.44,22.47,12.96,-5.52,47.06
S0_BASE_bs00_E05,10125_36375,2018,54.44,44.22,25.24,43.20,37.05,64.40,52.56,30.77,45.69,49.22,-16.53,7.51,4.51,-1.01,42.35,-3.43,19.22,24.20,-5.54,48.84
S0_BASE_bs00_E06,10125_36375,2018,64.02,45.78,26.26,46.45,35.46,68.84,48.01,30.35,54.62,33.53,-1.83,11.31,8.72,6.44,36.24,3.22,8.89,22.54,12.91,1.38
S0_BASE_bs00_E07,10125_36375,2018,65.78,47.85,24.66,48.83,37.65,70.27,51.87,31.30,62.35,36.39,0.87,16.35,2.11,11.89,44.63,5.37,17.64,26.37,28.89,10.05
S0_BASE_bs00_E08,10125_36375,2018,63.13,43.83,23.40,44.84,32.72,70.02,56.25,29.50,45.11,45.97,-3.20,6.56,-3.11,2.75,25.72,5.00,27.59,19.08,-6.75,39.01
S0_BASE_bs00_E09,10125_36375,2018,67.65,50.02,27.93,54.88,42.08,78.61,45.99,31.44,53.16,25.34,3.73,21.62,15.63,25.75,61.67,17.87,4.31,26.91,9.90,-23.38
S0_BASE_bs00_E10,10125_36375,2018,62.82,43.71,26.09,48.11,32.70,75.31,58.10,27.64,53.36,51.91,-3.68,6.27,8.05,10.24,25.63,12.93,31.78,11.59,10.32,56.97
S0_BASE_bs00_E11,10125_36375,2018,63.46,45.04,24.15,42.45,31.71,55.55,49.86,28.75,52.51,35.81,-2.69,9.51,-0.01,-2.73,21.83,-16.70,13.09,16.06,8.57,8.28
S0_BASE_bs00_E12,10125_36375,2018,60.55,42.26,24.81,41.73,30.01,68.55,50.42,30.66,45.98,41.24,-7.17,2.74,2.75,-4.37,15.29,2.79,14.36,23.78,-4.93,24.70
S0_BASE_bs00_E13,10125_36375,2018,65.75,44.80,26.16,42.78,34.89,62.50,45.62,24.38,52.40,34.10,0.81,8.93,8.31,-1.98,34.04,-6.28,3.46,-1.59,8.33,3.10
S0_BASE_bs00_E14,10125_36375,2018,64.80,50.66,26.26,51.35,39.36,63.17,41.28,34.50,56.65,0.57,-0.64,23.16,8.73,17.66,51.19,-5.28,-6.37,39.28,17.12,-98.28
S0_BASE_bs00_E15,10125_36375,2018,61.87,48.56,31.58,44.60,36.20,65.75,3.24,33.84,43.17,3.15,-5.14,18.08,30.78,2.21,39.09,-1.41,-92.65,36.64,-10.76,-90.47
S0_BASE_bs00_E16,10125_36375,2018,66.19,47.56,31.65,49.21,37.92,56.95,2.91,35.74,41.88,0.20,1.49,15.62,31.06,12.77,45.69,-14.61,-93.39,44.27,-13.42,-99.41
S0_BASE_bs00_E17,10125_36375,2018,56.08,46.44,23.55,41.48,35.60,61.72,41.85,34.84,56.88,29.57,-14.02,12.90,-2.49,-4.94,36.78,-7.45,-5.07,40.65,17.60,-10.60
S0_BASE_bs00_E18,10125_36375,2018,60.79,43.92,21.43,44.80,33.79,65.47,54.00,30.70,50.10,45.10,-6.80,6.78,-11.24,2.67,29.82,-1.83,22.48,23.93,3.58,36.36
S0_BASE_bs00_E19,10125_36375,2018,60.93,46.77,23.61,48.26,36.61,63.08,57.95,28.44,52.78,54.39,-6.58,13.72,-2.24,10.58,40.66,-5.42,31.45,14.80,9.11,64.48
S0_BASE_bs00_E20,10125_36375,2018,53.85,45.07,23.00,45.54,36.06,64.06,53.28,28.89,46.18,40.24,-17.44,9.57,-4.76,4.36,38.55,-3.95,20.84,16.64,-4.52,21.69
S0_BASE_bs00_E21,10125_36375,2018,69.30,48.94,27.78,50.84,37.39,63.99,52.82,30.45,53.78,55.55,6.26,19.00,15.03,16.50,43.65,-4.05,19.80,22.95,11.18,67.97
S0_BASE_bs00_E22,10125_36375,2018,67.91,46.95,28.84,48.28,36.24,69.68,50.62,30.95,52.83,47.26,4.13,14.15,19.40,10.62,39.22,4.48,14.82,24.97,9.22,42.91
S0_BASE_bs00_E23,10125_36375,2018,67.06,49.53,24.97,47.78,41.58,67.99,54.04,27.92,49.13,43.87,2.81,20.43,3.39,9.50,59.74,1.94,22.57,12.72,1.56,32.67
S0_BASE_bs00_E24,10125_36375,2018,64.77,46.37,28.56,49.22,38.48,66.01,53.90,29.79,52.10,52.23,-0.69,12.74,18.28,12.78,47.81,-1.01,22.26,20.26,7.72,57.95
S0_BASE_bs00_E25,10125_36375,2018,72.44,49.90,24.85,51.85,36.37,69.01,54.66,31.28,66.40,52.74,11.08,21.32,2.90,18.82,39.74,3.47,23.98,26.29,37.27,59.49
S0_BASE_bs00_E26,10125_36375,2018,66.76,49.66,22.54,53.58,44.59,72.65,54.00,32.83,59.69,46.81,2.37,20.73,-6.65,22.77,71.30,8.93,22.48,32.53,23.40,41.54
S0_BASE_bs00_E27,10125_36375,2018,69.60,51.70,26.84,49.51,38.36,69.70,49.96,32.11,58.51,40.37,6.72,25.69,11.16,13.45,47.35,4.52,13.31,29.64,20.95,22.09
S0_BASE_bs00_E28,10125_36375,2018,67.99,54.89,26.38,57.22,46.72,71.93,48.52,27.36,59.08,35.13,4.25,33.46,9.22,31.12,79.50,7.86,10.05,10.46,22.15,6.24
S0_BASE_bs00_E29,10125_36375,2018,71.78,48.80,25.03,51.43,34.46,74.77,48.96,29.83,62.24,43.36,10.06,18.65,3.63,17.84,32.37,12.11,11.04,20.44,28.67,31.12
S0_BASE_bs00_E30,10125_36375,2018,63.52,46.36,23.36,48.65,34.43,69.71,54.43,27.47,52.19,41.55,-2.61,12.71,-3.27,11.47,32.26,4.53,23.44,10.92,7.89,25.65
S0_BASE_bs00_E31,10125_36375,2018,71.43,47.80,23.81,51.72,38.14,73.09,53.08,30.83,57.23,47.56,9.52,16.22,-1.42,18.50,46.50,9.60,20.39,24.45,18.32,43.82
S0_BASE_bs00_E32,10125_36375,2018,71.51,54.69,28.51,54.81,48.72,65.76,46.79,32.95,64.89,29.97,9.64,32.96,18.05,25.61,87.16,-1.39,6.12,33.01,34.15,-9.37
