scenario,gridcell_id,non_temporal,lt_yield_meher_maize,lt_yield_meher_wheat,lt_yield_meher_teff,lt_yield_meher_sorghum,lt_yield_meher_barley,lt_yield_belg_maize,lt_yield_belg_wheat,lt_yield_belg_teff,lt_yield_belg_sorghum,lt_yield_belg_barley
S0_BASE_bs00_H,10125_36375,NA,65.22,41.13,24.15,43.64,26.03,66.69,44.09,24.77,48.37,33.07
S0_BASE_bs00_H,10125_36625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S0_BASE_bs00_H,10125_36875,NA,66.52,26.78,19.32,41.81,36.04,67.48,44.87,16.78,48.98,37.43
S0_BASE_bs00_H,10125_37125,NA,51.74,5.93,12.40,36.71,21.18,51.44,20.10,15.53,39.18,21.49
S0_BASE_bs00_H,10125_38375,NA,21.66,16.02,4.19,23.13,11.22,24.31,11.07,13.97,27.92,16.28
S0_BASE_bs00_H,10125_38625,NA,27.54,26.40,12.98,27.07,23.34,24.99,9.20,18.96,28.57,17.80
S0_BASE_bs00_H,10375_38625,NA,24.17,22.58,11.41,26.07,12.39,23.19,7.76,15.61,27.88,13.81
S0_BASE_bs00_H,3625_38125,NA,5.60,2.32,0.35,NA,NA,11.27,6.11,0.32,NA,NA
S0_BASE_bs00_H,3625_38375,NA,9.03,2.59,0.44,NA,NA,18.67,7.90,0.31,NA,NA
S0_BASE_bs00_H,3625_38625,NA,19.46,1.32,0.52,NA,NA,34.51,17.76,0.39,NA,NA
S0_BASE_bs00_H,3625_38875,NA,19.83,1.29,0.54,NA,NA,30.63,17.09,0.61,NA,NA
S0_BASE_bs00_H,3625_39125,NA,14.33,2.98,0.25,NA,NA,26.54,16.51,0.36,NA,NA
S0_BASE_bs00_H,3875_37875,NA,2.04,1.42,0.20,NA,NA,4.86,1.91,0.16,NA,NA
S0_BASE_bs00_H,3875_38125,NA,7.74,2.81,0.39,NA,NA,17.26,6.50,0.37,NA,NA
S0_BASE_bs00_H,3875_38375,NA,28.00,1.91,0.18,NA,NA,41.04,19.73,0.33,NA,NA
S0_BASE_bs00_H,3875_38625,NA,19.88,1.79,0.39,NA,NA,28.91,13.77,0.37,NA,NA
S0_BASE_bs00_H,3875_38875,NA,18.08,1.83,0.27,NA,NA,24.95,13.26,0.36,NA,NA
S0_BASE_bs00_H,3875_39125,NA,14.82,3.36,0.27,NA,NA,25.23,13.50,0.29,NA,NA
S0_BASE_bs00_H,3875_39375,NA,13.15,2.72,0.39,NA,NA,23.67,14.22,0.43,NA,NA
S0_BASE_bs00_H,4125_37625,NA,3.71,1.47,0.04,NA,NA,5.92,3.13,0.03,NA,NA
S0_BASE_bs00_H,4125_37875,NA,11.41,2.97,0.36,NA,NA,20.59,6.56,0.34,NA,NA
S0_BASE_bs00_H,4125_38125,NA,33.23,0.98,0.24,NA,NA,43.88,30.11,0.23,NA,NA
S0_BASE_bs00_H,4125_38375,NA,28.11,1.02,0.45,NA,NA,39.68,27.57,0.35,NA,NA
S0_BASE_bs00_H,4125_38625,NA,27.48,0.85,0.54,NA,NA,37.98,27.81,0.30,NA,NA
S0_BASE_bs00_H,4125_38875,NA,25.74,0.96,0.54,NA,NA,37.28,26.95,0.31,NA,NA
S0_BASE_bs00_H,4125_39125,NA,15.39,3.55,0.52,NA,NA,27.41,16.02,0.46,NA,NA
S0_BASE_bs00_H,4125_39375,NA,12.23,3.53,0.61,NA,NA,23.37,14.79,0.52,NA,NA
S0_BASE_bs00_H,4375_37125,NA,10.16,2.81,0.58,NA,NA,20.43,2.48,0.44,NA,NA
S0_BASE_bs00_H,4375_37375,NA,4.08,1.75,0.25,NA,NA,10.29,2.15,0.17,NA,NA
S0_BASE_bs00_H,4375_37625,NA,3.33,2.21,0.27,NA,NA,8.20,3.23,0.30,NA,NA
S0_BASE_bs00_H,4375_37875,NA,19.95,2.70,0.63,NA,NA,34.32,15.29,0.42,NA,NA
S0_BASE_bs00_H,4375_38125,NA,19.97,1.35,0.31,NA,NA,27.75,20.89,0.40,NA,NA
S0_BASE_bs00_H,4375_38375,NA,23.06,1.43,0.38,NA,NA,36.24,25.25,0.55,NA,NA
S0_BASE_bs00_H,4375_38625,NA,20.70,0.72,0.73,NA,NA,32.52,24.38,0.38,NA,NA
S0_BASE_bs00_H,4375_38875,NA,15.72,1.69,0.29,NA,NA,24.03,19.29,0.33,NA,NA
S0_BASE_bs00_H,4375_39125,NA,12.43,3.74,0.45,NA,NA,23.23,14.02,0.39,NA,NA
S0_BASE_bs00_H,4375_39375,NA,10.73,3.48,0.60,NA,NA,18.94,12.51,0.58,NA,NA
S0_BASE_bs00_H,4625_36875,NA,3.88,0.68,0.06,NA,NA,2.08,0.87,0.05,NA,NA
S0_BASE_bs00_H,4625_37125,NA,16.42,2.59,0.60,NA,NA,29.31,6.83,0.44,NA,NA
S0_BASE_bs00_H,4625_37375,NA,0.38,1.04,0.20,NA,NA,6.56,2.10,0.15,NA,NA
S0_BASE_bs00_H,4625_37625,NA,1.31,1.80,0.26,NA,NA,5.82,2.03,0.24,NA,NA
S0_BASE_bs00_H,4625_38125,NA,18.52,1.36,0.40,NA,NA,25.84,22.65,0.30,NA,NA
S0_BASE_bs00_H,4625_38375,NA,26.99,1.06,1.13,NA,NA,36.76,27.02,0.75,NA,NA
S0_BASE_bs00_H,4625_38625,NA,23.39,1.00,0.93,NA,NA,35.70,25.66,0.64,NA,NA
S0_BASE_bs00_H,4625_38875,NA,16.05,1.67,0.40,NA,NA,27.60,20.12,0.26,NA,NA
S0_BASE_bs00_H,4625_39125,NA,13.57,3.78,0.47,NA,NA,22.18,12.55,0.49,NA,NA
S0_BASE_bs00_H,4625_39375,NA,12.19,3.69,0.45,NA,NA,22.78,13.60,0.47,NA,NA
S0_BASE_bs00_H,4625_39625,NA,9.64,3.48,0.53,NA,NA,19.04,10.60,0.51,NA,NA
S0_BASE_bs00_H,4875_36875,NA,6.26,1.20,0.27,NA,NA,10.56,2.07,0.30,NA,NA
S0_BASE_bs00_H,4875_37125,NA,24.72,2.04,0.94,NA,NA,38.95,12.57,0.61,NA,NA
S0_BASE_bs00_H,4875_37375,NA,15.74,2.86,1.14,NA,NA,29.55,6.28,0.52,NA,NA
S0_BASE_bs00_H,4875_37625,NA,17.65,1.97,1.23,NA,NA,29.18,15.23,0.51,NA,NA
S0_BASE_bs00_H,4875_37875,NA,20.14,1.98,0.93,NA,NA,28.41,16.49,0.52,NA,NA
S0_BASE_bs00_H,4875_38125,NA,35.03,1.23,2.50,NA,NA,50.15,32.42,0.59,NA,NA
S0_BASE_bs00_H,4875_38375,NA,34.03,2.34,2.36,NA,NA,47.49,31.00,0.52,NA,NA
S0_BASE_bs00_H,4875_38625,NA,31.14,1.55,1.40,NA,NA,44.47,28.47,0.56,NA,NA
S0_BASE_bs00_H,4875_38875,NA,34.35,1.07,0.58,NA,NA,51.86,32.19,0.54,NA,NA
S0_BASE_bs00_H,4875_39125,NA,12.95,3.59,0.39,NA,NA,26.26,16.22,0.40,NA,NA
S0_BASE_bs00_H,4875_39375,NA,11.64,1.61,0.25,NA,3.28,21.95,14.98,0.30,NA,15.11
S0_BASE_bs00_H,4875_39625,NA,14.28,1.71,0.33,NA,7.30,19.50,13.19,0.37,NA,14.38
S0_BASE_bs00_H,5125_37125,NA,31.95,2.68,1.03,NA,NA,45.05,21.35,2.47,NA,NA
S0_BASE_bs00_H,5125_37375,NA,29.45,2.51,0.85,NA,NA,41.19,20.48,1.38,NA,NA
