scenario,GID_1,month,herbage_anpp,herbage_prodn,total_area_rangeland,mean_anomaly_herbage_anpp,total_anomaly_herbage_prodn,rel_anomaly_mean_herbage_anpp,rel_anomaly_total_herbage_prodn
S0_BASE_bs00_E01,ETH.8,2019-01,0.180240772,441317.3305,13128.6802,-0.24166712,-1476060.983,-57.27959229,-76.98329394
S0_BASE_bs00_E01,ETH.8,2019-02,0.0463849,166822.3734,13128.6802,-0.187064001,-879088.96,-80.13059841,-84.0500463
S0_BASE_bs00_E01,ETH.8,2019-03,1.134296981,5375385.035,13128.6802,0.630585927,3247685.564,125.1880262,152.6383593
S0_BASE_bs00_E01,ETH.8,2019-04,2.281495441,12726947.45,13128.6802,0.491166821,4336441.457,27.43445063,51.68271689
S0_BASE_bs00_E01,ETH.8,2018-05,2.595152823,10217153.23,13128.6802,0.029735416,878457.7228,1.159086865,9.406642734
S0_BASE_bs00_E01,ETH.8,2018-06,3.011792393,10245516.45,13128.6802,0.344846278,1555879.598,12.93038042,17.90500137
S0_BASE_bs00_E01,ETH.8,2018-07,1.095102057,2837038.193,13128.6802,0.086799354,131922.158,8.608461924,4.87676522
S0_BASE_bs00_E01,ETH.8,2018-08,0.619688875,2241347.468,13128.6802,-0.010030715,-15132.71381,-1.592885983,-0.670633579
S0_BASE_bs00_E01,ETH.8,2018-09,1.290744294,4953838.736,13128.6802,0.131581637,499843.0532,11.3514386,11.22235154
S0_BASE_bs00_E01,ETH.8,2018-10,1.872301181,9090671.826,13128.6802,0.076017651,1107617.202,4.231940557,13.87460382
S0_BASE_bs00_E01,ETH.8,2018-11,2.004588826,12005690.38,13128.6802,-0.20990009,-187917.6796,-9.478489057,-1.541116286
S0_BASE_bs00_E01,ETH.8,2018-12,1.299376612,6567651.12,13128.6802,0.012401774,313059.5427,0.963637618,5.005275545
S0_BASE_bs00_E10,ETH.8,2019-01,0.536578369,1322071.336,13128.6802,0.114670477,-595306.9776,27.17903111,-31.04796656
S0_BASE_bs00_E10,ETH.8,2019-02,0.461750631,2020797.215,13128.6802,0.22830173,974885.8818,97.79516149,93.20922823
S0_BASE_bs00_E10,ETH.8,2019-03,0.215880604,506988.5773,13128.6802,-0.28783045,-1620710.894,-57.14197606,-76.17198367
S0_BASE_bs00_E10,ETH.8,2019-04,1.323389659,4668448.395,13128.6802,-0.46693896,-3722057.597,-26.08118727,-44.36034728
S0_BASE_bs00_E10,ETH.8,2018-05,2.567651637,10157413.24,13128.6802,0.00223423,818717.7311,0.087090302,8.766938916
S0_BASE_bs00_E10,ETH.8,2018-06,2.929506138,9818051.452,13128.6802,0.262560024,1128414.597,9.844969212,12.98575091
S0_BASE_bs00_E10,ETH.8,2018-07,1.091669458,2959084.156,13128.6802,0.083366755,253968.1208,8.268028551,9.388437223
S0_BASE_bs00_E10,ETH.8,2018-08,0.595550434,2181697.839,13128.6802,-0.034169156,-74782.34277,-5.426090616,-3.31411476
S0_BASE_bs00_E10,ETH.8,2018-09,1.151253625,4851011.626,13128.6802,-0.007909032,397015.9434,-0.682305591,8.913702925
S0_BASE_bs00_E10,ETH.8,2018-10,1.701822866,8119892.05,13128.6802,-0.094460663,136837.4262,-5.258672229,1.714098583
S0_BASE_bs00_E10,ETH.8,2018-11,2.559207789,15008811.89,13128.6802,0.344718873,2815203.829,15.56652059,23.08753747
S0_BASE_bs00_E10,ETH.8,2018-12,2.014002184,10401561.5,13128.6802,0.727027346,4146969.926,56.49118568,66.30280931
S0_BASE_bs00_E11,ETH.8,2019-01,0.117198396,376562.358,13128.6802,-0.304709496,-1540815.955,-72.22180515,-80.36056028
S0_BASE_bs00_E11,ETH.8,2019-02,0.089964469,216717.5664,13128.6802,-0.143484432,-829193.767,-61.4628861,-79.27954699
S0_BASE_bs00_E11,ETH.8,2019-03,0.073297455,231768.0951,13128.6802,-0.430413599,-1895931.376,-85.44851169,-89.10710379
S0_BASE_bs00_E11,ETH.8,2019-04,0.300449747,2293343.014,13128.6802,-1.489878873,-6097162.978,-83.21817886,-72.66740509
S0_BASE_bs00_E11,ETH.8,2018-05,2.583209376,10221974.92,13128.6802,0.017791969,883279.4038,0.693531159,9.458273939
S0_BASE_bs00_E11,ETH.8,2018-06,2.937117634,9888943.098,13128.6802,0.270171519,1199306.243,10.13037039,13.80156919
S0_BASE_bs00_E11,ETH.8,2018-07,1.135335919,3248699.237,13128.6802,0.127033216,543583.2021,12.59871815,20.09463532
S0_BASE_bs00_E11,ETH.8,2018-08,0.726045635,2441715.728,13128.6802,0.096326046,185235.5461,15.29665703,8.209048216
S0_BASE_bs00_E11,ETH.8,2018-09,1.212331138,5230409.311,13128.6802,0.053168481,776413.6287,4.586800752,17.43184511
S0_BASE_bs00_E11,ETH.8,2018-10,1.983949784,10234657.27,13128.6802,0.187666254,2251602.648,10.44747399,28.20477567
S0_BASE_bs00_E11,ETH.8,2018-11,2.074492261,12067806.44,13128.6802,-0.139996655,-125801.6152,-6.321849429,-1.031701319
S0_BASE_bs00_E11,ETH.8,2018-12,1.284470495,6496406.173,13128.6802,-0.002504343,241814.596,-0.19459147,3.866193228
S0_BASE_bs00_E12,ETH.8,2019-01,0.984344963,6067511.735,13128.6802,0.562437071,4150133.422,133.3080232,216.4483343
S0_BASE_bs00_E12,ETH.8,2019-02,0.273483478,990369.0759,13128.6802,0.040034577,-55542.25757,17.14918219,-5.310417412
S0_BASE_bs00_E12,ETH.8,2019-03,0.790115628,2093639.035,13128.6802,0.286404574,-34060.4363,56.85890181,-1.600810489
S0_BASE_bs00_E12,ETH.8,2019-04,1.782800325,6759733.812,13128.6802,-0.007528294,-1630772.179,-0.420497892,-19.43592175
S0_BASE_bs00_E12,ETH.8,2018-05,2.579233009,10222688.48,13128.6802,0.013815602,883992.9661,0.538532309,9.46591486
S0_BASE_bs00_E12,ETH.8,2018-06,2.839521658,9484181.416,13128.6802,0.172575543,794544.5611,6.470904773,9.143587636
S0_BASE_bs00_E12,ETH.8,2018-07,1.102259911,3100887.409,13128.6802,0.093957208,395771.3735,9.318353313,14.63047679
S0_BASE_bs00_E12,ETH.8,2018-08,0.591454171,2125365.069,13128.6802,-0.038265419,-131115.1137,-6.076580681,-5.810603378
S0_BASE_bs00_E12,ETH.8,2018-09,1.185222271,5070901.222,13128.6802,0.026059614,616905.5396,2.248141241,13.85060929
S0_BASE_bs00_E12,ETH.8,2018-10,1.707849178,7986075.452,13128.6802,-0.088434352,3020.828651,-4.923184473,0.037840511
S0_BASE_bs00_E12,ETH.8,2018-11,2.50768717,15084180.28,13128.6802,0.293198254,2890572.222,13.23999645,23.70563502
S0_BASE_bs00_E12,ETH.8,2018-12,1.78029708,10266627.11,13128.6802,0.493322241,4012035.536,38.33192587,64.14544397
S0_BASE_bs00_E13,ETH.8,2019-01,0.093577686,229890.3637,13128.6802,-0.328330206,-1687487.95,-77.82035173,-88.01017191
S0_BASE_bs00_E13,ETH.8,2019-02,0.047434824,192241.9421,13128.6802,-0.186014077,-853669.3914,-79.68085358,-81.6196712
S0_BASE_bs00_E13,ETH.8,2019-03,0.6579101,3036428.345,13128.6802,0.154199046,908728.8745,30.61259907,42.70945625
S0_BASE_bs00_E13,ETH.8,2019-04,2.144148967,10499264.38,13128.6802,0.353820348,2108758.385,19.76287168,25.13267241
S0_BASE_bs00_E13,ETH.8,2018-05,2.579538706,10191722.29,13128.6802,0.014121299,853026.7761,0.550448405,9.134324757
S0_BASE_bs00_E13,ETH.8,2018-06,3.000956625,10190853.37,13128.6802,0.334010511,1501216.516,12.52408172,17.27594077
S0_BASE_bs00_E13,ETH.8,2018-07,1.20527332,3674900.808,13128.6802,0.196970617,969784.7725,19.53486949,35.85002492
S0_BASE_bs00_E13,ETH.8,2018-08,0.643880339,2113213.634,13128.6802,0.01416075,-143266.5487,2.248738959,-6.349116193
S0_BASE_bs00_E13,ETH.8,2018-09,1.108714504,3832492.164,13128.6802,-0.050448153,-621503.518,-4.352120299,-13.95384195
S0_BASE_bs00_E13,ETH.8,2018-10,1.827731611,8139910.241,13128.6802,0.031448082,156855.6172,1.750730416,1.964857121
S0_BASE_bs00_E13,ETH.8,2018-11,1.863333266,9652194.809,13128.6802,-0.35115565,-2541413.251,-15.85718706,-20.84217599
S0_BASE_bs00_E13,ETH.8,2018-12,1.211905292,5035340.49,13128.6802,-0.075069546,-1219251.088,-5.833023615,-19.49369631
S0_BASE_bs00_E14,ETH.8,2019-01,0.40156236,1192919.46,13128.6802,-0.020345532,-724458.8535,-4.822268618,-37.78382432
S0_BASE_bs00_E14,ETH.8,2019-02,0.346260101,1302257.479,13128.6802,0.1128112,256346.1459,48.32372303,24.50935731
S0_BASE_bs00_E14,ETH.8,2019-03,0.090271371,377476.07,13128.6802,-0.413439683,-1750223.401,-82.07873936,-82.25895738
