scenario,GID_2,month,herbage_anpp,herbage_prodn,total_area_rangeland,mean_anomaly_herbage_anpp,total_anomaly_herbage_prodn,rel_anomaly_mean_herbage_anpp,rel_anomaly_total_herbage_prodn,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.1,2019-01,0.064417932,22997.77527,13157.69231,-0.389930952,-121931.9808,-85.82192349,-84.13177812,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.1,2019-02,0.06580438,22403.77959,13157.69231,-0.421393417,-128190.3398,-86.49329282,-85.12307142,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.1,2019-03,2.453126543,810269.0621,13157.69231,1.465003109,495995.8829,148.2611441,157.8231665,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.1,2019-04,3.582915337,1139377.23,13157.69231,0.608643537,184737.6561,20.46361523,19.35156064,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.1,2018-05,5.381686513,1768681.274,13157.69231,0.723488381,241143.0962,15.53150726,15.78638751,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.1,2018-06,5.263753399,1717071.451,13157.69231,0.938103185,305929.2441,21.68698668,21.67954744,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.1,2018-07,3.441231168,1014689.558,13157.69231,0.445392198,150753.0413,14.86702732,17.44955079,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.1,2018-08,1.332296093,348030.6802,13157.69231,0.501122233,142734.4183,60.29090378,69.52606782,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.1,2018-09,1.022958322,436966.7199,13157.69231,0.181363599,57851.53632,21.54999246,15.25961999,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.1,2018-10,2.178407345,783046.5036,13157.69231,-0.126781085,-27863.78559,-5.49981439,-3.436111979,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.1,2018-11,2.689372612,938492.8454,13157.69231,-0.126014594,-13587.3043,-4.475924091,-1.427117697,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.1,2018-12,0.871456092,295688.6879,13157.69231,-0.568429565,-172337.5396,-39.47741002,-36.82219702,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.10,2019-01,0.408154567,46752.91759,5480,-0.233090489,-25629.69415,-36.34967423,-35.40863411,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.10,2019-02,0.172170594,18988.42152,5480,-0.323664479,-38555.2759,-65.2766407,-67.00173543,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.10,2019-03,1.796504433,188121.8197,5480,1.125444019,109763.8009,167.7112815,140.0798574,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.10,2019-04,2.660583774,287744.604,5480,0.922596553,91138.32548,53.0841966,46.35575537,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.10,2018-05,2.815205624,304451.2162,5480,0.270817041,25107.65199,10.64369819,8.988090365,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.10,2018-06,2.657801512,282597.1174,5480,0.136519031,6113.722611,5.41466622,2.211244048,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.10,2018-07,2.454253728,263507.2192,5480,0.5363341,71737.99182,27.96436786,37.40850021,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.10,2018-08,1.773198705,176539.3922,5480,0.373209991,52195.50669,26.65807139,41.97673771,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.10,2018-09,0.316098466,29397.12686,5480,0.017388017,2690.786033,5.821027531,10.07545755,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.10,2018-10,0.638005133,95763.64335,5480,-0.031761102,-3807.929139,-4.742117501,-3.82431355,,,,,,,,,
