scenario,GID_2,year,herbage_anpp,herbage_prodn,total_area_rangeland,mean_anomaly_herbage_anpp,total_anomaly_herbage_prodn,rel_anomaly_mean_herbage_anpp,rel_anomaly_total_herbage_prodn
S0_BASE_bs00_E01,ETH.8.1,2018,2.362285478,9297715.567,13157.69231,0.269213886,1115233.925,12.86214417,13.62953165
S0_BASE_bs00_E01,ETH.8.10,2018,1.435224063,1926112.089,5480,0.185548161,241061.5675,14.84770254,14.30589554
S0_BASE_bs00_E01,ETH.8.11,2018,1.486156214,6512189.929,19340,0.037455752,100249.0765,2.585472514,1.563474755
S0_BASE_bs00_E01,ETH.8.12,2018,1.649303053,972907.4858,2800,-0.037637005,-27294.44875,-2.231081361,-2.728893817
S0_BASE_bs00_E01,ETH.8.13,2018,1.47310583,924325.3936,3884.615385,-0.245130638,-180554.4204,-14.26640876,-16.34154395
S0_BASE_bs00_E01,ETH.8.14,2018,1.069161564,9003234.509,21954.54545,-0.017824982,-89885.18721,-1.639853052,-0.98849669
S0_BASE_bs00_E01,ETH.8.15,2018,1.75226237,2506631.089,10150,0.152228862,270025.8417,9.514104618,12.07302192
S0_BASE_bs00_E01,ETH.8.16,2018,1.605422925,712930.4664,2475,-0.074449055,-53471.86007,-4.431829112,-6.976996053
S0_BASE_bs00_E01,ETH.8.17,2018,1.310156884,1727530.325,6850,-0.092031185,-104425.3148,-6.563398078,-5.700209793
S0_BASE_bs00_E01,ETH.8.2,2018,1.288572628,15249803.83,16045.45455,0.184201036,2282751.393,16.67926241,17.60424279
S0_BASE_bs00_E01,ETH.8.3,2018,0.900989735,20242769.41,26477.94118,0.234946583,5588764.614,35.27497907,38.1381383
S0_BASE_bs00_E01,ETH.8.4,2018,1.927356521,1128822.237,5533.333333,0.10827999,12684.68799,5.952470284,1.136480714
S0_BASE_bs00_E01,ETH.8.5,2018,0.622584097,1726028.244,7620.833333,0.06416627,174801.2269,11.49072744,11.26857803
S0_BASE_bs00_E01,ETH.8.6,2018,1.443229177,389182.58,2180,-0.08001093,-15169.05424,-5.252680106,-3.751451202
S0_BASE_bs00_E01,ETH.8.7,2018,2.36063241,1686543.738,3686.666667,-0.090743401,69078.92104,-3.701733542,4.270814445
S0_BASE_bs00_E01,ETH.8.8,2018,2.421990573,946021.9033,1482.608696,0.137090223,52479.31831,5.999833769,5.873174843
S0_BASE_bs00_E01,ETH.8.9,2018,2.3706877,1916630.808,6180,0.102266122,76375.6756,4.508250295,4.150276461
S0_BASE_bs00_E10,ETH.8.1,2018,2.37323751,9332544.609,13157.69231,0.280165917,1150062.967,13.38539582,14.05518542
S0_BASE_bs00_E10,ETH.8.10,2018,1.438381881,1901208.279,5480,0.188705978,216157.7577,15.10039345,12.82796895
S0_BASE_bs00_E10,ETH.8.11,2018,1.671481963,7222269.547,19340,0.222781501,810328.6951,15.37802376,12.63780677
S0_BASE_bs00_E10,ETH.8.12,2018,1.760351593,1046137.304,2800,0.073411534,45935.36978,4.351757136,4.592609571
S0_BASE_bs00_E10,ETH.8.13,2018,1.474275797,935648.8283,3884.615385,-0.24396067,-169230.9857,-14.19831757,-15.31668726
S0_BASE_bs00_E10,ETH.8.14,2018,1.247744412,10350889.82,21954.54545,0.160757866,1257770.124,14.78931516,13.83210786
