scenario,gridcell_id,year,herbage_anpp,herbage_prodn,total_area_rangeland,mean_anomaly_herbage_anpp,total_anomaly_herbage_prodn,rel_anomaly_mean_herbage_anpp,rel_anomaly_total_herbage_prodn
S0_BASE_bs00_E01,10125_36375,2018,1.43066196,42919.85879,2500,-0.287267615,-8618.02846,-16.72173409,-16.72173409
S0_BASE_bs00_E01,10125_36625,2018,1.390038463,15012.4154,900,-0.047701497,-515.1761728,-3.317811203,-3.317811203
S0_BASE_bs00_E01,10125_36875,2018,1.451465559,20901.10405,1200,-0.09511259,-1369.621292,-6.149872855,-6.149872855
S0_BASE_bs00_E01,10125_37125,2018,1.530614666,11020.4256,600,0.137938802,993.1593734,9.904587665,9.904587665
S0_BASE_bs00_E01,10125_38375,2018,1.249437716,113948.7197,7600,-0.123894775,-11299.20346,-9.021469717,-9.021469717
S0_BASE_bs00_E01,10125_38625,2018,1.607020085,127275.9908,6600,-0.187417562,-14843.4709,-10.44436189,-10.44436189
S0_BASE_bs00_E01,10375_38625,2018,1.859899152,158463.4078,7100,0.062975837,5365.541326,3.504648007,3.504648007
S0_BASE_bs00_E01,3625_38125,2018,0.909610182,463901.1926,42500,0.246618348,125775.3576,37.1977958,37.1977958
S0_BASE_bs00_E01,3625_38375,2018,0.83497612,433853.5921,43300,0.261788673,136025.3946,45.67243659,45.67243659
S0_BASE_bs00_E01,3625_38625,2018,0.951644592,341450.0797,29900,0.279861291,100414.2313,41.65945934,41.65945934
S0_BASE_bs00_E01,3625_38875,2018,0.907584117,386630.8337,35500,0.262802167,111953.7231,40.75830087,40.75830087
S0_BASE_bs00_E01,3625_39125,2018,0.787982956,279891.5459,29600,0.185103796,65748.86838,30.70329985,30.70329985
S0_BASE_bs00_E01,3875_37875,2018,0.498691557,53260.25824,8900,0.16090787,17184.96051,47.63636502,47.63636502
S0_BASE_bs00_E01,3875_38125,2018,0.969998588,424859.3816,36500,0.37998696,166434.2885,64.40330016,64.40330016
S0_BASE_bs00_E01,3875_38375,2018,1.007994387,489885.2719,40500,0.355187601,172621.1741,54.40929978,54.40929978
S0_BASE_bs00_E01,3875_38625,2018,0.981102196,561582.8968,47700,0.359887156,205999.4079,57.93278212,57.93278212
S0_BASE_bs00_E01,3875_38875,2018,0.860965484,469053.9955,45400,0.268380351,146213.615,45.28975427,45.28975427
S0_BASE_bs00_E01,3875_39125,2018,0.785664718,283782.096,30100,0.224735454,81174.44585,40.0648474,40.0648474
S0_BASE_bs00_E01,3875_39375,2018,0.706967035,272323.7018,32100,0.198707681,76542.19884,39.09572544,39.09572544
S0_BASE_bs00_E01,4125_37625,2018,0.736412021,332269.1039,37600,0.263573056,118924.1627,55.74266818,55.74266818
S0_BASE_bs00_E01,4125_37875,2018,0.916140856,386977.8977,35200,0.310187251,131023.0948,51.18993405,51.18993405
S0_BASE_bs00_E01,4125_38125,2018,0.944864227,356024.8409,31400,0.230748031,86945.85816,32.31239292,32.31239292
S0_BASE_bs00_E01,4125_38375,2018,0.952657818,578453.8271,50600,0.290578857,176439.4818,43.88885218,43.88885218
S0_BASE_bs00_E01,4125_38625,2018,0.905030466,436586.6969,40200,0.253573551,122323.8812,38.9240709,38.9240709
S0_BASE_bs00_E01,4125_38875,2018,0.843844335,317960.5453,31400,0.215637814,81252.32826,34.32594325,34.32594325
S0_BASE_bs00_E01,4125_39125,2018,0.773156751,312664.5903,33700,0.221248655,89472.95613,40.08795243,40.08795243
