CellId,latitude,longitude
7875_33125,7.875,33.125
7875_33375,7.875,33.375
8125_33375,8.125,33.375
8375_33375,8.375,33.375
7875_33625,7.875,33.625
8125_33625,8.125,33.625
8375_33625,8.375,33.625
7625_33875,7.625,33.875
7875_33875,7.875,33.875
8125_33875,8.125,33.875
8375_33875,8.375,33.875
7375_34125,7.375,34.125
7625_34125,7.625,34.125
7875_34125,7.875,34.125
8125_34125,8.125,34.125
8375_34125,8.375,34.125
9375_34125,9.375,34.125
7125_34375,7.125,34.375
7375_34375,7.375,34.375
7625_34375,7.625,34.375
7875_34375,7.875,34.375
8125_34375,8.125,34.375
8375_34375,8.375,34.375
8625_34375,8.625,34.375
8875_34375,8.875,34.375
9125_34375,9.125,34.375
9375_34375,9.375,34.375
9625_34375,9.625,34.375
9875_34375,9.875,34.375
10125_34375,10.125,34.375
10375_34375,10.375,34.375
10625_34375,10.625,34.375
6875_34625,6.875,34.625
7125_34625,7.125,34.625
7375_34625,7.375,34.625
7625_34625,7.625,34.625
7875_34625,7.875,34.625
8125_34625,8.125,34.625
8375_34625,8.375,34.625
8625_34625,8.625,34.625
8875_34625,8.875,34.625
9125_34625,9.125,34.625
9375_34625,9.375,34.625
9625_34625,9.625,34.625
9875_34625,9.875,34.625
10125_34625,10.125,34.625
10375_34625,10.375,34.625
10625_34625,10.625,34.625
10875_34625,10.875,34.625
6625_34875,6.625,34.875
6875_34875,6.875,34.875
7125_34875,7.125,34.875
7375_34875,7.375,34.875
7625_34875,7.625,34.875
7875_34875,7.875,34.875
8125_34875,8.125,34.875
8375_34875,8.375,34.875
8625_34875,8.625,34.875
8875_34875,8.875,34.875
9125_34875,9.125,34.875
9375_34875,9.375,34.875
9625_34875,9.625,34.875
9875_34875,9.875,34.875
10125_34875,10.125,34.875
10375_34875,10.375,34.875
10625_34875,10.625,34.875
5625_35125,5.625,35.125
5875_35125,5.875,35.125
6125_35125,6.125,35.125
6375_35125,6.375,35.125
6625_35125,6.625,35.125
6875_35125,6.875,35.125
7125_35125,7.125,35.125
7375_35125,7.375,35.125
7625_35125,7.625,35.125
7875_35125,7.875,35.125
8125_35125,8.125,35.125
8375_35125,8.375,35.125
8625_35125,8.625,35.125
8875_35125,8.875,35.125
9125_35125,9.125,35.125
9375_35125,9.375,35.125
9625_35125,9.625,35.125
9875_35125,9.875,35.125
10125_35125,10.125,35.125
10375_35125,10.375,35.125
10625_35125,10.625,35.125
10875_35125,10.875,35.125
11125_35125,11.125,35.125
11375_35125,11.375,35.125
11625_35125,11.625,35.125
5375_35375,5.375,35.375
5625_35375,5.625,35.375
5875_35375,5.875,35.375
6125_35375,6.125,35.375
6375_35375,6.375,35.375
6625_35375,6.625,35.375
6875_35375,6.875,35.375
7125_35375,7.125,35.375
7375_35375,7.375,35.375
7625_35375,7.625,35.375
7875_35375,7.875,35.375
8125_35375,8.125,35.375
8375_35375,8.375,35.375
8625_35375,8.625,35.375
8875_35375,8.875,35.375
9125_35375,9.125,35.375
9375_35375,9.375,35.375
9625_35375,9.625,35.375
9875_35375,9.875,35.375
10125_35375,10.125,35.375
10375_35375,10.375,35.375
10625_35375,10.625,35.375
10875_35375,10.875,35.375
11125_35375,11.125,35.375
11375_35375,11.375,35.375
11625_35375,11.625,35.375
11875_35375,11.875,35.375
12125_35375,12.125,35.375
5625_35625,5.625,35.625
5875_35625,5.875,35.625
6125_35625,6.125,35.625
6375_35625,6.375,35.625
6625_35625,6.625,35.625
6875_35625,6.875,35.625
7125_35625,7.125,35.625
7375_35625,7.375,35.625
7625_35625,7.625,35.625
7875_35625,7.875,35.625
8125_35625,8.125,35.625
8375_35625,8.375,35.625
8625_35625,8.625,35.625
8875_35625,8.875,35.625
9125_35625,9.125,35.625
9375_35625,9.375,35.625
9625_35625,9.625,35.625
9875_35625,9.875,35.625
10125_35625,10.125,35.625
10375_35625,10.375,35.625
10625_35625,10.625,35.625
10875_35625,10.875,35.625
11125_35625,11.125,35.625
11375_35625,11.375,35.625
11625_35625,11.625,35.625
11875_35625,11.875,35.625
12125_35625,12.125,35.625
12375_35625,12.375,35.625
4625_35875,4.625,35.875
4875_35875,4.875,35.875
5125_35875,5.125,35.875
5375_35875,5.375,35.875
5625_35875,5.625,35.875
5875_35875,5.875,35.875
6125_35875,6.125,35.875
6375_35875,6.375,35.875
6625_35875,6.625,35.875
6875_35875,6.875,35.875
7125_35875,7.125,35.875
7375_35875,7.375,35.875
7625_35875,7.625,35.875
7875_35875,7.875,35.875
8125_35875,8.125,35.875
8375_35875,8.375,35.875
8625_35875,8.625,35.875
8875_35875,8.875,35.875
9125_35875,9.125,35.875
9375_35875,9.375,35.875
9625_35875,9.625,35.875
9875_35875,9.875,35.875
10125_35875,10.125,35.875
10375_35875,10.375,35.875
10625_35875,10.625,35.875
10875_35875,10.875,35.875
11125_35875,11.125,35.875
11375_35875,11.375,35.875
11625_35875,11.625,35.875
11875_35875,11.875,35.875
12125_35875,12.125,35.875
12375_35875,12.375,35.875
12625_35875,12.625,35.875
4625_36125,4.625,36.125
4875_36125,4.875,36.125
5125_36125,5.125,36.125
5375_36125,5.375,36.125
5625_36125,5.625,36.125
5875_36125,5.875,36.125
6125_36125,6.125,36.125
6375_36125,6.375,36.125
6625_36125,6.625,36.125
6875_36125,6.875,36.125
7125_36125,7.125,36.125
7375_36125,7.375,36.125
7625_36125,7.625,36.125
7875_36125,7.875,36.125
8125_36125,8.125,36.125
8375_36125,8.375,36.125
8625_36125,8.625,36.125
8875_36125,8.875,36.125
9125_36125,9.125,36.125
9375_36125,9.375,36.125
9625_36125,9.625,36.125
9875_36125,9.875,36.125
10125_36125,10.125,36.125
10375_36125,10.375,36.125
10625_36125,10.625,36.125
10875_36125,10.875,36.125
11125_36125,11.125,36.125
11375_36125,11.375,36.125
11625_36125,11.625,36.125
11875_36125,11.875,36.125
12125_36125,12.125,36.125
12375_36125,12.375,36.125
12625_36125,12.625,36.125
4625_36375,4.625,36.375
4875_36375,4.875,36.375
5125_36375,5.125,36.375
5375_36375,5.375,36.375
5625_36375,5.625,36.375
5875_36375,5.875,36.375
6125_36375,6.125,36.375
6375_36375,6.375,36.375
6625_36375,6.625,36.375
6875_36375,6.875,36.375
7125_36375,7.125,36.375
7375_36375,7.375,36.375
7625_36375,7.625,36.375
7875_36375,7.875,36.375
8125_36375,8.125,36.375
8375_36375,8.375,36.375
8625_36375,8.625,36.375
8875_36375,8.875,36.375
9125_36375,9.125,36.375
9375_36375,9.375,36.375
9625_36375,9.625,36.375
9875_36375,9.875,36.375
10125_36375,10.125,36.375
10375_36375,10.375,36.375
10625_36375,10.625,36.375
10875_36375,10.875,36.375
11125_36375,11.125,36.375
11375_36375,11.375,36.375
11625_36375,11.625,36.375
11875_36375,11.875,36.375
12125_36375,12.125,36.375
12375_36375,12.375,36.375
12625_36375,12.625,36.375
12875_36375,12.875,36.375
13125_36375,13.125,36.375
13375_36375,13.375,36.375
4625_36625,4.625,36.625
4875_36625,4.875,36.625
5125_36625,5.125,36.625
