scenario,simulation_mode,counterfactual_class,counterfactual_level,counterfactual,climate_anomalies,cereal_prodn_pctile,cereal_prodn_tercile
S0_BASE_bs00_H,Historical,Base,Base,2018 technology & land use,NA,NA,NA
S0_BASE_bs00_E01,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"warm,wet",12%,Low tercile
S0_BASE_bs00_E02,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,midrange,15%,Low tercile
S0_BASE_bs00_E03,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"warm,dry",24%,Low tercile
S0_BASE_bs00_E04,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,midrange,27%,Low tercile
S0_BASE_bs00_E05,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,wet",3%,Low tercile
S0_BASE_bs00_E06,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,midrange,67%,Middle tercile
S0_BASE_bs00_E07,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"warm,wet",30%,Low tercile
S0_BASE_bs00_E08,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,midrange,9%,Low tercile
S0_BASE_bs00_E09,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"warm,dry",100%,High tercile
S0_BASE_bs00_E10,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,wet",52%,Middle tercile
S0_BASE_bs00_E11,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,midrange,6%,Low tercile
S0_BASE_bs00_E12,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,wet",0%,Low tercile
S0_BASE_bs00_E13,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"warm,dry",58%,Middle tercile
S0_BASE_bs00_E14,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"warm,dry",88%,High tercile
S0_BASE_bs00_E15,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"warm,dry",36%,Middle tercile
S0_BASE_bs00_E16,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"warm,dry",45%,Middle tercile
S0_BASE_bs00_E17,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"warm,wet",33%,Low tercile
S0_BASE_bs00_E18,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"warm,wet",21%,Low tercile
S0_BASE_bs00_E19,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,wet",61%,Middle tercile
S0_BASE_bs00_E20,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,wet",18%,Low tercile
S0_BASE_bs00_E21,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,wet",85%,High tercile
S0_BASE_bs00_E22,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,wet",48%,Middle tercile
S0_BASE_bs00_E23,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,dry",76%,High tercile
S0_BASE_bs00_E24,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,dry",55%,Middle tercile
S0_BASE_bs00_E25,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,dry",94%,High tercile
S0_BASE_bs00_E26,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,midrange,82%,High tercile
S0_BASE_bs00_E27,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,midrange,73%,High tercile
S0_BASE_bs00_E28,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"warm,dry",79%,High tercile
S0_BASE_bs00_E29,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,midrange,91%,High tercile
S0_BASE_bs00_E30,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,wet",42%,Middle tercile
S0_BASE_bs00_E31,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,dry",39%,Middle tercile
S0_BASE_bs00_E32,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,dry",97%,High tercile
S0_BASE_bs00_E33,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,dry",70%,High tercile
S0_BASE_bs00_E34,Backcast 30 Apr 2018,Base,Base,2018 technology & land use,"cool,dry",64%,Middle tercile
S1_IRRI_ir02_H,Historical,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,NA,NA,NA
S1_IRRI_ir02_E01,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"warm,wet",12%,Low tercile
S1_IRRI_ir02_E02,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,midrange,15%,Low tercile
S1_IRRI_ir02_E03,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"warm,dry",24%,Low tercile
S1_IRRI_ir02_E04,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,midrange,27%,Low tercile
S1_IRRI_ir02_E05,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"cool,wet",3%,Low tercile
