P0,R0,dR,dC,S0,Region,Shock,iso3,Country
1072781948000.0,247160000000.0,-1426044335.81939,0.0,7119771960000,NAF,High,ARM,Armenia
82885904928000.0,15681300000000.0,-1463493440.93384,0.0,83905213988000,NAF,High,AUS,Australia
309324080000000.0,55914272000000.0,-100651862449.85301,0.0,333674785966000,NAF,High,IND,India
0.0,5494300000000.0,-4302258.51632645,0.0,4033194000,NAF,High,IDN,Indonesia
36615262356000.0,29468820000000.0,0.0,0.0,36615277116000,NAF,High,IRN,Iran (Islamic Republic of)
12019859736000.0,2553764000000.0,-185319212476.08102,0.0,14378872196000,NAF,High,IRQ,Iraq
2214086000000.0,177937669735.37198,-1219426.11004097,0.0,2214596370000,NAF,High,IRL,Ireland
588833316000.0,909816000000.0,0.0,0.0,588860622000,NAF,High,ISR,Israel
25077098088000.0,1998369715165.48,-65481139.62232061,0.0,25089479154000,NAF,High,ITA,Italy
0.0,247828000000.0,-33452322352.989,0.0,-22110132206000,NAF,High,CIV,Cote d'Ivoire
43761446864000.0,9844316000000.0,-92134264.77496171,0.0,44623441862000,NAF,High,KAZ,Kazakhstan
0.0,0.0,0.0,-4295134.86095984,51514868000,NAF,High,JAM,Jamaica
5593379764000.0,446305650418.49,-66522146443.7642,0.0,-56210176696000,NAF,High,AUT,Austria
2883555600000.0,4092836000000.0,-52291017520.0492,0.0,3076841522000,NAF,High,JPN,Japan
85670332000.0,1603868000000.0,-678735125.821613,0.0,4773109584000,NAF,High,JOR,Jordan
2203573684000.0,693384000000.0,-157332414.23092198,0.0,2251464854000,NAF,High,KGZ,Kyrgyzstan
1051288380000.0,549764000000.0,-698219277.212965,0.0,1323842654000,NAF,High,KEN,Kenya
0.0,0.0,0.0,-247272248.19330096,12301892380000,NAF,High,KHM,Cambodia
192384000000.0,0.0,0.0,-5393283.67780649,255533928000,NAF,High,PRK,Democratic People's Republic of Korea
96607496000.0,4884416000000.0,-234105828.01112998,0.0,251267364000,NAF,High,KOR,Republic of Korea
177688000.0,0.0,0.0,-1479120050.0766401,7179770994000,NAF,High,KWT,Kuwait
5848139600000.0,472926890509.82104,-145470224.96086,0.0,5904820046000,NAF,High,LVA,Latvia
0.0,0.0,0.0,-39359251.8977831,657716474000,NAF,High,BHS,Bahamas
0.0,0.0,0.0,-588757.362793255,14000168000,NAF,High,LAO,Lao People's Democratic Republic
473913936000.0,168336000000.0,-4453180.99328082,0.0,478213490000,NAF,High,LBN,Lebanon
32290452000.0,0.0,0.0,-12865449.7294496,744560840000,NAF,High,LSO,Lesotho
0.0,0.0,0.0,-30778533.8976404,1276118086000,NAF,High,LBR,Liberia
644944648000.0,385436000000.0,-5114183.32207782,0.0,879822262000,NAF,High,LBY,Libya
11573514828000.0,936022831144.981,-152843086203.336,0.0,29072559058000,NAF,High,LTU,Lithuania
