country,shocked_region,shock_severity,impact_level
Armenia,NAF,High,Low Impact
Australia,NAF,High,Low Impact
India,NAF,High,Low Impact
Indonesia,NAF,High,Low Impact
Iran (Islamic Republic of),NAF,High,No Impact
Iraq,NAF,High,Low Impact
Ireland,NAF,High,Low Impact
Israel,NAF,High,No Impact
Italy,NAF,High,Low Impact
Cote d'Ivoire,NAF,High,Low Impact
Kazakhstan,NAF,High,Low Impact
Jamaica,NAF,High,Medium Impact
Austria,NAF,High,Low Impact
Japan,NAF,High,Low Impact
Jordan,NAF,High,Low Impact
Kyrgyzstan,NAF,High,Low Impact
Kenya,NAF,High,Low Impact
Cambodia,NAF,High,Medium Impact
Democratic People's Republic of Korea,NAF,High,Medium Impact
Republic of Korea,NAF,High,Low Impact
Kuwait,NAF,High,Medium Impact
Latvia,NAF,High,Low Impact
Bahamas,NAF,High,Medium Impact
Lao People's Democratic Republic,NAF,High,Medium Impact
Lebanon,NAF,High,Low Impact
Lesotho,NAF,High,Medium Impact
Liberia,NAF,High,Medium Impact
Libya,NAF,High,Low Impact
Lithuania,NAF,High,Low Impact
Marshall Islands,NAF,High,Medium Impact
Madagascar,NAF,High,Medium Impact
Bahrain,NAF,High,Medium Impact
Malawi,NAF,High,Low Impact
Malaysia,NAF,High,Low Impact
Maldives,NAF,High,Medium Impact
Mali,NAF,High,Low Impact
Malta,NAF,High,Low Impact
Mauritania,NAF,High,Low Impact
Mauritius,NAF,High,Medium Impact
Mexico,NAF,High,Serious Impact
Barbados,NAF,High,Medium Impact
Mongolia,NAF,High,Medium Impact
Montserrat,NAF,High,Medium Impact
Morocco,NAF,High,Low Impact
Mozambique,NAF,High,Low Impact
Micronesia (Federated States of),NAF,High,Medium Impact
Republic of Moldova,NAF,High,Low Impact
Namibia,NAF,High,Low Impact
Nauru,NAF,High,Medium Impact
Nepal,NAF,High,Medium Impact
Netherlands,NAF,High,Low Impact
,NAF,High,Medium Impact
New Caledonia,NAF,High,Medium Impact
The former Yugoslav Republic of Macedonia,NAF,High,Medium Impact
Vanuatu,NAF,High,Medium Impact
New Zealand,NAF,High,Low Impact
Nicaragua,NAF,High,Medium Impact
Niger,NAF,High,Low Impact
Nigeria,NAF,High,Low Impact
Bangladesh,NAF,High,Low Impact
Niue,NAF,High,Medium Impact
Norfolk Island,NAF,High,Medium Impact
Norway,NAF,High,Low Impact
Northern Mariana Islands,NAF,High,Medium Impact
Pacific Islands Trust Territory,NAF,High,Medium Impact
Pakistan,NAF,High,Low Impact
Panama,NAF,High,Low Impact
Czech Republic,NAF,High,Low Impact
Czechoslovakia,NAF,High,Low Impact
Papua New Guinea,NAF,High,Low Impact
Paraguay,NAF,High,Low Impact
Bermuda,NAF,High,Medium Impact
Peru,NAF,High,Low Impact
Philippines,NAF,High,Low Impact
Poland,NAF,High,Medium Impact
Portugal,NAF,High,Low Impact
Guinea-Bissau,NAF,High,Medium Impact
Timor-Leste,NAF,High,Medium Impact
Eritrea,NAF,High,Low Impact
Qatar,NAF,High,Medium Impact
Bhutan,NAF,High,Medium Impact
Palau,NAF,High,Medium Impact
Zimbabwe,NAF,High,Serious Impact
Romania,NAF,High,Low Impact
Rwanda,NAF,High,Low Impact
Russian Federation,NAF,High,Low Impact
USSR,NAF,High,Low Impact
Saint Helena,NAF,High,Medium Impact
Saint Kitts and Nevis,NAF,High,Medium Impact
Saint Lucia,NAF,High,Serious Impact
Bolivia (Plurinational State of),NAF,High,Low Impact
Saint Pierre and Miquelon,NAF,High,Medium Impact
Saint Vincent and the Grenadines,NAF,High,Serious Impact
Sao Tome and Principe,NAF,High,Medium Impact
Saudi Arabia,NAF,High,Low Impact
Senegal,NAF,High,Low Impact
Seychelles,NAF,High,Medium Impact
Sierra Leone,NAF,High,Medium Impact
Slovenia,NAF,High,Medium Impact
Slovakia,NAF,High,Low Impact
Yugoslav SFR,NAF,High,Low Impact
Afghanistan,NAF,High,Low Impact
Botswana,NAF,High,Medium Impact
Singapore,NAF,High,Serious Impact
Somalia,NAF,High,Medium Impact
South Africa,NAF,High,Low Impact
Spain,NAF,High,Low Impact
Western Sahara,NAF,High,Medium Impact
Suriname,NAF,High,Medium Impact
Tajikistan,NAF,High,Low Impact
Swaziland,NAF,High,Medium Impact
Brazil,NAF,High,Low Impact
Sweden,NAF,High,Low Impact
Switzerland,NAF,High,Low Impact
Syrian Arab Republic,NAF,High,Low Impact
Turkmenistan,NAF,High,No Impact
United Republic of Tanzania,NAF,High,Low Impact
Thailand,NAF,High,Low Impact
Togo,NAF,High,Medium Impact
Tonga,NAF,High,Medium Impact
Aruba,NAF,High,Medium Impact
Trinidad and Tobago,NAF,High,Low Impact
Oman,NAF,High,Low Impact
Tunisia,NAF,High,Low Impact
Turkey,NAF,High,Low Impact
,NAF,High,Medium Impact
United Arab Emirates,NAF,High,Low Impact
Uganda,NAF,High,Low Impact
Tuvalu,NAF,High,Medium Impact
United Kingdom,NAF,High,Low Impact
Belize,NAF,High,Medium Impact
Ukraine,NAF,High,Low Impact
United States of America,NAF,High,Low Impact
Burkina Faso,NAF,High,Low Impact
Uruguay,NAF,High,Low Impact
Uzbekistan,NAF,High,Low Impact
Venezuela (Bolivarian Republic of),NAF,High,Low Impact
Viet Nam,NAF,High,Low Impact
Ethiopia,NAF,High,Low Impact
Ethiopia PDR,NAF,High,Low Impact
British Virgin Islands,NAF,High,Medium Impact
Wallis and Futuna Islands,NAF,High,Medium Impact
Samoa,NAF,High,Medium Impact
Yemen,NAF,High,Low Impact
Yemen Ar Rp,NAF,High,Low Impact
Yemen Dem,NAF,High,Low Impact
Solomon Islands,NAF,High,Medium Impact
Democratic Republic of the Congo,NAF,High,Low Impact
Zambia,NAF,High,Low Impact
,NAF,High,Medium Impact
Belgium,NAF,High,Low Impact
Belgium-Luxembourg,NAF,High,Low Impact
Luxembourg,NAF,High,No Impact
Anguilla,NAF,High,Medium Impact
Brunei Darussalam,NAF,High,Medium Impact
Bulgaria,NAF,High,Low Impact
Mayotte,NAF,High,Medium Impact
Serbia,NAF,High,Low Impact
Serbia and Montenegro,NAF,High,Low Impact
Montenegro,NAF,High,Medium Impact
Sudan,NAF,High,Low Impact
South Sudan,NAF,High,Medium Impact
Myanmar,NAF,High,Low Impact
Burundi,NAF,High,Medium Impact
,NAF,High,Medium Impact
Albania,NAF,High,Low Impact
Antarctica,NAF,High,Medium Impact
Cameroon,NAF,High,Medium Impact
Canada,NAF,High,Serious Impact
Cape Verde,NAF,High,Medium Impact
China,NAF,High,Low Impact
Cayman Islands,NAF,High,Medium Impact
Central African Republic,NAF,High,Medium Impact
Sri Lanka,NAF,High,Low Impact
Chad,NAF,High,Medium Impact
Algeria,NAF,High,Low Impact
Chile,NAF,High,Low Impact
Christmas Island,NAF,High,Medium Impact
Colombia,NAF,High,Low Impact
Comoros,NAF,High,Medium Impact
Congo,NAF,High,Low Impact
Cook Islands,NAF,High,Serious Impact
Costa Rica,NAF,High,Low Impact
Cuba,NAF,High,Medium Impact
American Samoa,NAF,High,Medium Impact
Cyprus,NAF,High,Low Impact
Azerbaijan,NAF,High,Low Impact
Benin,NAF,High,Medium Impact
Denmark,NAF,High,Low Impact
Dominica,NAF,High,Medium Impact
Dominican Republic,NAF,High,Low Impact
Belarus,NAF,High,Low Impact
Ecuador,NAF,High,Low Impact
Egypt,NAF,High,Low Impact
Andorra,NAF,High,Medium Impact
El Salvador,NAF,High,Low Impact
Equatorial Guinea,NAF,High,Medium Impact
Estonia,NAF,High,Low Impact
Faroe Islands,NAF,High,Medium Impact
Falkland Islands (Malvinas),NAF,High,Medium Impact
Fiji,NAF,High,Low Impact
Finland,NAF,High,Low Impact
France,NAF,High,Low Impact
Angola,NAF,High,Low Impact
French Polynesia,NAF,High,Medium Impact
Djibouti,NAF,High,Medium Impact
Georgia,NAF,High,Low Impact
Gabon,NAF,High,Medium Impact
Gambia,NAF,High,Medium Impact
Germany,NAF,High,Low Impact
Germany Fr,NAF,High,Low Impact
Germany Nl,NAF,High,Low Impact
Antigua and Barbuda,NAF,High,Medium Impact
Bosnia and Herzegovina,NAF,High,Low Impact
Ghana,NAF,High,Low Impact
Gibraltar,NAF,High,Medium Impact
Kiribati,NAF,High,Medium Impact
Greece,NAF,High,Serious Impact
Greenland,NAF,High,Medium Impact
Grenada,NAF,High,Medium Impact
Guam,NAF,High,Medium Impact
Guatemala,NAF,High,Low Impact
Argentina,NAF,High,Low Impact
Guinea,NAF,High,Low Impact
Guyana,NAF,High,Low Impact
