Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,4.0448,2.4692,2.3709,2.4382,7.3864,2.964,2.6735,3.272,2.5299,1.9893,
Feb,2,9.9492,28.516,7.1617,6.3417,6.86,9.7031,13.0023,6.5172,18.2239,13.6069,
Mar,3,44.6391,48.5284,39.7581,20.9712,68.8397,58.435,45.9129,66.0008,31.0377,84.367,
Apr,4,114.1128,113.1753,85.4236,139.0331,148.5129,127.3326,111.7175,179.3279,89.4836,136.1781,
May,5,135.0105,168.8639,175.0111,152.329,116.0819,172.1277,108.0451,139.8378,150.3026,157.4865,
Jun,6,131.0948,154.0716,125.7614,136.2613,167.6354,152.3509,159.6123,134.6117,142.3508,142.1871,
Jul,7,148.6363,195.6657,194.3316,186.0614,190.5475,153.2737,145.8946,145.565,176.6002,133.5979,
Aug,8,145.7816,132.0377,154.0931,174.9931,129.947,151.0864,108.2524,98.0978,155.3613,164.5893,
Sep,9,121.6073,143.7671,160.8539,139.0809,132.0607,131.4408,101.3728,89.2871,170.9706,,
Oct,10,132.9601,125.7895,167.7357,153.884,157.0355,128.2665,203.0255,112.1942,111.5075,,
Nov,11,68.9892,48.1666,73.119,98.6292,69.2698,88.2962,104.055,82.7402,59.4899,,
Dec,12,9.707,10.0142,5.5514,13.1987,12.7277,7.219,6.9901,7.92,5.8464,
