Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,7.026,3.8949,3.4897,3.5551,12.2885,5.0155,4.0699,6.4354,4.1749,2.7268,
Feb,2,16.0735,51.7034,9.4115,8.5436,9.6277,12.5137,18.3648,7.3894,48.2988,28.0281,
Mar,3,58.1567,57.1076,46.4671,20.4577,93.5094,74.0901,44.7901,82.2487,38.3817,104.5679,
Apr,4,134.0974,137.3866,110.9342,169.5999,153.6855,127.9324,148.9218,173.9297,121.931,165.6055,
May,5,148.1403,174.3838,184.9899,186.6903,123.9024,170.122,116.3729,144.8259,147.0945,177.4418,
Jun,6,148.1072,179.3633,160.1918,158.7526,197.0156,160.7367,195.2749,129.8498,162.5183,172.3926,
Jul,7,157.3606,177.8561,213.1128,203.6678,189.0895,155.4309,143.7371,138.369,202.0184,123.2356,
Aug,8,170.129,174.6751,187.4761,208.0786,206.8239,150.2437,129.7293,112.3464,208.4942,188.3248,
Sep,9,140.569,155.1065,198.1643,134.9293,147.8921,164.0434,120.3326,112.3228,176.552,,
Oct,10,166.605,162.688,220.5857,215.4277,194.0494,170.1171,216.2996,167.4637,129.6841,,
Nov,11,93.2212,65.8573,118.9264,117.6107,111.4307,123.7223,171.9169,111.8658,85.6981,,
Dec,12,18.514,18.5424,9.4873,28.7457,18.4524,9.7145,15.9894,13.546,8.3899,
