Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,8.0888,5.1077,4.7753,5.4316,15.4604,7.7896,5.4312,5.963,4.38,3.7599,
Feb,2,15.0904,40.4558,9.2053,10.472,11.6254,13.8559,22.5828,9.8958,24.0433,22.1909,
Mar,3,59.3902,49.3693,36.9195,23.1573,95.6623,89.2612,66.2257,102.2507,33.3531,116.6207,
Apr,4,137.9052,146.1068,92.3048,151.1841,182.4912,173.0433,109.3433,217.0539,149.9016,164.1677,
May,5,150.5782,195.478,179.0019,160.0346,120.7471,171.7175,130.5777,153.5925,142.2626,142.0977,
Jun,6,168.2455,217.0456,157.9654,200.4007,195.0703,176.7959,218.3623,160.7612,163.5087,162.2158,
Jul,7,161.8787,214.098,234.8416,224.1533,184.247,156.8069,146.8562,159.584,194.7708,133.6223,
Aug,8,165.8238,162.1142,188.712,185.3297,171.4434,157.4235,143.1673,134.8261,187.1106,188.2037,
Sep,9,141.2837,154.4841,164.8399,130.3894,160.9373,164.0564,112.1804,100.6391,188.3523,,
Oct,10,169.7344,193.359,219.5776,212.4069,178.4241,166.0247,241.4288,142.8059,130.0599,,
Nov,11,73.4462,44.3386,69.8768,108.9731,77.3439,80.8128,104.3394,109.6106,53.4003,,
Dec,12,14.732,16.3993,7.4721,17.8464,24.2491,10.1547,11.1746,15.1962,6.7919,
