Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,14.1286,13.2161,7.3401,8.4182,29.6967,11.5521,8.9149,10.5856,6.6861,4.9481,
Feb,2,20.539,59.8479,10.9126,15.731,14.0878,14.6027,29.5306,11.3185,42.6243,34.1486,
Mar,3,75.0398,63.6627,38.1378,37.8677,127.6307,110.719,77.7355,124.1665,49.7248,129.9607,
Apr,4,142.1437,134.529,109.097,148.3062,159.7058,163.3961,148.6363,191.0645,150.4484,157.6115,
May,5,149.7403,185.1437,174.6633,145.0499,142.4174,183.2637,127.1092,133.9585,138.6029,163.2764,
Jun,6,156.9583,193.1974,177.9509,197.4332,220.3292,149.2108,204.4919,165.0636,150.2958,169.8781,
Jul,7,157.3625,146.5658,246.1095,220.8354,185.542,138.2023,146.8166,142.1108,197.2901,111.9082,
Aug,8,177.9428,196.5613,201.4504,209.3855,204.0307,154.1892,151.4299,133.8666,212.9119,195.4122,
Sep,9,157.4937,166.2608,186.7835,135.9053,177.8066,183.2282,135.0161,124.4636,199.1397,,
Oct,10,198.9487,232.4469,256.5151,249.8623,193.2947,192.8207,296.6916,215.8189,150.9432,,
Nov,11,99.073,75.5842,90.2296,125.2456,125.5675,130.2297,138.7298,125.5469,69.4198,,
Dec,12,23.9225,22.1381,11.6081,30.0127,33.5089,13.0142,22.3973,20.4009,8.0352,
