Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,2.828,2.1627,1.9276,1.9844,4.7966,2.3894,2.117,2.181,2.2812,2.0021,
Feb,2,6.2206,14.6145,5.1077,4.2293,4.7621,7.2761,8.1912,4.9,7.8208,6.7708,
Mar,3,31.6754,33.8081,28.4882,19.3568,39.3646,43.5722,43.7096,48.6251,25.7767,78.3368,
Apr,4,96.7928,86.0198,54.1339,110.289,92.8743,135.1127,78.5392,165.0101,69.8696,102.587,
May,5,121.8104,172.3948,142.4991,111.1147,123.0344,160.1244,105.3158,127.7823,142.2291,151.9304,
Jun,6,126.4112,122.9497,141.4238,134.0001,175.3089,104.6857,144.1317,152.4096,144.7217,110.1444,
Jul,7,131.4632,201.8704,167.3854,182.2463,150.0389,109.1458,120.7427,143.0029,138.7788,113.0267,
Aug,8,148.4217,132.0226,137.7816,189.724,106.5684,148.8401,80.8664,81.8735,164.9403,143.7353,
Sep,9,114.8662,151.8028,137.0826,138.1682,139.4301,108.2688,90.6702,107.6386,154.4829,,
Oct,10,106.9307,100.488,124.6922,122.7395,124.9225,103.7539,150.5708,80.841,98.3647,,
Nov,11,37.032,26.8293,22.3655,60.2164,43.1911,41.1674,63.3864,40.3037,35.1875,,
Dec,12,5.0516,4.5418,3.1736,4.2044,7.9796,3.9658,6.2527,5.3433,3.9667,
