Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,12.1206,11.7263,6.1951,8.3354,23.5254,14.6417,9.8948,7.5224,5.9837,5.3343,
Feb,2,17.6408,45.6975,9.3896,14.1192,12.9829,14.277,28.9526,10.9218,20.3175,25.0595,
Mar,3,64.2895,52.3677,37.8072,44.5287,101.8158,99.2483,81.3384,119.1532,41.2533,108.2587,
Apr,4,136.4113,147.1922,96.2831,158.1269,162.3321,178.135,101.0101,207.8004,150.7957,164.0189,
May,5,165.1181,196.9817,185.3327,161.7832,143.2339,194.2698,157.0784,177.081,149.0418,160.8497,
Jun,6,171.2923,208.0604,163.7685,207.774,207.0474,175.5102,208.7101,172.1088,151.3525,168.0833,
Jul,7,165.7453,200.2409,238.9542,233.7184,184.1437,155.706,142.0442,170.6188,190.5403,137.542,
Aug,8,183.4062,176.8667,218.4701,208.5992,191.0365,173.9931,158.9341,153.0995,190.9393,193.0885,
Sep,9,157.912,169.5734,176.3433,153.3152,172.8763,182.9851,114.479,128.2,192.7395,,
Oct,10,191.3449,222.5846,255.6879,249.9409,192.8227,196.989,248.775,167.9926,156.941,,
Nov,11,84.9231,73.7972,71.9894,125.8369,88.6137,92.0624,116.725,119.6913,67.877,,
Dec,12,14.4915,14.651,7.0392,15.0301,25.868,12.1317,12.6577,12.2187,7.4408,
