Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,7.7605,10.4518,4.7286,4.3282,9.4833,3.6437,3.4068,4.4171,6.5854,3.1712,
Feb,2,12.7093,37.488,12.631,8.5748,7.7833,11.9275,8.318,8.377,34.6574,16.3064,
Mar,3,51.1593,64.5546,69.8926,22.7504,56.9681,77.8203,31.9556,58.2426,37.544,105.4879,
Apr,4,92.169,66.1977,47.2226,154.6886,114.1305,44.9709,104.4412,153.9576,41.8505,163.1644,
May,5,107.1013,136.612,129.9684,168.6066,115.4266,87.1534,102.6223,86.9972,97.8763,245.0498,
Jun,6,105.1305,87.7746,128.1233,126.2737,131.6056,91.1652,154.9611,82.8197,78.1231,166.2082,
Jul,7,145.2585,132.8629,198.12,259.9414,186.557,168.2015,116.8814,108.8936,200.695,84.0963,
Aug,8,143.2192,122.4016,186.1224,193.192,104.7067,205.6886,89.0937,93.6354,155.0261,139.0665,
Sep,9,95.2265,86.6631,144.0381,109.8779,97.2979,80.4462,65.2356,75.9714,106.1774,,
Oct,10,83.2538,105.9115,75.4515,119.3893,115.0985,93.9175,99.5206,75.36,104.9721,,
Nov,11,53.2601,14.0404,109.3349,78.168,58.7681,81.0598,94.2109,44.4674,37.7239,,
Dec,12,21.4744,14.8191,23.1005,38.6518,12.7816,13.8766,21.7445,9.8628,11.0484,
