Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,10.4717,10.9342,6.7149,6.3794,15.4777,5.5695,5.3358,7.6652,9.7816,4.6092,
Feb,2,15.1338,42.6629,13.8477,10.0085,8.1069,11.3795,11.5332,9.528,36.0414,20.1437,
Mar,3,53.1538,70.7103,89.0402,22.1752,62.7928,60.7256,29.2379,60.2131,38.2761,105.2615,
Apr,4,107.4478,85.2414,65.2872,175.0064,133.7685,53.6262,112.36,153.4895,53.3786,165.2746,
May,5,128.4722,147.7733,154.3069,195.6126,135.6875,134.1977,104.83,109.0621,116.7261,262.485,
Jun,6,126.1312,100.9407,154.3459,162.7214,163.5356,133.8308,164.9361,108.6838,112.5777,197.7176,
Jul,7,160.0136,162.6259,205.3324,240.0777,198.451,174.5884,113.0414,114.3031,201.688,102.7295,
Aug,8,175.9981,150.8739,217.7579,244.8007,142.9488,225.9403,122.7531,103.8787,172.8091,157.4659,
Sep,9,114.6957,115.0671,154.0443,133.4358,102.3804,95.0685,81.288,89.8045,122.357,,
Oct,10,106.8442,120.0033,111.4947,145.7796,141.1863,99.2591,131.8444,99.4518,91.4409,,
Nov,11,62.5663,29.7999,102.9573,100.7728,63.7337,101.1575,87.6799,49.6637,44.1666,,
Dec,12,20.2709,16.9611,18.5432,31.3779,14.173,14.1524,18.0896,10.5003,11.1145,
