Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,9.0508,13.1571,4.6219,4.1475,9.5465,4.8293,5.7967,4.7939,7.089,4.1191,
Feb,2,15.9612,41.0935,20.3405,8.4075,17.9111,16.629,10.4316,11.4146,46.003,36.1294,
Mar,3,56.2845,86.9256,46.4848,38.5324,56.0993,91.7567,39.8124,46.2029,41.2286,97.6558,
Apr,4,83.1242,52.3669,46.4118,132.9431,125.1308,42.0823,139.2833,94.1873,48.3752,169.3775,
May,5,71.2376,90.4797,77.7384,105.0558,54.7151,72.3836,75.3824,59.7633,51.868,144.3917,
Jun,6,57.6331,44.343,72.1922,78.2607,55.1592,49.1272,89.2665,32.8639,30.301,73.1648,
Jul,7,82.1313,89.35,114.8812,161.6735,96.329,78.945,70.2275,70.0945,128.1951,40.0673,
Aug,8,79.746,69.5833,107.7276,114.181,48.9735,115.7821,57.5649,79.032,66.4136,91.3521,
Sep,9,62.8208,71.5426,101.3995,94.5336,71.7806,52.3648,44.0187,42.4274,77.0634,,
Oct,10,56.4779,44.3974,58.326,79.3463,68.8688,72.9013,67.573,51.8827,100.785,,
Nov,11,69.2885,21.5905,164.656,74.8778,85.7785,96.8379,114.7751,33.168,43.751,,
Dec,12,31.285,20.1586,41.3828,35.7158,9.5801,16.4505,36.4895,10.2213,8.4587,
