Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,4.2436,3.6758,2.8607,2.6299,5.8761,3.3302,3.3406,3.5573,3.3979,3.2576,
Feb,2,12.1342,30.8096,15.3395,9.7529,9.578,12.4703,8.7307,9.2532,38.1155,15.8921,
Mar,3,46.124,47.1279,42.6148,30.0835,47.5141,66.8229,36.5032,38.1388,30.2867,82.0959,
Apr,4,71.5637,47.6502,47.8627,119.6204,71.7377,37.1336,91.0245,105.5185,33.9865,108.2745,
May,5,77.0862,94.9313,118.0335,111.6699,65.0691,101.2659,61.2569,66.0832,70.1196,160.8228,
Jun,6,87.5763,77.3943,112.7445,111.2046,103.7397,95.0795,105.4554,68.6826,70.5407,100.4845,
Jul,7,144.8043,134.6536,178.688,210.8578,203.4398,164.8591,100.6702,122.5754,219.4156,86.3442,
Aug,8,112.4397,112.8167,120.3932,129.8119,81.9922,152.369,67.9612,75.8453,95.1109,128.4356,
Sep,9,110.6421,130.3803,148.6827,139.0391,102.525,71.3189,83.1244,98.832,123.9621,,
Oct,10,90.2225,96.5208,90.7766,112.8868,115.3094,98.8676,118.8067,111.8214,117.0481,,
Nov,11,54.3785,25.4684,75.3214,71.7628,64.2891,77.3759,86.1123,28.9825,34.2732,,
Dec,12,19.7594,14.8375,20.2482,24.2692,12.366,11.7272,14.4097,11.0488,10.1927,
