Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,6.0062,8.2562,3.589,3.3171,5.8262,2.454,2.396,3.0392,3.806,2.3186,
Feb,2,12.8779,38.5238,14.5413,8.9733,9.1057,12.2197,7.9624,8.9136,37.8037,17.4629,
Mar,3,48.7238,69.2434,53.0299,23.9573,52.3296,78.9281,35.3116,57.4837,35.9069,109.6937,
Apr,4,79.2979,49.1645,38.6896,138.5918,95.9875,44.094,90.7402,128.2879,39.727,141.9755,
May,5,91.2027,124.5592,107.9617,150.6083,97.2387,73.9976,98.4587,74.2775,75.113,198.0013,
Jun,6,82.0874,72.7203,98.8223,97.4333,91.2862,61.9001,124.1245,55.2331,48.2268,114.9336,
Jul,7,122.7919,109.3522,157.8558,238.3918,166.0335,138.771,115.8966,101.4324,170.0499,65.3894,
Aug,8,119.0076,104.3635,162.5803,149.1831,74.3809,174.906,83.0051,89.612,130.1255,126.4387,
Sep,9,86.262,92.7551,138.9583,95.7796,87.2567,65.9433,61.2427,65.7075,90.5861,,
Oct,10,68.0525,95.18,60.976,101.5269,95.9062,83.9142,81.8192,64.7397,102.2811,,
Nov,11,53.4085,11.3022,125.1703,78.1464,44.3194,71.338,90.9033,44.6708,35.236,,
Dec,12,22.7576,14.5961,26.9904,39.0327,11.6532,13.7869,23.8208,8.831,9.2155,
