Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,3.75,2.6849,2.364,2.2508,5.2068,2.3365,2.3486,2.6783,2.5458,2.1218,
Feb,2,9.6548,24.2803,9.9732,7.2018,7.5729,7.8915,7.2656,7.4497,22.6609,12.1282,
Mar,3,36.632,37.2508,39.2426,23.782,44.1851,47.9315,32.9707,36.5896,37.2634,62.4854,
Apr,4,84.6399,63.8128,67.8333,112.187,82.6147,67.0699,90.8508,118.1263,46.777,105.5889,
May,5,99.432,111.0686,153.1091,109.3278,98.3006,134.1927,70.8384,89.6273,107.6169,163.6989,
Jun,6,102.875,82.1296,112.5303,109.9987,150.9348,131.3022,112.6016,96.8695,110.6562,130.2073,
Jul,7,146.3696,171.7385,171.1855,214.0415,195.8196,153.9018,115.967,127.0881,198.7923,110.7287,
Aug,8,128.7772,126.2132,128.8452,166.7192,86.6993,154.6535,64.2346,62.2025,114.4031,141.2641,
Sep,9,112.2784,154.3356,133.9592,131.9344,108.2013,92.084,80.7621,86.4625,144.218,,
Oct,10,97.6503,98.4515,106.3787,121.9206,124.9041,99.8871,137.2184,107.9856,96.0452,,
Nov,11,61.7409,41.089,57.9347,86.6095,83.8734,79.9499,94.7138,45.6676,50.5231,,
Dec,12,13.0565,13.0419,12.1947,14.86,9.9328,10.065,10.8887,10.9522,10.3279,
