Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,7.1599,5.4429,3.872,3.9523,12.8058,4.1541,4.1112,6.547,5.5769,3.1321,
Feb,2,13.3508,40.8277,10.4252,7.3872,6.6116,10.356,12.2953,7.228,41.3666,23.1671,
Mar,3,57.1531,74.9321,66.9221,19.0301,80.7759,68.7714,39.5791,66.2398,43.7983,106.2981,
Apr,4,128.76,111.3618,104.3518,190.0753,163.5644,94.2121,156.8415,173.6856,98.7728,192.8168,
May,5,151.0695,160.3368,194.2531,212.5327,141.1339,186.8826,120.8678,145.3833,163.4362,233.6237,
Jun,6,142.4044,148.4059,157.1293,161.2275,175.3892,178.2432,170.8903,117.5426,140.0992,193.4904,
Jul,7,150.8223,168.8401,171.6047,188.5032,188.4608,156.2868,134.0293,132.0239,181.1846,128.38,
Aug,8,188.2935,181.1712,195.6298,239.9241,197.8584,220.7283,132.8474,109.5772,214.5778,177.0766,
Sep,9,132.328,144.5675,172.316,130.8075,139.0152,136.8048,106.6525,112.1321,142.3097,,
Oct,10,150.8495,155.2219,178.6399,184.4943,209.4139,148.9944,192.7054,132.2836,105.3976,,
Nov,11,85.2913,50.6486,119.3658,120.5371,90.474,118.7758,126.7196,82.7884,70.0082,,
Dec,12,20.642,25.1147,13.5057,38.6688,20.1285,13.2723,23.9834,12.7933,9.4587,
