Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,7.0357,5.1221,4.3441,4.2538,11.1639,3.6844,3.6588,5.3332,4.9516,2.8832,
Feb,2,12.7393,35.8466,12.1225,7.9677,7.8079,8.9625,9.8482,8.4537,33.5174,20.1649,
Mar,3,51.2619,61.0152,70.0444,22.3302,65.6091,60.3504,32.1958,56.2599,43.0844,89.2667,
Apr,4,111.3894,89.1087,78.9058,172.3933,137.672,80.1187,119.3142,160.0654,61.2768,171.8594,
May,5,135.8326,152.9033,173.906,173.8579,137.1645,171.601,105.7302,125.9734,160.0062,223.0379,
Jun,6,138.3322,129.5525,157.7233,167.8971,185.4937,179.9321,153.9869,122.5728,122.1965,182.3811,
Jul,7,171.5323,198.796,205.1144,217.6378,213.0893,190.952,145.4385,141.8798,213.9862,143.8689,
Aug,8,179.1494,172.3495,196.5918,251.8044,144.4299,212.9579,111.7353,99.2377,185.4087,178.0272,
Sep,9,136.8788,157.7181,185.0059,152.4899,135.0358,115.3208,92.3592,98.3633,158.759,,
Oct,10,139.5136,136.2609,161.6501,175.2349,191.1745,132.6883,179.1302,140.8924,108.4444,,
Nov,11,73.7717,42.691,77.8286,110.878,72.0391,106.1218,97.3906,62.4287,55.9885,,
Dec,12,17.8421,21.0765,14.0556,22.3986,13.3322,12.2048,16.9663,11.2885,10.7579,
