Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,1.2354,1.0014,1.0213,0.8981,0.9566,0.8661,0.9564,0.9598,0.8619,0.8704,
Feb,2,2.5405,2.959,2.1456,1.8678,1.9397,2.7775,2.4565,2.3713,4.8204,3.129,
Mar,3,16.2289,10.2872,11.1509,9.3311,16.9162,17.8179,24.0584,21.8359,12.805,32.9027,
Apr,4,59.2808,35.0039,38.3249,41.2388,38.9733,89.5136,41.4959,78.4011,52.5562,47.0344,
May,5,108.8326,95.2718,106.7739,159.7329,107.1825,138.2798,151.5393,164.9498,152.5039,186.2885,
Jun,6,124.1269,116.8262,132.1965,114.8844,173.8073,114.5189,158.7078,156.4747,123.0145,123.919,
Jul,7,182.8475,198.0735,178.6059,278.7797,221.9643,187.2217,139.6962,207.5435,201.1456,120.4701,
Aug,8,181.8236,178.9406,144.6281,227.1512,147.3593,185.1762,153.8289,103.6299,184.5302,198.9623,
Sep,9,136.9657,152.3145,160.7002,119.6433,169.5688,150.0275,123.2508,85.6984,136.392,,
Oct,10,82.772,94.1447,97.0632,79.2383,67.5701,94.7564,108.5691,70.258,89.7825,,
Nov,11,23.823,21.7692,13.0396,36.7027,27.7984,21.8927,21.9851,6.5317,13.0806,,
Dec,12,2.545,2.3144,2.0706,2.3861,2.1466,2.1553,4.0691,2.8078,2.2939,
