Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.1069,,,,,,,,,,
Feb,2,0.5706,0.3053,,,,0.2436,0.0591,,0.1051,0.4048,
Mar,3,7.9851,8.2352,7.2197,5.6308,8.4828,8.6974,13.3165,12.6846,7.7838,12.3475,
Apr,4,36.9176,18.5728,12.1528,32.2867,15.638,88.9075,29.7006,61.2415,30.3616,32.5583,
May,5,91.5915,93.784,78.1591,106.9919,115.9035,139.9156,117.8154,152.4527,116.8796,140.6251,
Jun,6,129.7732,119.5726,168.4352,138.1693,197.3071,144.9203,132.911,147.4835,153.2084,152.7746,
Jul,7,155.9875,179.6982,190.0625,220.5951,154.1166,169.6545,133.0942,191.64,188.8186,143.4076,
Aug,8,176.0687,201.5741,198.0481,212.6709,130.3087,175.7715,171.3231,128.0055,211.2773,190.5879,
Sep,9,121.0092,141.5997,144.6048,101.528,150.6956,149.5397,140.8214,104.2505,139.0906,,
Oct,10,77.1425,89.5844,96.068,80.4703,74.7712,102.8447,100.7195,60.2491,63.0732,,
Nov,11,11.4446,15.4805,3.4434,18.6338,7.8278,9.8189,7.7848,5.0424,8.4625,,
Dec,12,0.5505,,,,0.0635,0.0141,0.2193,,0.0093,
