Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,1.9064,1.612,1.2908,1.2851,1.8571,1.5213,1.4722,1.5163,1.5633,1.4621,
Feb,2,5.3783,8.429,5.0203,4.9347,4.7282,5.7114,5.0804,5.0449,6.8502,6.6993,
Mar,3,22.6548,20.9015,22.2736,18.6356,31.4364,24.9835,24.5631,28.1919,20.7353,46.4781,
Apr,4,80.2622,45.6434,46.2336,86.0455,64.26,117.3571,67.7523,129.357,59.7333,81.184,
May,5,111.8671,140.071,122.5487,135.8248,101.5951,160.6262,128.735,120.7276,131.5261,171.5567,
Jun,6,109.6746,101.1747,127.1381,99.3009,167.6246,91.0911,132.425,130.5431,106.6348,102.2698,
Jul,7,137.8798,195.2946,150.6937,219.1473,180.9445,124.3838,109.5701,175.2225,157.1631,110.1508,
Aug,8,150.3217,160.502,115.2146,174.1515,113.2643,138.5171,88.2891,79.9604,139.9473,139.3724,
Sep,9,144.7359,205.6566,147.3017,158.2639,163.9563,167.2599,136.8371,140.7807,165.6135,,
Oct,10,102.5603,117.84,130.2799,123.8263,118.6813,113.5862,113.7127,94.9412,96.6175,,
Nov,11,46.9671,44.2771,33.2088,76.1836,57.8459,33.3946,66.2773,42.3852,41.9675,,
Dec,12,4.3866,4.0931,3.5209,4.9347,4.8603,4.2121,5.07,4.259,4.183,
