Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.5192,0.1437,0.1437,0.1437,0.2003,0.1871,0.1866,0.1866,0.1866,0.1866,
Feb,2,1.1671,1.9693,0.3143,0.541,0.7101,2.1588,1.4016,0.8212,1.9701,2.6438,
Mar,3,13.5652,13.0368,10.0949,7.5601,15.1758,13.6935,27.868,26.8209,11.1495,25.1622,
Apr,4,55.7404,33.1501,20.9447,60.0051,35.1093,132.2927,48.0065,83.804,43.036,49.9455,
May,5,95.5062,85.25,77.9433,110.258,93.1734,125.5349,140.3847,134.5882,116.5917,135.0566,
Jun,6,136.6204,133.6661,175.9838,142.4241,208.3306,126.9271,137.8721,140.8426,121.4666,146.2938,
Jul,7,158.9711,201.5882,183.2747,232.62,183.9639,144.1551,123.4805,198.0401,172.0784,133.6542,
Aug,8,179.0397,185.1113,172.5781,225.6253,126.706,160.086,164.5679,102.7066,178.3024,185.6902,
Sep,9,124.9546,150.4275,139.7131,115.1442,153.5111,149.3406,138.9398,98.0553,123.2549,,
Oct,10,76.5781,74.7877,87.6519,75.2734,75.1743,94.2014,90.4914,68.0915,60.532,,
Nov,11,19.8231,27.808,7.5705,28.6664,15.4722,19.2013,17.3444,10.6467,13.8439,,
Dec,12,0.8638,0.0098,0.0097,0.2392,1.2126,0.98,0.9639,0.1165,0.312,
