Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.0416,,,,,,,,,,
Feb,2,0.3615,0.0744,0.0134,0.0134,0.0181,0.0614,0.018,0.0181,0.0181,0.0264,
Mar,3,4.2117,4.9701,3.6016,3.4631,4.0711,4.9202,6.3564,8.6429,4.0712,4.4406,
Apr,4,21.7579,10.9154,8.5079,17.8463,10.035,55.8022,9.2572,42.2103,17.7304,22.2351,
May,5,78.8454,86.1113,77.9642,112.2432,98.147,119.9039,57.8017,138.379,108.1933,120.6135,
Jun,6,129.2954,115.3361,157.9025,144.0473,173.4434,180.6368,138.6083,139.9374,188.2124,137.4491,
Jul,7,160.6504,182.169,201.2922,247.616,109.3189,198.9066,147.6872,183.249,216.5891,141.7524,
Aug,8,183.7154,262.6859,197.9827,215.6288,139.3631,177.9141,202.5545,132.7912,224.6583,204.7243,
Sep,9,124.8947,126.9608,166.8792,100.8846,165.6425,152.0256,144.4014,105.4276,153.5221,,
Oct,10,75.9807,94.2397,94.1472,67.4226,74.2896,70.1292,103.4776,71.8522,71.2624,,
Nov,11,5.4894,6.1582,1.5594,10.9388,1.9382,2.2116,2.7359,1.5096,8.4449,,
Dec,12,0.286,,,,,,0.0039,,,
