Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.1449,0.0574,0.0569,0.0569,0.0636,0.0636,0.0636,0.0636,0.0636,0.0636,
Feb,2,0.3851,0.0499,,,,0.0155,,,0.1518,0.0098,
Mar,3,5.9455,4.4811,4.2924,4.0768,7.4885,7.0137,12.4185,9.3999,5.1741,9.8465,
Apr,4,45.018,21.7916,13.9162,35.6288,18.2407,90.6832,33.9481,71.3018,36.7211,38.1027,
May,5,96.3122,79.0198,99.2234,120.8907,98.2484,156.9552,139.0074,164.6883,129.8836,165.3168,
Jun,6,124.9026,131.8964,134.1414,136.7748,185.4834,142.9865,149.8392,118.8616,155.8729,171.41,
Jul,7,158.3562,193.3929,170.4061,225.0655,172.5947,174.9696,126.8596,208.9564,204.061,110.4289,
Aug,8,175.5474,200.3959,168.3649,212.0385,135.3478,169.9927,190.5007,122.3911,208.3221,209.7052,
Sep,9,120.3576,146.0772,144.2204,114.8291,150.4144,139.1691,147.1223,104.8598,143.8386,,
Oct,10,74.1815,94.3843,99.1916,82.882,66.2269,88.0172,99.543,53.536,78.4583,,
Nov,11,6.8442,9.1765,1.7561,14.2091,6.4006,3.9064,3.4717,1.1229,4.5963,,
Dec,12,0.3532,,,,0.0177,0.0092,0.4015,,0.0111,
