Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,7.0759,7.5282,4.9454,4.3283,6.6548,4.8592,5.9234,4.44,4.5819,4.3939,
Feb,2,12.56,28.5467,11.3238,10.4613,12.6635,11.1779,11.6192,8.5529,32.3893,17.411,
Mar,3,38.863,33.7211,31.867,26.3158,34.4705,56.5962,36.6577,34.5086,31.2644,66.7072,
Apr,4,81.6765,55.5868,70.4828,73.4728,68.6654,92.5635,78.4414,99.133,61.8928,88.9086,
May,5,114.4658,116.2683,160.1289,148.6281,104.4601,150.5626,115.7215,102.7816,121.3153,193.9355,
Jun,6,118.8474,109.1873,153.6989,108.4756,147.0173,96.9018,171.5767,112.3075,100.2348,121.5944,
Jul,7,167.8301,194.8028,217.1646,252.8629,227.3046,134.15,148.0966,162.1933,211.3708,109.3333,
Aug,8,148.4502,155.8698,141.8661,198.8333,124.1531,180.0944,71.7255,77.7997,113.989,163.8997,
Sep,9,147.1336,161.7303,164.4862,171.8998,161.9368,132.8505,126.2687,111.7234,176.5453,,
Oct,10,116.948,111.6969,124.4151,132.9204,126.6601,137.0953,139.6338,93.5531,122.0562,,
Nov,11,74.2078,45.767,91.1041,110.168,107.4477,81.4641,92.5117,35.6677,53.9315,,
Dec,12,18.5193,13.3179,16.207,24.8403,8.2352,10.5874,20.137,10.4842,7.3958,
