Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,6.089,5.6885,4.6683,4.0749,4.5979,4.3961,5.261,4.6699,3.8071,3.8636,
Feb,2,12.1572,21.0436,13.7044,7.702,10.8415,11.9174,12.0908,8.1199,26.9043,18.7316,
Mar,3,27.8476,21.1182,19.1995,17.1914,19.4203,40.3025,33.0134,30.7795,23.1942,50.4762,
Apr,4,66.9604,44.6643,58.1476,47.9403,39.8424,89.8881,51.407,65.0239,50.8526,55.1252,
May,5,135.3298,134.522,157.6372,174.5537,155.4974,163.8446,143.6413,157.4329,157.0754,219.0824,
Jun,6,123.5364,122.4113,159.4197,102.728,144.9274,111.0262,180.8725,137.6337,96.6252,102.2406,
Jul,7,193.7309,213.225,242.5578,272.0255,280.9805,168.9842,162.1951,192.6074,200.003,117.4664,
Aug,8,173.3635,185.5803,153.4014,250.8959,165.6333,187.5322,104.2878,78.6527,124.7992,168.1939,
Sep,9,131.8704,122.1863,173.2224,129.9609,150.6538,120.4094,101.7154,76.0228,149.2748,,
Oct,10,129.8493,125.4653,144.2706,143.202,108.6952,175.4975,131.0583,88.7168,138.8986,,
Nov,11,64.4838,48.529,60.9422,118.4194,94.9787,63.1919,72.105,23.4496,39.0282,,
Dec,12,11.5222,8.9794,10.4269,16.3839,6.6992,7.8293,15.4562,10.12,7.1714,
