Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.5332,,,,0.0059,0.0054,0.0054,0.0054,0.0054,0.0054,
Feb,2,2.6645,3.3891,2.2342,2.9759,2.4473,3.9704,2.9762,2.768,3.783,4.2234,
Mar,3,17.7265,17.3287,16.7029,12.7703,30.4476,17.8891,26.102,28.8073,14.314,29.1897,
Apr,4,65.8823,38.3801,20.469,75.1086,53.5983,158.391,50.52,104.6433,45.8096,67.375,
May,5,105.0639,105.7972,81.8185,117.8764,93.3648,133.9968,134.107,123.3596,120.0439,129.701,
Jun,6,128.7885,117.0364,157.8053,128.1805,210.5833,97.8881,121.895,136.6664,94.4646,131.2606,
Jul,7,154.2718,207.7804,172.9606,265.8805,198.6815,138.9886,120.6133,201.0936,167.0635,127.487,
Aug,8,171.7577,174.7499,151.1794,215.2359,130.1325,142.5138,152.1314,102.2542,166.7421,169.0919,
Sep,9,118.7496,150.5434,134.3877,115.7109,141.8297,130.7575,117.8717,97.2785,112.6727,,
Oct,10,84.2354,84.8658,97.6774,84.4312,79.4564,99.0275,97.7937,73.8019,64.4368,,
Nov,11,27.0055,32.3196,15.699,36.6084,27.3235,24.8413,28.6938,23.5866,23.9218,,
Dec,12,1.2225,0.962,0.4467,1.2833,2.0726,1.3856,1.708,1.0077,1.2959,
