Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,1.1259,0.7081,0.6765,0.6765,0.9052,0.8674,0.8676,0.8681,0.8673,0.8674,
Feb,2,1.5488,2.5747,0.7668,0.9478,0.894,2.4766,1.1073,1.3508,3.3359,2.6321,
Mar,3,16.0887,12.768,10.4326,10.533,26.2139,18.0508,22.518,27.8875,11.3955,31.2474,
Apr,4,59.7161,32.3792,26.8155,56.9953,46.8417,103.9234,49.532,92.8831,48.7323,55.1897,
May,5,102.5931,91.5261,96.2835,146.9697,96.9361,146.5127,150.1329,135.8024,131.4121,164.1316,
Jun,6,126.7253,120.76,153.94,115.4562,190.4404,108.1798,150.8895,146.0721,114.7126,123.7134,
Jul,7,163.3509,213.6105,166.6938,241.1562,204.2107,156.2261,135.5402,212.0197,185.3051,126.3195,
Aug,8,174.4023,188.3486,147.048,209.2981,141.7335,163.774,159.3078,111.1352,181.7029,191.0354,
Sep,9,137.4128,176.7885,155.9856,125.568,165.0371,174.2839,133.0455,104.8409,122.9806,,
Oct,10,90.2016,110.2798,109.7154,95.2133,82.8353,101.5484,110.708,71.9836,80.0216,,
Nov,11,25.1709,24.6284,12.1603,41.0123,28.8919,24.0314,21.4148,12.5995,16.6415,,
Dec,12,1.6879,1.4263,1.1912,1.2712,1.8507,1.5937,2.7083,1.4814,1.6803,
