Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,1.9541,1.4994,1.4669,1.5156,2.2717,1.7435,1.6822,1.6917,1.9602,1.6809,
Feb,2,4.0275,7.112,2.9082,3.0954,3.7175,5.0735,5.4303,3.8532,5.2399,5.6682,
Mar,3,25.3146,26.9582,23.8046,18.7514,28.8934,29.8592,40.0872,40.83,23.5221,55.691,
Apr,4,87.8013,60.4735,28.0271,104.9049,83.9261,171.8811,74.3955,167.0443,65.4119,94.6355,
May,5,119.3268,172.2801,110.3762,115.6905,114.6706,160.8202,115.1626,140.711,127.5783,152.9292,
Jun,6,117.9249,114.0585,127.5284,109.4333,162.7913,100.1269,150.5968,152.953,115.3766,85.1969,
Jul,7,121.456,182.4231,138.3115,186.2814,152.3957,97.9821,107.6135,157.8122,124.6588,113.635,
Aug,8,156.0169,144.7213,126.6378,209.1369,114.3414,142.3889,87.1667,80.0788,164.417,128.3758,
Sep,9,116.0452,159.3413,122.0898,130.9111,157.7134,126.4475,103.5537,117.2502,136.3905,,
Oct,10,99.6319,98.1022,113.3853,114.1707,114.0686,114.087,123.5717,72.0231,104.0419,,
Nov,11,28.3803,15.9707,22.3427,46.7169,34.659,24.8917,43.486,27.8534,28.201,,
Dec,12,3.8016,3.6786,2.2836,2.9994,6.5822,3.2154,6.2389,2.9684,3.1921,
