Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.9259,0.5238,0.513,0.5347,0.9378,0.9637,0.5552,0.5552,0.5552,0.5552,
Feb,2,1.7144,3.2944,1.2598,1.808,1.4084,1.5826,2.5586,1.4034,1.4034,3.6901,
Mar,3,18.3204,19.1871,11.5816,10.4993,25.144,33.1039,35.8229,53.9162,14.5685,46.6506,
Apr,4,67.697,47.0014,19.8588,66.4623,42.3043,143.6398,50.9659,106.1997,77.9931,58.3292,
May,5,111.7002,118.8616,119.9668,131.8692,151.2759,126.0878,119.7997,142.8047,107.0141,129.9435,
Jun,6,159.4998,176.9223,186.6816,176.2908,237.3398,174.7202,149.277,189.0897,118.3201,157.6075,
Jul,7,177.6411,168.3812,187.6501,242.61,174.7165,138.7687,177.6299,228.2094,198.6976,158.977,
Aug,8,194.9694,195.7017,211.1197,252.5735,175.1263,138.1769,179.7551,143.7953,195.1295,177.9058,
Sep,9,139.7012,139.8019,150.836,137.8883,197.5736,173.5152,120.2471,124.9196,154.6588,,
Oct,10,85.0045,94.01,99.4442,93.9286,81.9438,106.9059,114.4013,76.9428,85.1948,,
Nov,11,13.3936,19.0158,7.9871,20.1845,8.8529,7.7652,12.2461,8.3108,9.9764,,
Dec,12,0.7337,0.0064,0.0064,0.0064,0.2918,0.2094,0.366,0.2094,0.2094,
