Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.4283,,,,0.0742,0.0617,,,,,
Feb,2,1.8597,3.1009,1.6389,1.8034,1.8697,1.8697,2.7595,1.8697,1.8728,2.9682,
Mar,3,17.9361,18.3287,13.794,11.0842,25.8743,31.4622,33.9813,42.5043,16.5266,43.99,
Apr,4,67.8422,46.3926,22.3813,67.6939,43.3683,151.9008,53.8891,111.9724,81.1851,62.467,
May,5,109.9019,109.4678,107.8072,117.5933,134.2995,124.1712,113.3815,142.33,119.3914,115.5766,
Jun,6,153.1629,165.4929,175.8777,165.9258,232.9735,166.2469,135.0835,174.0427,116.6131,153.6905,
Jul,7,177.1163,188.7191,182.0853,268.4145,188.7458,147.7379,164.7878,217.4998,181.0709,133.0593,
Aug,8,184.5256,179.4336,193.3877,238.8317,162.6308,137.1553,155.7839,109.06,181.519,164.2932,
Sep,9,135.1266,143.7467,138.1465,130.4693,183.3351,165.0136,124.1357,117.3471,148.3374,,
Oct,10,84.1619,75.0834,101.6718,68.9578,95.2584,112.9131,108.9993,78.5908,73.6308,,
Nov,11,11.1363,15.0399,8.93,15.0231,6.6442,8.4863,10.2679,7.8539,7.5485,,
Dec,12,0.6769,,,0.0166,0.9489,,0.9912,,0.0261,
