Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.8544,0.2108,0.0862,0.2177,1.149,0.6813,0.1378,0.1466,0.1378,0.1378,
Feb,2,2.899,4.4555,2.4383,2.8228,2.7874,2.7741,4.1558,2.7741,2.9384,4.4965,
Mar,3,24.4834,25.0367,22.4941,14.95,35.331,38.7339,42.3794,60.0161,18.3387,55.4875,
Apr,4,75.8634,54.8045,24.3416,79.1699,58.7355,157.3393,62.7137,139.8492,94.7529,84.1091,
May,5,123.3583,125.7899,117.5477,130.6441,145.4643,141.8817,124.5307,145.9392,141.3899,124.3693,
Jun,6,158.859,165.8799,175.955,171.9159,233.2332,165.4332,144.1068,177.4029,119.614,153.6388,
Jul,7,162.4956,184.6004,163.3397,239.2276,180.2788,126.5822,126.2906,207.1777,184.1791,118.301,
Aug,8,171.843,166.627,178.8517,217.1402,135.2179,132.1293,135.5235,113.2791,161.515,151.1323,
Sep,9,120.9717,131.7854,122.0452,120.0439,154.8709,139.0248,109.6305,100.0832,127.0137,,
Oct,10,90.1592,87.1363,101.2973,78.0477,101.4676,117.6661,111.0423,71.7719,76.9559,,
Nov,11,11.7126,13.7214,10.5096,17.1985,7.6289,7.8258,10.7249,8.3328,9.4126,,
Dec,12,0.6775,,,0.0647,2.0003,0.0266,0.5556,0.0266,0.0542,
