Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.6301,0.1984,0.1808,0.1808,0.4117,0.3895,0.2,0.2,0.2,0.2,
Feb,2,0.8107,1.2787,0.0653,0.1148,0.1665,0.2348,1.3891,0.1665,0.192,1.4722,
Mar,3,12.656,12.872,8.3784,8.2058,17.3424,19.2411,28.5687,29.5148,9.3358,31.6225,
Apr,4,60.8423,38.8193,24.9173,58.2193,32.6903,137.1188,42.3219,90.521,59.9,58.2293,
May,5,98.4838,109.3122,103.7505,108.4084,122.6216,118.2654,85.3466,149.0306,97.5541,112.2946,
Jun,6,144.7788,170.9274,175.2713,157.2175,207.7167,142.2701,137.3562,172.0189,126.4287,154.3311,
Jul,7,183.0712,178.3522,210.114,256.9834,171.8473,158.6823,160.3207,209.9379,182.1296,153.493,
Aug,8,182.0701,194.1655,203.1605,226.6289,150.6869,142.2335,167.0493,131.1815,181.9001,176.8782,
Sep,9,147.3359,150.532,158.0459,140.8508,198.2752,177.8646,139.537,127.3832,146.4865,,
Oct,10,81.7517,69.7979,100.2621,75.1415,82.6356,111.3899,98.2138,86.91,69.1048,,
Nov,11,7.8083,10.1844,3.341,11.9543,4.2388,5.2779,7.2949,2.9391,7.498,,
Dec,12,0.6069,,,,,,0.7467,,,
