Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,1.9322,2.0201,1.0386,1.7832,3.1724,3.1632,2.2257,1.1052,1.1052,1.1126,
Feb,2,5.3661,10.5086,3.7774,4.8052,4.4577,4.9112,8.2392,3.9661,3.9915,10.3499,
Mar,3,37.8645,36.9902,21.2956,20.3198,54.5398,61.3037,73.6294,109.6762,34.7398,90.8478,
Apr,4,99.0596,96.3962,44.7103,96.9542,76.1597,136.7146,71.8929,157.2442,118.5382,91.7157,
May,5,156.5508,167.4319,149.8136,194.1251,177.0668,193.6957,158.2704,174.1106,155.5496,157.948,
Jun,6,185.2129,180.0317,211.3429,214.7981,261.1372,201.1913,184.3879,192.3459,136.5792,181.2707,
Jul,7,164.7226,145.3236,187.741,233.0927,158.1521,127.5673,134.5262,212.3051,197.839,165.0898,
Aug,8,186.678,176.4303,218.8977,225.1175,160.0388,150.4651,174.2172,169.6043,192.9861,171.0459,
Sep,9,145.3187,141.7997,160.1522,137.7937,185.8181,165.4351,133.8712,129.0056,170.0412,,
Oct,10,112.1988,119.9075,122.1846,136.7953,119.1166,129.5049,135.8605,78.5492,94.8111,,
Nov,11,19.385,25.3585,14.7355,30.4915,18.5371,15.4714,17.0441,19.9885,16.0302,,
Dec,12,1.2805,0.3079,0.264,0.5394,3.7499,0.467,0.9023,0.456,0.5042,
