Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,1.1511,0.5868,0.5667,0.5773,1.1052,0.7313,0.7313,0.7313,0.7501,0.7313,
Feb,2,2.801,3.8399,2.3306,2.5085,2.7577,3.3864,3.6001,2.9098,3.588,3.8388,
Mar,3,19.6298,18.8246,17.9305,13.3005,32.076,22.9943,31.0419,37.8524,15.7557,42.5334,
Apr,4,75.2292,48.2467,23.2531,85.5039,59.0774,183.6286,55.6577,129.7598,65.7551,80.3571,
May,5,108.5764,118.9086,90.6323,108.5687,111.651,129.8129,119.1966,126.5502,116.4488,119.8752,
Jun,6,138.662,134.0806,172.1604,140.8274,214.707,121.1627,121.2099,159.2582,94.3892,110.6584,
Jul,7,145.5968,177.5385,158.3017,242.9995,171.7444,120.1956,104.5239,178.1359,156.4966,118.9841,
Aug,8,162.0519,160.4757,149.1323,212.1776,119.1149,134.4596,125.0818,88.4775,156.4932,143.9146,
Sep,9,112.2103,133.7174,120.2978,113.3502,139.8915,118.1448,106.6606,89.5435,110.7971,,
Oct,10,83.0357,79.2135,93.6165,78.4006,79.4374,101.8815,91.0234,66.4395,77.4583,,
Nov,11,15.8844,14.8878,12.2082,25.9873,14.4695,11.9453,20.1186,15.542,14.8952,,
Dec,12,0.9266,0.4646,0.2675,0.5075,1.5007,0.5207,0.9301,0.6233,0.6718,
