Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,2.2647,2.1027,1.7716,1.9846,2.9904,2.2279,1.9908,1.9692,2.0039,1.9692,
Feb,2,3.977,6.437,2.9024,3.2447,3.4351,4.965,5.9141,3.4247,4.2947,5.9627,
Mar,3,28.3356,27.4418,25.7682,16.2084,34.026,43.6768,53.4275,67.3533,17.2024,78.8561,
Apr,4,80.8883,62.7425,30.9822,92.0596,67.8625,172.2767,63.1252,145.6383,91.4438,99.0943,
May,5,130.4348,153.3869,118.0456,120.7008,135.0143,150.5836,136.0337,134.8397,139.2756,125.6763,
Jun,6,144.9384,148.6492,160.6336,153.8519,193.9513,141.6453,148.2365,175.7636,106.4417,118.7042,
Jul,7,133.2389,150.5027,151.3498,202.4023,155.8574,96.2873,111.1209,170.3008,152.5584,114.5888,
Aug,8,170.382,169.5149,169.3825,210.1485,123.6856,142.9015,128.3662,100.0252,170.7143,141.9277,
Sep,9,119.8294,138.415,119.4651,125.7907,146.3273,126.3735,111.2617,101.54,121.2877,,
Oct,10,100.6074,100.3237,110.6426,96.462,108.6094,117.274,117.9841,75.4177,103.353,,
Nov,11,16.4097,13.7918,14.066,28.5721,15.4274,10.0221,17.7706,14.3718,9.267,,
Dec,12,1.6722,1.0245,0.6125,0.8427,4.7353,1.0043,2.6259,1.9963,1.2186,
