Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.3484,,,0.0029,,,,,,,
Feb,2,1.3628,1.0796,0.9916,1.0194,1.1838,1.2716,1.3133,1.1828,1.1828,1.9636,
Mar,3,13.2587,15.3482,8.4655,8.5211,16.3449,13.3429,26.7158,23.9905,12.179,26.7486,
Apr,4,36.454,30.6244,16.1071,28.2392,19.6619,79.0997,13.9694,59.6265,31.2677,23.2041,
May,5,103.96,85.2097,112.5327,101.5525,114.355,126.2863,127.8813,113.0263,138.9227,117.9285,
Jun,6,153.6001,150.4231,155.8704,199.6836,208.9772,136.9348,170.1008,184.9474,147.5306,161.1064,
Jul,7,189.8122,200.8812,190.9244,217.0679,203.6685,156.0539,215.9401,205.3619,208.3939,204.5675,
Aug,8,221.3198,222.5953,239.1155,256.0252,255.8753,183.1036,203.4933,196.4609,208.7309,242.3408,
Sep,9,156.9121,156.0704,151.8107,167.844,211.559,177.1443,137.8483,139.2132,165.2646,,
Oct,10,98.1396,171.4589,112.6317,127.9914,43.2945,58.6752,151.0065,92.076,65.9567,,
Nov,11,16.1843,16.9785,7.0458,15.3164,10.3541,10.8064,15.5474,11.1656,17.3558,,
Dec,12,0.9604,0.4765,0.4765,0.4793,0.6766,0.6479,1.17,0.6479,0.6479,
