Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.1021,,,,,,,,,,
Feb,2,0.4632,0.0203,,,0.015,0.0167,0.015,0.015,0.015,0.1471,
Mar,3,4.2466,3.8333,2.7712,2.9196,4.3709,4.8161,9.6785,8.7802,4.7789,7.4376,
Apr,4,16.5927,14.6021,7.2959,9.1621,11.7258,44.7306,7.9789,23.9704,13.6286,11.8027,
May,5,77.7251,59.3165,100.6679,64.6543,95.1001,108.7031,56.1511,69.9628,80.0593,77.5851,
Jun,6,133.3921,123.7698,131.3277,172.111,170.4168,131.8301,130.2047,139.4035,118.7509,123.6962,
Jul,7,171.6066,170.0849,175.9705,176.5862,206.9401,188.4429,173.8911,193.7641,199.8401,190.9279,
Aug,8,187.7196,183.5502,215.568,199.2432,220.9888,168.899,183.276,161.8988,205.6143,227.0628,
Sep,9,128.505,110.4341,144.2562,121.9719,182.8774,134.2374,122.5064,116.2774,132.7092,,
Oct,10,68.0602,133.9863,75.4599,70.5646,27.6563,57.2402,121.7574,76.3046,49.4675,,
Nov,11,3.1331,2.2094,1.3899,10.7174,1.1454,1.0714,2.7163,1.0562,2.8823,,
Dec,12,0.0793,,,,,,,,,
