Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.1045,,,,,,,,,,
Feb,2,1.0298,0.7143,0.6705,0.6705,0.7639,0.9205,0.7639,0.7639,0.7639,1.2458,
Mar,3,3.311,2.3829,2.1994,1.991,3.8369,3.9288,7.0065,5.9325,2.7533,5.8456,
Apr,4,12.6391,9.6947,3.9971,8.4316,9.2167,35.1281,4.9889,12.0408,7.8992,6.0056,
May,5,79.9902,61.3836,98.6125,63.5367,92.4641,110.1594,81.2292,55.5297,76.6267,80.8434,
Jun,6,135.2999,117.8478,124.1704,154.9319,162.4135,137.1689,123.3683,141.0154,112.4504,111.1447,
Jul,7,194.8956,211.1864,173.2973,186.3466,244.3157,200.471,201.5974,216.8723,229.6282,196.7194,
Aug,8,211.5498,210.3648,230.8548,242.3731,235.7187,188.2739,173.7237,191.0255,215.0145,283.6842,
Sep,9,121.2194,102.2027,128.4441,117.0706,157.095,120.33,97.4578,97.5475,118.9909,,
Oct,10,46.7377,91.2796,54.2053,50.761,17.5074,32.0558,85.4013,39.4319,30.2423,,
Nov,11,5.0208,3.1401,2.7696,11.4695,2.4089,2.5559,5.2208,3.3002,3.3457,,
Dec,12,0.3937,,,,,,,,,
