Month,Period,stm,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Jan,1,0.176,,,,,,,,,,
Feb,2,0.5961,0.1244,0.1244,0.1244,0.164,0.164,0.164,0.164,0.164,0.164,
Mar,3,7.6754,8.0708,4.4113,4.5265,7.4914,9.3441,16.8139,16.998,7.1857,14.0679,
Apr,4,29.8083,23.0643,11.5643,24.9373,21.1623,74.1228,15.2493,52.5934,22.1071,24.118,
May,5,97.6787,77.4034,110.2873,91.7492,125.8716,154.0486,90.9005,112.4705,115.3862,108.2373,
Jun,6,136.0764,152.9094,151.67,175.6387,182.1,121.6239,137.9977,146.1582,129.3541,136.1807,
Jul,7,173.8695,184.2746,185.683,195.959,181.1077,146.0852,208.2038,213.0921,199.1644,200.6169,
Aug,8,199.2197,202.1171,228.2193,236.872,235.8159,164.517,209.2351,176.1353,201.0331,208.8754,
Sep,9,133.1497,116.7897,150.0494,136.0509,184.2136,131.4472,132.0368,114.4262,123.9545,,
Oct,10,56.9816,99.7429,59.9106,67.7536,28.0716,37.9676,100.975,58.8487,47.3538,,
Nov,11,4.8114,3.9327,2.5241,9.0168,2.8189,2.7424,3.8811,2.3932,5.5016,,
Dec,12,0.264,,,,,,,,,
